Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,ASIANPAINT,EQ,32.3,32.4,32.0,-,32.06,32.053,450,144240.0,-,-,-, 
1996-01-02,ASIANPAINT,EQ,32.06,32.5,32.105000000000004,-,32.25,32.288,1350,435892.5,-,-,-, 
1996-01-03,ASIANPAINT,EQ,32.25,32.1,32.0,-,32.0,32.067,450,144300.0,-,-,-, 
1996-01-04,ASIANPAINT,EQ,32.0,32.0,31.9,-,32.0,31.975,400,127900.0,-,-,-, 
1996-01-05,ASIANPAINT,EQ,32.0,32.1,31.7,-,31.7,31.8,900,286202.5,-,-,-, 
1996-01-08,ASIANPAINT,EQ,31.7,31.8,31.005000000000003,-,31.005000000000003,31.551,850,268187.5,-,-,-, 
1996-01-09,ASIANPAINT,EQ,31.005000000000003,31.5,30.505000000000003,-,30.744999999999997,31.281,1150,359730.0,-,-,-, 
1996-01-10,ASIANPAINT,EQ,30.744999999999997,31.6,31.5,-,31.55,31.594,1700,537100.0,-,-,-, 
1996-01-11,ASIANPAINT,EQ,31.55,31.9,31.5,-,31.794999999999998,31.577999999999996,1150,363142.5,-,-,-, 
1996-01-12,ASIANPAINT,EQ,31.794999999999998,32.0,31.805,-,31.9,31.901,250,79752.5,-,-,-, 
1996-01-15,ASIANPAINT,EQ,31.9,32.394999999999996,31.4,-,32.3,32.143,900,289290.0,-,-,-, 
1996-01-16,ASIANPAINT,EQ,32.3,32.5,31.5,-,32.4,32.159,600,192955.0,-,-,-, 
1996-01-17,ASIANPAINT,EQ,32.4,32.0,31.2,-,31.339999999999996,31.496,650,204725.0,-,-,-, 
1996-01-18,ASIANPAINT,EQ,31.339999999999996,32.5,31.1,-,32.4,31.905,8100,2584302.5,-,-,-, 
1996-01-19,ASIANPAINT,EQ,32.4,32.775,32.205,-,32.735,32.511,4400,1430477.5,-,-,-, 
1996-01-22,ASIANPAINT,EQ,32.735,32.55,32.255,-,32.45,32.443,1500,486637.5,-,-,-, 
1996-01-23,ASIANPAINT,EQ,32.45,33.975,32.7,-,33.6,33.318,3700,1232780.0,-,-,-, 
1996-01-24,ASIANPAINT,EQ,33.6,32.6,32.4,-,32.6,32.522000000000006,1350,439050.0,-,-,-, 
1996-01-25,ASIANPAINT,EQ,32.6,33.0,32.505,-,32.589999999999996,32.693,7850,2566412.5,-,-,-, 
1996-01-29,ASIANPAINT,EQ,32.589999999999996,32.7,32.45,-,32.685,32.595,1350,440032.5,-,-,-, 
1996-01-30,ASIANPAINT,EQ,32.685,33.0,32.7,-,32.75,32.817,3050,1000905.0,-,-,-, 
1996-01-31,ASIANPAINT,EQ,32.75,32.65,32.4,-,32.489999999999995,32.521,850,276425.0,-,-,-, 
1996-02-01,ASIANPAINT,EQ,32.489999999999995,33.4,33.0,-,33.089999999999996,33.067,1800,595197.5,-,-,-, 
1996-02-02,ASIANPAINT,EQ,33.1,33.45,33.1,-,33.335,33.384,1700,567522.5,-,-,-, 
1996-02-05,ASIANPAINT,EQ,33.335,34.2,33.005,-,33.135000000000005,33.724000000000004,1500,505855.0,-,-,-, 
1996-02-06,ASIANPAINT,EQ,33.135000000000005,34.9,33.5,-,34.6,34.003,4150,1411122.5,-,-,-, 
1996-02-07,ASIANPAINT,EQ,34.6,34.0,33.7,-,34.0,33.934,1050,356302.5,-,-,-, 
1996-02-08,ASIANPAINT,EQ,34.0,35.005,34.005,-,35.005,34.766000000000005,1800,625782.5,-,-,-, 
1996-02-09,ASIANPAINT,EQ,35.005,36.5,35.2,-,36.175,36.053,2850,1027512.5,-,-,-, 
1996-02-12,ASIANPAINT,EQ,36.175,37.489999999999995,36.2,-,36.5,36.813,950,349727.5,-,-,-, 
1996-02-13,ASIANPAINT,EQ,36.5,36.0,35.5,-,35.9,35.723,450,160752.5,-,-,-, 
1996-02-14,ASIANPAINT,EQ,35.9,39.5,37.0,-,38.845,38.274,3650,1397000.0,-,-,-, 
1996-02-15,ASIANPAINT,EQ,38.845,38.8,37.4,-,38.0,38.15,950,362425.0,-,-,-, 
