Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,BAJAUTOFIN,EQ,8.3,8.3,8.3,-,8.3,8.3,100,8300.0,-,-,-, 
1996-01-02,BAJAUTOFIN,EQ,8.3,8.395,8.059999999999999,-,8.059999999999999,8.279,700,57950.0,-,-,-, 
1996-01-03,BAJAUTOFIN,EQ,8.2,8.290000000000001,8.2,-,8.27,8.235,400,32940.0,-,-,-, 
1996-01-04,BAJAUTOFIN,EQ,8.25,8.25,8.25,-,8.25,8.25,200,16500.0,-,-,-, 
1996-01-05,BAJAUTOFIN,EQ,8.0,8.0,7.9,-,7.9,7.95,200,15900.0,-,-,-, 
1996-01-08,BAJAUTOFIN,EQ,7.9,8.0,7.755,-,7.755,7.937,900,71430.0,-,-,-, 
1996-01-09,BAJAUTOFIN,EQ,7.715000000000001,7.75,7.6,-,7.6,7.7010000000000005,500,38505.0,-,-,-, 
1996-01-10,BAJAUTOFIN,EQ,8.0,8.0,7.459999999999999,-,7.795,7.659999999999999,600,45960.0,-,-,-, 
1996-01-11,BAJAUTOFIN,EQ,7.5,7.6,7.45,-,7.55,7.523999999999999,1400,105330.0,-,-,-, 
1996-01-12,BAJAUTOFIN,EQ,7.5,7.6,7.425,-,7.55,7.529000000000001,800,60230.0,-,-,-, 
1996-01-15,BAJAUTOFIN,EQ,7.5,7.5,7.5,-,7.5,7.5,100,7500.0,-,-,-, 
1996-01-16,BAJAUTOFIN,EQ,7.4,7.5,7.305,-,7.315,7.373,600,44240.0,-,-,-, 
1996-01-17,BAJAUTOFIN,EQ,7.315,7.305,7.1049999999999995,-,7.3,7.269,600,43615.0,-,-,-, 
1996-01-18,BAJAUTOFIN,EQ,7.3,7.05,7.0,-,7.05,7.025,200,14050.0,-,-,-, 
