Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,DRREDDY,EQ,225.6,226.0,223.0,-,223.0,225.43,700,157800.0,-,-,-, 
1996-01-02,DRREDDY,EQ,223.0,223.0,221.05,-,221.1,221.76,2100,465700.0,-,-,-, 
1996-01-03,DRREDDY,EQ,221.1,222.5,221.0,-,221.2,221.8,2800,621040.0,-,-,-, 
1996-01-04,DRREDDY,EQ,221.2,215.0,212.15,-,213.25,213.38,900,192040.0,-,-,-, 
1996-01-05,DRREDDY,EQ,213.25,215.95,208.0,-,208.2,210.12,3000,630370.0,-,-,-, 
1996-01-08,DRREDDY,EQ,208.2,214.0,205.0,-,205.5,205.82,3100,638030.0,-,-,-, 
1996-01-09,DRREDDY,EQ,205.5,206.0,197.0,-,199.8,200.04,4500,900175.0,-,-,-, 
1996-01-10,DRREDDY,EQ,199.8,204.05,200.05,-,202.95,202.44,1700,344150.0,-,-,-, 
1996-01-11,DRREDDY,EQ,202.95,208.0,205.0,-,207.5,207.03,1400,289835.0,-,-,-, 
1996-01-12,DRREDDY,EQ,207.5,209.0,208.0,-,208.0,208.53,1200,250240.0,-,-,-, 
1996-01-15,DRREDDY,EQ,208.0,208.75,208.0,-,208.0,208.3,500,104150.0,-,-,-, 
1996-01-16,DRREDDY,EQ,208.0,206.5,204.5,-,205.25,205.27,2700,554220.0,-,-,-, 
1996-01-17,DRREDDY,EQ,205.95,206.0,203.8,-,206.0,204.89,3200,655655.0,-,-,-, 
1996-01-18,DRREDDY,EQ,203.0,206.0,203.0,-,204.55,204.45,2600,531560.0,-,-,-, 
1996-01-19,DRREDDY,EQ,204.55,206.0,204.0,-,205.05,205.31,2600,533810.0,-,-,-, 
1996-01-22,DRREDDY,EQ,205.05,205.5,203.1,-,204.35,204.51,3400,695345.0,-,-,-, 
1996-01-23,DRREDDY,EQ,204.35,209.7,205.0,-,207.7,206.89,3400,703435.0,-,-,-, 
1996-01-24,DRREDDY,EQ,207.7,209.75,206.05,-,209.35,208.37,5200,1083545.0,-,-,-, 
1996-01-25,DRREDDY,EQ,209.35,212.0,206.0,-,212.0,208.77,4400,918605.0,-,-,-, 
1996-01-29,DRREDDY,EQ,212.0,213.0,208.0,-,212.25,210.96,5100,1075900.0,-,-,-, 
1996-01-30,DRREDDY,EQ,212.25,213.0,211.0,-,212.6,212.18,3500,742620.0,-,-,-, 
1996-01-31,DRREDDY,EQ,212.6,215.45,213.05,-,215.1,214.29,2300,492870.0,-,-,-, 
1996-02-01,DRREDDY,EQ,215.1,217.25,214.25,-,214.25,215.63,1100,237190.0,-,-,-, 
1996-02-02,DRREDDY,EQ,214.25,227.95,217.0,-,224.0,221.53,2600,575980.0,-,-,-, 
1996-02-05,DRREDDY,EQ,224.0,230.0,225.0,-,230.0,227.56,2500,568895.0,-,-,-, 
1996-02-06,DRREDDY,EQ,230.0,230.0,227.1,-,227.5,228.2,3100,707415.0,-,-,-, 
1996-02-07,DRREDDY,EQ,227.5,232.0,224.55,-,230.15,228.51,7100,1622395.0,-,-,-, 
1996-02-08,DRREDDY,EQ,231.0,238.0,231.0,-,238.0,235.46,2800,659295.0,-,-,-, 
1996-02-09,DRREDDY,EQ,244.0,250.0,239.0,-,246.9,246.06,6000,1476350.0,-,-,-, 
1996-02-12,DRREDDY,EQ,246.9,260.0,246.95,-,259.3,255.27,6500,1659240.0,-,-,-, 
1996-02-13,DRREDDY,EQ,259.3,267.0,247.1,-,265.3,255.62,6300,1610410.0,-,-,-, 
1996-02-14,DRREDDY,EQ,272.0,272.0,260.05,-,264.45,267.76,5500,1472675.0,-,-,-, 
1996-02-15,DRREDDY,EQ,264.45,270.0,261.05,-,267.15,265.74,4300,1142675.0,-,-,-, 
1996-02-16,DRREDDY,EQ,267.15,270.0,262.25,-,268.5,267.31,10200,2726535.0,-,-,-, 
1996-02-19,DRREDDY,EQ,268.5,277.75,265.5,-,265.5,273.38,6800,1858985.0,-,-,-, 
1996-02-20,DRREDDY,EQ,265.5,270.0,265.0,-,268.7,268.08,7200,1930200.0,-,-,-, 
1996-02-22,DRREDDY,EQ,268.7,267.0,261.3,-,266.2,264.76,3900,1032545.0,-,-,-, 
1996-02-23,DRREDDY,EQ,266.2,269.5,265.0,-,268.9,266.65,4500,1199910.0,-,-,-, 
1996-02-26,DRREDDY,EQ,268.9,270.9,265.0,-,269.3,268.59,4700,1262385.0,-,-,-, 
1996-02-27,DRREDDY,EQ,269.3,267.0,262.65,-,263.5,265.74,4200,1116125.0,-,-,-, 
1996-02-28,DRREDDY,EQ,263.5,265.0,259.0,-,259.0,262.06,2500,655155.0,-,-,-, 
1996-02-29,DRREDDY,EQ,259.0,262.0,255.05,-,260.0,259.73,6200,1610350.0,-,-,-, 
1996-03-01,DRREDDY,EQ,260.0,261.55,256.1,-,259.55,259.65,5500,1428100.0,-,-,-, 
1996-03-04,DRREDDY,EQ,259.55,262.5,258.8,-,261.05,260.91,9600,2504770.0,-,-,-, 
1996-03-06,DRREDDY,EQ,261.05,265.5,262.1,-,265.4,263.79,3100,817760.0,-,-,-, 
1996-03-07,DRREDDY,EQ,265.0,266.5,262.1,-,265.0,264.94,4600,1218725.0,-,-,-, 
1996-03-08,DRREDDY,EQ,265.0,264.0,255.0,-,255.0,261.3,4100,1071345.0,-,-,-, 
1996-03-11,DRREDDY,EQ,255.0,261.0,256.5,-,260.05,259.58,4200,1090250.0,-,-,-, 
1996-03-12,DRREDDY,EQ,260.05,261.9,259.1,-,261.9,260.16,7500,1951200.0,-,-,-, 
1996-03-13,DRREDDY,EQ,260.0,262.0,256.25,-,262.0,259.89,1800,467795.0,-,-,-, 
1996-03-14,DRREDDY,EQ,262.0,260.0,259.6,-,259.9,259.98,1700,441960.0,-,-,-, 
1996-03-15,DRREDDY,EQ,259.9,260.1,257.0,-,257.15,259.23,1600,414770.0,-,-,-, 
1996-03-18,DRREDDY,EQ,263.5,263.5,258.25,-,260.95,260.73,3300,860405.0,-,-,-, 
1996-03-19,DRREDDY,EQ,260.95,261.0,257.05,-,257.7,259.32,4700,1218820.0,-,-,-, 
1996-03-21,DRREDDY,EQ,257.7,261.0,256.75,-,260.7,259.33,2300,596450.0,-,-,-, 
1996-03-22,DRREDDY,EQ,260.7,260.7,257.5,-,260.6,259.35,2800,726185.0,-,-,-, 
1996-03-25,DRREDDY,EQ,260.6,261.95,257.55,-,261.1,259.93,2800,727795.0,-,-,-, 
1996-03-26,DRREDDY,EQ,261.1,262.0,259.95,-,261.7,260.41,2600,677075.0,-,-,-, 
1996-03-27,DRREDDY,EQ,261.7,262.0,260.0,-,260.0,260.62,500,130310.0,-,-,-, 
1996-03-28,DRREDDY,EQ,260.0,265.0,258.3,-,263.0,262.82,1200,315380.0,-,-,-, 
1996-03-29,DRREDDY,EQ,263.0,261.5,260.05,-,260.1,260.31,1400,364435.0,-,-,-, 
1996-04-01,DRREDDY,EQ,260.0,264.0,256.55,-,264.0,260.56,800,208450.0,-,-,-, 
1996-04-02,DRREDDY,EQ,264.0,262.95,260.1,-,261.55,261.19,1800,470150.0,-,-,-, 
