Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,HDFCBANK,EQ,3.0300000000000002,3.0300000000000002,2.925,-,2.98,2.978,35000,1042300.0,-,-,-, 
1996-01-02,HDFCBANK,EQ,2.98,3.025,2.95,-,2.975,2.971,41200,1224200.0,-,-,-, 
1996-01-03,HDFCBANK,EQ,2.975,2.995,2.95,-,2.9850000000000003,2.968,28400,842845.0,-,-,-, 
1996-01-04,HDFCBANK,EQ,2.9850000000000003,2.98,2.94,-,2.965,2.965,28200,836245.0,-,-,-, 
1996-01-05,HDFCBANK,EQ,2.965,2.98,2.95,-,2.96,2.961,18900,559615.0,-,-,-, 
1996-01-08,HDFCBANK,EQ,2.96,2.95,2.91,-,2.925,2.932,23700,694980.0,-,-,-, 
1996-01-09,HDFCBANK,EQ,2.925,2.925,2.8,-,2.83,2.856,48300,1379610.0,-,-,-, 
1996-01-10,HDFCBANK,EQ,2.83,2.8649999999999998,2.81,-,2.84,2.8440000000000003,22600,642820.0,-,-,-, 
1996-01-11,HDFCBANK,EQ,2.84,2.88,2.8,-,2.83,2.8280000000000003,31800,899195.0,-,-,-, 
1996-01-12,HDFCBANK,EQ,2.83,2.835,2.8,-,2.825,2.822,43100,1216120.0,-,-,-, 
1996-01-15,HDFCBANK,EQ,2.825,2.815,2.775,-,2.79,2.7960000000000003,18100,506115.0,-,-,-, 
1996-01-16,HDFCBANK,EQ,2.79,2.8,2.7399999999999998,-,2.7399999999999998,2.768,35800,990765.0,-,-,-, 
1996-01-17,HDFCBANK,EQ,2.7399999999999998,2.795,2.63,-,2.6550000000000002,2.689,42900,1153735.0,-,-,-, 
1996-01-18,HDFCBANK,EQ,2.6550000000000002,2.6550000000000002,2.6,-,2.6399999999999997,2.622,33000,865380.0,-,-,-, 
1996-01-19,HDFCBANK,EQ,2.6399999999999997,2.63,2.535,-,2.555,2.577,42600,1097940.0,-,-,-, 
1996-01-22,HDFCBANK,EQ,2.555,2.59,2.52,-,2.545,2.553,35900,916605.0,-,-,-, 
1996-01-23,HDFCBANK,EQ,2.545,2.6,2.5100000000000002,-,2.5300000000000002,2.538,39900,1012735.0,-,-,-, 
1996-01-24,HDFCBANK,EQ,2.5300000000000002,2.5300000000000002,2.45,-,2.465,2.472,44900,1110095.0,-,-,-, 
1996-01-25,HDFCBANK,EQ,2.465,2.45,2.41,-,2.435,2.428,39000,947095.0,-,-,-, 
1996-01-29,HDFCBANK,EQ,2.435,2.495,2.395,-,2.4850000000000003,2.44,31100,758690.0,-,-,-, 
1996-01-30,HDFCBANK,EQ,2.4850000000000003,2.55,2.4850000000000003,-,2.52,2.527,45200,1142160.0,-,-,-, 
1996-01-31,HDFCBANK,EQ,2.52,2.6350000000000002,2.55,-,2.59,2.591,34400,891455.0,-,-,-, 
1996-02-01,HDFCBANK,EQ,2.59,2.8,2.6,-,2.7800000000000002,2.7039999999999997,42400,1146310.0,-,-,-, 
1996-02-02,HDFCBANK,EQ,2.7800000000000002,2.995,2.8,-,2.915,2.9,81900,2375260.0,-,-,-, 
1996-02-05,HDFCBANK,EQ,2.915,3.1,2.95,-,2.995,3.013,90600,2729565.0,-,-,-, 
1996-02-06,HDFCBANK,EQ,2.995,3.05,2.95,-,2.975,3.0,88800,2664100.0,-,-,-, 
1996-02-07,HDFCBANK,EQ,2.975,2.925,2.825,-,2.8649999999999998,2.884,58600,1690085.0,-,-,-, 
1996-02-08,HDFCBANK,EQ,2.8649999999999998,3.15,2.8850000000000002,-,3.045,2.9699999999999998,66700,1980940.0,-,-,-, 
1996-02-09,HDFCBANK,EQ,3.045,3.655,3.35,-,3.65,3.471,172000,5970785.0,-,-,-, 
1996-02-12,HDFCBANK,EQ,3.65,3.7950000000000004,3.45,-,3.5100000000000002,3.595,285100,10250615.0,-,-,-, 
1996-02-13,HDFCBANK,EQ,3.6,3.6,3.325,-,3.45,3.425,145100,4969205.0,-,-,-, 
1996-02-14,HDFCBANK,EQ,3.45,3.8,3.59,-,3.71,3.7340000000000004,246400,9200915.0,-,-,-, 
1996-02-15,HDFCBANK,EQ,3.71,3.7700000000000005,3.6700000000000004,-,3.685,3.7020000000000004,119100,4408725.0,-,-,-, 
1996-02-16,HDFCBANK,EQ,3.685,3.675,3.5100000000000002,-,3.56,3.575,139600,4990985.0,-,-,-, 
1996-02-19,HDFCBANK,EQ,3.56,3.65,3.5,-,3.5149999999999997,3.5729999999999995,129700,4634260.0,-,-,-, 
1996-02-20,HDFCBANK,EQ,3.5149999999999997,3.5149999999999997,3.3049999999999997,-,3.3649999999999998,3.412,136100,4643125.0,-,-,-, 
1996-02-22,HDFCBANK,EQ,3.3649999999999998,3.475,3.4,-,3.425,3.429,84800,2907600.0,-,-,-, 
1996-02-23,HDFCBANK,EQ,3.425,3.5,3.4,-,3.4200000000000004,3.425,68700,2352935.0,-,-,-, 
1996-02-26,HDFCBANK,EQ,3.4200000000000004,3.475,3.375,-,3.3850000000000002,3.4259999999999997,64700,2216910.0,-,-,-, 
1996-02-27,HDFCBANK,EQ,3.3899999999999997,3.425,3.3,-,3.3950000000000005,3.364,84100,2828850.0,-,-,-, 
1996-02-28,HDFCBANK,EQ,3.3950000000000005,3.4450000000000003,3.3049999999999997,-,3.325,3.3770000000000002,42200,1424960.0,-,-,-, 
1996-02-29,HDFCBANK,EQ,3.3,3.3,3.0,-,3.065,3.07,127500,3914120.0,-,-,-, 
1996-03-01,HDFCBANK,EQ,3.065,3.15,3.0,-,3.1100000000000003,3.104,73200,2272200.0,-,-,-, 
1996-03-04,HDFCBANK,EQ,3.1100000000000003,3.1,3.05,-,3.065,3.072,64700,1987730.0,-,-,-, 
1996-03-06,HDFCBANK,EQ,3.065,3.15,3.08,-,3.1,3.1079999999999997,36000,1118890.0,-,-,-, 
1996-03-07,HDFCBANK,EQ,3.1,3.15,3.025,-,3.06,3.091,48600,1502460.0,-,-,-, 
1996-03-08,HDFCBANK,EQ,3.06,3.07,3.0,-,3.05,3.027,38700,1171550.0,-,-,-, 
1996-03-11,HDFCBANK,EQ,3.05,3.045,2.975,-,2.995,2.9989999999999997,32400,971690.0,-,-,-, 
1996-03-12,HDFCBANK,EQ,2.995,2.995,2.93,-,2.955,2.963,40000,1185220.0,-,-,-, 
1996-03-13,HDFCBANK,EQ,2.955,3.1,3.0,-,3.08,3.04,48600,1477590.0,-,-,-, 
1996-03-14,HDFCBANK,EQ,3.08,3.15,3.045,-,3.07,3.0789999999999997,52900,1628870.0,-,-,-, 
1996-03-15,HDFCBANK,EQ,3.1,3.1,3.0,-,3.0,3.0149999999999997,80700,2433390.0,-,-,-, 
1996-03-18,HDFCBANK,EQ,3.0,3.025,2.93,-,2.9850000000000003,2.9739999999999998,38800,1154055.0,-,-,-, 
1996-03-19,HDFCBANK,EQ,2.9850000000000003,3.0,2.9,-,2.955,2.9579999999999997,61700,1824945.0,-,-,-, 
1996-03-21,HDFCBANK,EQ,2.955,3.0149999999999997,2.95,-,3.005,2.997,64300,1927065.0,-,-,-, 
1996-03-22,HDFCBANK,EQ,3.005,3.02,2.935,-,2.995,2.984,19400,578820.0,-,-,-, 
1996-03-25,HDFCBANK,EQ,2.995,3.05,2.98,-,3.025,3.013,41300,1244355.0,-,-,-, 
1996-03-26,HDFCBANK,EQ,3.025,3.08,2.98,-,3.045,3.018,64300,1940895.0,-,-,-, 
1996-03-27,HDFCBANK,EQ,3.045,3.1100000000000003,3.0300000000000002,-,3.1,3.077,79500,2446190.0,-,-,-, 
1996-03-28,HDFCBANK,EQ,3.1,3.275,3.13,-,3.21,3.192,112400,3587365.0,-,-,-, 
1996-03-29,HDFCBANK,EQ,3.21,3.31,3.2,-,3.245,3.258,135600,4417225.0,-,-,-, 
1996-04-01,HDFCBANK,EQ,3.245,3.3,3.2399999999999998,-,3.29,3.275,96300,3153625.0,-,-,-, 
1996-04-02,HDFCBANK,EQ,3.29,3.45,3.28,-,3.4,3.3609999999999998,183500,6167685.0,-,-,-, 
1996-04-03,HDFCBANK,EQ,3.4,3.6,3.4,-,3.4899999999999998,3.5149999999999997,208200,7317910.0,-,-,-, 
1996-04-04,HDFCBANK,EQ,3.4899999999999998,3.4549999999999996,3.35,-,3.405,3.393,113400,3847875.0,-,-,-, 
1996-04-08,HDFCBANK,EQ,3.405,3.47,3.41,-,3.45,3.443,92500,3184510.0,-,-,-, 
1996-04-09,HDFCBANK,EQ,3.45,3.46,3.3549999999999995,-,3.3850000000000002,3.415,121900,4162350.0,-,-,-, 
1996-04-10,HDFCBANK,EQ,3.3850000000000002,3.46,3.2399999999999998,-,3.285,3.34,90400,3019795.0,-,-,-, 
1996-04-11,HDFCBANK,EQ,3.25,3.34,3.25,-,3.335,3.304,63100,2084905.0,-,-,-, 
1996-04-12,HDFCBANK,EQ,3.335,3.3850000000000002,3.28,-,3.35,3.3259999999999996,56400,1875905.0,-,-,-, 
1996-04-15,HDFCBANK,EQ,3.41,3.4549999999999996,3.375,-,3.425,3.414,98800,3372665.0,-,-,-, 
1996-04-16,HDFCBANK,EQ,3.4200000000000004,3.435,3.3600000000000003,-,3.375,3.3909999999999996,78300,2655340.0,-,-,-, 
1996-04-17,HDFCBANK,EQ,3.375,3.525,3.425,-,3.505,3.4799999999999995,154600,5380340.0,-,-,-, 
1996-04-18,HDFCBANK,EQ,3.55,3.6950000000000003,3.505,-,3.655,3.6270000000000002,270600,9814690.0,-,-,-, 
1996-04-19,HDFCBANK,EQ,3.7,4.025,3.625,-,3.845,3.879,635000,24630900.0,-,-,-, 
1996-04-22,HDFCBANK,EQ,4.0,4.1,3.7049999999999996,-,3.7700000000000005,3.8920000000000003,564300,21960410.0,-,-,-, 
1996-04-23,HDFCBANK,EQ,3.7700000000000005,3.79,3.63,-,3.71,3.723,321400,11965020.0,-,-,-, 
1996-04-24,HDFCBANK,EQ,3.8950000000000005,4.05,3.8,-,3.845,3.8920000000000003,534300,20792720.0,-,-,-, 
1996-04-25,HDFCBANK,EQ,3.9,3.9,3.6100000000000003,-,3.685,3.822,333300,12738295.0,-,-,-, 
1996-04-26,HDFCBANK,EQ,3.685,3.7950000000000004,3.625,-,3.7,3.682,203900,7507405.0,-,-,-, 
1996-04-29,HDFCBANK,EQ,3.7,3.7350000000000003,3.6399999999999997,-,3.685,3.6950000000000003,135000,4988255.0,-,-,-, 
1996-04-30,HDFCBANK,EQ,3.685,3.7,3.505,-,3.5450000000000004,3.5759999999999996,270100,9658515.0,-,-,-, 
1996-05-01,HDFCBANK,EQ,3.5450000000000004,3.775,3.6100000000000003,-,3.625,3.646,166200,6059680.0,-,-,-, 
1996-05-02,HDFCBANK,EQ,3.6799999999999997,3.6799999999999997,3.5450000000000004,-,3.565,3.571,117000,4177860.0,-,-,-, 
1996-05-03,HDFCBANK,EQ,3.565,3.5700000000000003,3.4899999999999998,-,3.5,3.522,177900,6265825.0,-,-,-, 
1996-05-06,HDFCBANK,EQ,3.5,3.5,3.35,-,3.38,3.4,136000,4624030.0,-,-,-, 
1996-05-07,HDFCBANK,EQ,3.38,3.44,3.35,-,3.415,3.402,182100,6195950.0,-,-,-, 
1996-05-08,HDFCBANK,EQ,3.2,3.5,3.2,-,3.4850000000000003,3.439,161700,5561380.0,-,-,-, 
1996-05-09,HDFCBANK,EQ,3.4850000000000003,3.495,3.38,-,3.405,3.44,111500,3835610.0,-,-,-, 
1996-05-10,HDFCBANK,EQ,3.405,3.3950000000000005,3.2399999999999998,-,3.3850000000000002,3.34,137100,4579665.0,-,-,-, 
1996-05-13,HDFCBANK,EQ,3.3850000000000002,3.425,3.35,-,3.4200000000000004,3.3909999999999996,71200,2414735.0,-,-,-, 
1996-05-14,HDFCBANK,EQ,3.4850000000000003,3.4850000000000003,3.375,-,3.425,3.4130000000000003,119200,4068795.0,-,-,-, 
1996-05-15,HDFCBANK,EQ,3.425,3.5,3.4,-,3.4799999999999995,3.4520000000000004,160800,5551460.0,-,-,-, 
1996-05-16,HDFCBANK,EQ,3.4799999999999995,3.6700000000000004,3.5149999999999997,-,3.575,3.601,267100,9618900.0,-,-,-, 
1996-05-17,HDFCBANK,EQ,3.55,3.55,3.475,-,3.53,3.5159999999999996,138500,4869555.0,-,-,-, 
1996-05-20,HDFCBANK,EQ,3.475,3.4799999999999995,3.4,-,3.405,3.4229999999999996,93300,3193280.0,-,-,-, 
1996-05-21,HDFCBANK,EQ,3.4,3.4,3.325,-,3.335,3.3520000000000003,164400,5509950.0,-,-,-, 
1996-05-22,HDFCBANK,EQ,3.335,3.4200000000000004,3.37,-,3.375,3.393,64500,2188795.0,-,-,-, 
1996-05-23,HDFCBANK,EQ,3.4,3.4,3.335,-,3.35,3.353,36100,1210380.0,-,-,-, 
1996-05-24,HDFCBANK,EQ,3.35,3.4,3.35,-,3.3850000000000002,3.3729999999999998,47300,1595420.0,-,-,-, 
1996-05-27,HDFCBANK,EQ,3.3850000000000002,3.3850000000000002,3.325,-,3.34,3.364,136200,4582385.0,-,-,-, 
1996-05-28,HDFCBANK,EQ,3.34,3.4,3.3,-,3.3899999999999997,3.3649999999999998,139000,4676890.0,-,-,-, 
1996-05-29,HDFCBANK,EQ,3.3899999999999997,3.45,3.3950000000000005,-,3.4450000000000003,3.4259999999999997,131400,4501375.0,-,-,-, 
1996-05-30,HDFCBANK,EQ,3.5,3.5,3.375,-,3.41,3.415,80400,2745535.0,-,-,-, 
1996-05-31,HDFCBANK,EQ,3.41,3.4299999999999997,3.37,-,3.415,3.402,48600,1653475.0,-,-,-, 
1996-06-03,HDFCBANK,EQ,3.415,3.5,3.415,-,3.45,3.446,76600,2639445.0,-,-,-, 
1996-06-04,HDFCBANK,EQ,3.45,3.475,3.375,-,3.4,3.4200000000000004,169800,5806940.0,-,-,-, 
1996-06-05,HDFCBANK,EQ,3.4,3.45,3.3899999999999997,-,3.405,3.405,43700,1487795.0,-,-,-, 
1996-06-06,HDFCBANK,EQ,3.4450000000000003,3.46,3.405,-,3.435,3.433,62200,2135485.0,-,-,-, 
1996-06-07,HDFCBANK,EQ,3.4200000000000004,3.4450000000000003,3.405,-,3.435,3.428,40500,1388285.0,-,-,-, 
1996-06-10,HDFCBANK,EQ,3.465,3.465,3.425,-,3.44,3.438,86000,2956475.0,-,-,-, 
1996-06-11,HDFCBANK,EQ,3.47,3.47,3.4,-,3.4299999999999997,3.4299999999999997,105400,3614930.0,-,-,-, 
1996-06-12,HDFCBANK,EQ,3.45,3.5450000000000004,3.44,-,3.5100000000000002,3.4939999999999998,165700,5790310.0,-,-,-, 
1996-06-13,HDFCBANK,EQ,3.5100000000000002,3.88,3.5,-,3.875,3.7700000000000005,732000,27593760.0,-,-,-, 
1996-06-14,HDFCBANK,EQ,3.925,4.17,3.925,-,4.045,4.076,903600,36833655.0,-,-,-, 
1996-06-17,HDFCBANK,EQ,4.05,4.13,3.85,-,3.87,3.9909999999999997,681200,27189695.0,-,-,-, 
1996-06-18,HDFCBANK,EQ,3.85,3.9,3.75,-,3.8299999999999996,3.8329999999999997,470800,18043780.0,-,-,-, 
1996-06-19,HDFCBANK,EQ,3.935,3.95,3.775,-,3.8,3.8579999999999997,342200,13201870.0,-,-,-, 
1996-06-20,HDFCBANK,EQ,3.75,3.8,3.7,-,3.7649999999999997,3.739,298100,11147065.0,-,-,-, 
1996-06-21,HDFCBANK,EQ,3.7,3.7649999999999997,3.655,-,3.6799999999999997,3.7039999999999997,236400,8756775.0,-,-,-, 
1996-06-24,HDFCBANK,EQ,3.71,3.71,3.6,-,3.66,3.6340000000000003,193100,7017705.0,-,-,-, 
1996-06-25,HDFCBANK,EQ,3.675,3.6799999999999997,3.6100000000000003,-,3.6399999999999997,3.651,400000,14605005.0,-,-,-, 
1996-06-26,HDFCBANK,EQ,3.85,4.025,3.85,-,3.915,3.968,1406100,55800880.0,-,-,-, 
1996-06-27,HDFCBANK,EQ,3.91,3.9450000000000003,3.8049999999999997,-,3.9299999999999997,3.8869999999999996,798200,31024995.0,-,-,-, 
1996-06-28,HDFCBANK,EQ,3.96,4.05,3.91,-,3.9899999999999998,3.9869999999999997,1495900,59647775.0,-,-,-, 
1996-07-01,HDFCBANK,EQ,4.01,4.025,3.875,-,3.905,3.937,1133400,44621285.0,-,-,-, 
1996-07-02,HDFCBANK,EQ,3.925,3.9799999999999995,3.875,-,3.8950000000000005,3.906,603900,23589725.0,-,-,-, 
1996-07-03,HDFCBANK,EQ,3.875,3.9,3.8299999999999996,-,3.8549999999999995,3.868,785500,30382675.0,-,-,-, 
1996-07-04,HDFCBANK,EQ,3.8299999999999996,3.91,3.775,-,3.8600000000000003,3.839,947700,36380225.0,-,-,-, 
1996-07-05,HDFCBANK,EQ,3.8549999999999995,3.91,3.85,-,3.8549999999999995,3.874,306900,11890560.0,-,-,-, 
1996-07-08,HDFCBANK,EQ,3.9299999999999997,3.9299999999999997,3.8549999999999995,-,3.875,3.882,192700,7480100.0,-,-,-, 
1996-07-09,HDFCBANK,EQ,3.875,3.88,3.8200000000000003,-,3.835,3.844,341400,13122425.0,-,-,-, 
