Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,HEROHONDA,EQ,229.0,226.25,226.25,-,226.25,226.25,50,11312.5,-,-,-, 
1996-01-02,HEROHONDA,EQ,230.0,239.95,224.0,-,224.5,227.1,500,113550.0,-,-,-, 
1996-01-03,HEROHONDA,EQ,225.0,227.0,224.0,-,224.0,225.95,500,112975.0,-,-,-, 
1996-01-04,HEROHONDA,EQ,236.0,236.0,222.0,-,226.0,226.66,2200,498650.0,-,-,-, 
1996-01-05,HEROHONDA,EQ,226.0,228.5,224.0,-,227.85,227.28,300,68182.5,-,-,-, 
1996-01-08,HEROHONDA,EQ,227.85,228.0,225.0,-,225.0,227.61,2800,637300.0,-,-,-, 
1996-01-09,HEROHONDA,EQ,225.0,224.95,220.0,-,222.0,221.79,750,166342.5,-,-,-, 
1996-01-10,HEROHONDA,EQ,220.05,224.5,220.05,-,224.5,222.01,450,99905.0,-,-,-, 
1996-01-11,HEROHONDA,EQ,224.5,224.0,221.0,-,221.0,223.0,450,100350.0,-,-,-, 
1996-01-12,HEROHONDA,EQ,221.0,225.0,222.05,-,222.05,223.76,200,44752.5,-,-,-, 
1996-01-15,HEROHONDA,EQ,222.05,224.5,222.0,-,222.0,223.1,500,111550.0,-,-,-, 
1996-01-16,HEROHONDA,EQ,223.0,223.0,219.75,-,223.0,222.11,350,77737.5,-,-,-, 
1996-01-17,HEROHONDA,EQ,223.0,222.0,220.0,-,220.0,220.67,150,33100.0,-,-,-, 
1996-01-18,HEROHONDA,EQ,220.0,223.0,222.0,-,223.0,222.64,550,122450.0,-,-,-, 
1996-01-19,HEROHONDA,EQ,223.0,225.0,222.05,-,222.05,222.44,1400,311420.0,-,-,-, 
1996-01-22,HEROHONDA,EQ,222.05,224.0,223.5,-,223.7,223.67,150,33550.0,-,-,-, 
1996-01-23,HEROHONDA,EQ,223.7,224.0,221.0,-,222.55,223.21,850,189727.5,-,-,-, 
1996-01-24,HEROHONDA,EQ,222.55,222.0,221.05,-,221.05,221.57,550,121862.5,-,-,-, 
1996-01-25,HEROHONDA,EQ,221.05,223.5,220.0,-,221.05,222.04,600,133222.5,-,-,-, 
1996-01-29,HEROHONDA,EQ,221.05,224.0,222.05,-,222.25,222.44,550,122342.5,-,-,-, 
1996-01-30,HEROHONDA,EQ,222.25,225.0,222.05,-,225.0,223.74,750,167807.5,-,-,-, 
1996-01-31,HEROHONDA,EQ,225.0,227.0,225.0,-,227.0,225.53,400,90212.5,-,-,-, 
1996-02-01,HEROHONDA,EQ,227.0,233.0,227.5,-,233.0,230.49,400,92197.5,-,-,-, 
1996-02-02,HEROHONDA,EQ,233.0,233.0,228.0,-,232.75,230.09,400,92037.5,-,-,-, 
1996-02-05,HEROHONDA,EQ,232.0,235.0,231.0,-,235.0,232.86,500,116427.5,-,-,-, 
1996-02-06,HEROHONDA,EQ,235.0,240.0,235.05,-,237.0,236.77,850,201252.5,-,-,-, 
1996-02-07,HEROHONDA,EQ,237.0,235.0,231.05,-,231.05,233.71,800,186970.0,-,-,-, 
1996-02-08,HEROHONDA,EQ,231.05,231.25,231.05,-,231.25,231.18,150,34677.5,-,-,-, 
1996-02-09,HEROHONDA,EQ,231.25,245.0,231.0,-,240.0,239.21,1500,358817.5,-,-,-, 
1996-02-12,HEROHONDA,EQ,240.0,245.0,240.0,-,245.0,241.26,1750,422200.0,-,-,-, 
1996-02-13,HEROHONDA,EQ,245.0,246.75,245.0,-,245.0,245.44,600,147265.0,-,-,-, 
1996-02-14,HEROHONDA,EQ,245.0,250.0,246.5,-,250.0,249.06,400,99625.0,-,-,-, 
