Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,ITC,EQ,83.25,84.0,83.0,-,83.75,83.48333333333333,21900,5484855.0,-,-,-, 
1996-01-02,ITC,EQ,82.0,83.5,79.33333333333333,-,80.58333333333333,80.61666666666666,166000,40147470.0,-,-,-, 
1996-01-03,ITC,EQ,77.0,78.81666666666666,76.51666666666667,-,78.0,78.03,336900,78866305.0,-,-,-, 
1996-01-04,ITC,EQ,78.0,79.98333333333333,77.16666666666667,-,79.46666666666667,78.20666666666666,275500,64638390.0,-,-,-, 
1996-01-05,ITC,EQ,79.46666666666667,79.16666666666667,77.83333333333333,-,78.03333333333333,78.45333333333333,111300,26195660.0,-,-,-, 
1996-01-08,ITC,EQ,78.03333333333333,78.58333333333333,75.16666666666667,-,75.63333333333334,76.36333333333333,281000,64373730.0,-,-,-, 
1996-01-09,ITC,EQ,75.63333333333334,76.63333333333334,74.75,-,75.43333333333334,75.58,199300,45188755.0,-,-,-, 
1996-01-10,ITC,EQ,75.43333333333334,76.66666666666667,74.66666666666667,-,75.18333333333334,75.81333333333333,66400,15102180.0,-,-,-, 
1996-01-11,ITC,EQ,75.18333333333334,75.64999999999999,74.83333333333333,-,75.58333333333333,75.17666666666666,49500,11163660.0,-,-,-, 
1996-01-12,ITC,EQ,75.58333333333333,77.0,75.33333333333333,-,76.33333333333333,76.38666666666667,106800,24473760.0,-,-,-, 
1996-01-15,ITC,EQ,76.33333333333333,76.66666666666667,75.41666666666667,-,75.51666666666667,75.83333333333333,44900,10214740.0,-,-,-, 
1996-01-16,ITC,EQ,75.51666666666667,76.01666666666667,75.0,-,75.28333333333333,75.54666666666667,68500,15525105.0,-,-,-, 
1996-01-17,ITC,EQ,75.28333333333333,75.66666666666667,75.03333333333333,-,75.26666666666667,75.41,68400,15473890.0,-,-,-, 
1996-01-18,ITC,EQ,75.26666666666667,74.96666666666667,73.33333333333333,-,74.33333333333333,74.31333333333333,114400,25503795.0,-,-,-, 
1996-01-19,ITC,EQ,74.33333333333333,74.5,69.41666666666667,-,71.11666666666666,71.06666666666666,358400,76410395.0,-,-,-, 
1996-01-22,ITC,EQ,71.11666666666666,71.63333333333334,69.68333333333334,-,70.61666666666666,70.62,87700,18580090.0,-,-,-, 
1996-01-23,ITC,EQ,70.61666666666666,71.21666666666667,65.66666666666667,-,66.25,68.61,176600,36349000.0,-,-,-, 
1996-01-24,ITC,EQ,66.25,67.16666666666667,62.25,-,63.38333333333333,63.89333333333334,350300,67145455.0,-,-,-, 
1996-01-25,ITC,EQ,63.38333333333333,63.333333333333336,62.166666666666664,-,62.73333333333333,62.76666666666667,180900,34063845.0,-,-,-, 
1996-01-29,ITC,EQ,62.73333333333333,67.58333333333333,62.51666666666667,-,66.25,65.25666666666667,214200,41932880.0,-,-,-, 
1996-01-30,ITC,EQ,66.25,72.31666666666666,66.60000000000001,-,70.38333333333334,68.32666666666667,348200,71373610.0,-,-,-, 
