Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,M&M,EQ,165.725,165.75,163.075,-,163.075,164.585,450,148127.5,-,-,-, 
1996-01-02,M&M,EQ,163.075,162.75,160.025,-,160.75,161.66,1950,630477.5,-,-,-, 
1996-01-03,M&M,EQ,96.45,105.0,102.0,-,102.525,103.305,2200,454545.0,-,-,-, 
1996-01-04,M&M,EQ,102.525,103.0,101.0,-,102.0,101.82,1100,224002.5,-,-,-, 
1996-01-05,M&M,EQ,102.0,103.0,101.0,-,102.525,102.305,1900,388765.0,-,-,-, 
1996-01-08,M&M,EQ,102.525,101.75,100.525,-,100.875,101.225,1100,222697.5,-,-,-, 
1996-01-09,M&M,EQ,100.875,101.5,97.525,-,97.725,99.635,3200,637667.5,-,-,-, 
1996-01-10,M&M,EQ,100.5,100.5,97.5,-,99.375,98.86,1850,365782.5,-,-,-, 
1996-01-11,M&M,EQ,99.375,99.5,98.0,-,98.875,98.97,450,89075.0,-,-,-, 
1996-01-12,M&M,EQ,98.875,101.5,97.5,-,100.925,100.09,3100,620557.5,-,-,-, 
1996-01-15,M&M,EQ,100.925,101.0,100.0,-,100.925,100.65,600,120780.0,-,-,-, 
1996-01-16,M&M,EQ,100.925,102.0,99.5,-,101.475,101.305,900,182350.0,-,-,-, 
1996-01-17,M&M,EQ,101.475,101.5,100.0,-,100.925,100.6,800,160960.0,-,-,-, 
1996-01-18,M&M,EQ,100.925,102.5,99.975,-,102.5,102.44,31350,6422987.5,-,-,-, 
1996-01-19,M&M,EQ,101.0,101.5,100.025,-,101.0,101.05,2600,525457.5,-,-,-, 
1996-01-22,M&M,EQ,101.0,101.5,100.1,-,101.0,100.62,3100,623842.5,-,-,-, 
1996-01-23,M&M,EQ,101.0,105.25,100.35,-,103.65,102.305,6500,1329955.0,-,-,-, 
1996-01-24,M&M,EQ,103.0,103.5,101.375,-,102.0,102.2,850,173737.5,-,-,-, 
1996-01-25,M&M,EQ,102.0,105.0,101.0,-,105.0,104.45,15350,3206680.0,-,-,-, 
1996-01-29,M&M,EQ,105.0,106.5,102.5,-,106.125,104.8,500,104800.0,-,-,-, 
1996-01-30,M&M,EQ,106.125,112.5,104.45,-,112.5,112.255,31150,6993432.5,-,-,-, 
1996-01-31,M&M,EQ,110.0,112.5,105.025,-,112.5,111.585,12600,2811902.5,-,-,-, 
1996-02-01,M&M,EQ,112.5,117.5,109.625,-,117.375,117.015,55650,13023752.5,-,-,-, 
1996-02-02,M&M,EQ,112.5,116.75,112.5,-,116.175,115.595,4050,936335.0,-,-,-, 
1996-02-05,M&M,EQ,116.175,121.25,114.0,-,121.0,120.185,63450,15251712.5,-,-,-, 
1996-02-06,M&M,EQ,121.0,121.025,117.75,-,119.8,120.35,8600,2070022.5,-,-,-, 
1996-02-07,M&M,EQ,119.8,123.875,116.0,-,121.85,122.535,8450,2070882.5,-,-,-, 
1996-02-08,M&M,EQ,121.85,128.0,124.0,-,126.0,126.34,5350,1351817.5,-,-,-, 
1996-02-09,M&M,EQ,127.5,128.0,125.5,-,126.125,126.87,7650,1941115.0,-,-,-, 
1996-02-12,M&M,EQ,127.0,131.0,121.0,-,123.825,125.91,4800,1208727.5,-,-,-, 
1996-02-13,M&M,EQ,122.5,130.025,121.05,-,129.4,127.415,11350,2892370.0,-,-,-, 
1996-02-14,M&M,EQ,132.5,141.5,132.5,-,139.5,140.245,57500,16127915.0,-,-,-, 
1996-02-15,M&M,EQ,139.5,141.0,136.25,-,139.975,138.275,8650,2392157.5,-,-,-, 
1996-02-16,M&M,EQ,139.975,138.5,135.075,-,137.35,137.58,6900,1898605.0,-,-,-, 
1996-02-19,M&M,EQ,137.35,140.5,135.5,-,140.0,139.165,7800,2170995.0,-,-,-, 
1996-02-20,M&M,EQ,140.0,141.525,139.25,-,140.125,140.29,9050,2539212.5,-,-,-, 
1996-02-22,M&M,EQ,140.125,142.0,140.075,-,140.525,141.215,4300,1214462.5,-,-,-, 
1996-02-23,M&M,EQ,140.525,142.375,140.275,-,141.35,141.175,4900,1383517.5,-,-,-, 
1996-02-26,M&M,EQ,141.35,147.0,142.5,-,146.0,144.765,8600,2489932.5,-,-,-, 
1996-02-27,M&M,EQ,146.0,148.0,144.5,-,147.375,146.24,5350,1564765.0,-,-,-, 
1996-02-28,M&M,EQ,147.375,147.5,142.5,-,143.5,144.84,2950,854547.5,-,-,-, 
1996-02-29,M&M,EQ,143.5,141.75,137.5,-,138.675,139.65,9550,2667342.5,-,-,-, 
1996-03-01,M&M,EQ,138.675,140.875,138.025,-,139.825,139.52,6450,1799832.5,-,-,-, 
1996-03-04,M&M,EQ,139.825,140.0,136.0,-,136.15,137.995,3600,993580.0,-,-,-, 
1996-03-06,M&M,EQ,136.15,140.125,137.25,-,137.3,139.015,1750,486560.0,-,-,-, 
1996-03-07,M&M,EQ,137.3,142.475,137.0,-,137.2,138.32,2050,567120.0,-,-,-, 
1996-03-08,M&M,EQ,137.2,137.0,135.125,-,136.725,136.265,1950,531440.0,-,-,-, 
1996-03-11,M&M,EQ,136.725,132.5,127.65,-,129.425,130.045,2000,520175.0,-,-,-, 
1996-03-12,M&M,EQ,129.425,129.5,126.75,-,127.775,127.605,4200,1071900.0,-,-,-, 
1996-03-13,M&M,EQ,127.775,130.5,127.525,-,130.5,129.895,2050,532567.5,-,-,-, 
1996-03-14,M&M,EQ,130.5,133.95,131.025,-,132.25,132.365,1200,317677.5,-,-,-, 
1996-03-15,M&M,EQ,132.25,134.0,131.25,-,134.0,132.14,2100,554985.0,-,-,-, 
1996-03-18,M&M,EQ,130.5,131.0,129.4,-,130.0,129.855,1050,272692.5,-,-,-, 
1996-03-19,M&M,EQ,130.0,132.25,129.25,-,129.6,130.17,1800,468612.5,-,-,-, 
1996-03-21,M&M,EQ,129.6,140.0,129.875,-,131.5,131.64,5750,1513840.0,-,-,-, 
1996-03-22,M&M,EQ,131.5,130.0,126.55,-,126.55,128.725,700,180212.5,-,-,-, 
1996-03-25,M&M,EQ,126.55,135.5,127.525,-,130.125,129.775,2500,648872.5,-,-,-, 
1996-03-26,M&M,EQ,130.125,129.175,127.25,-,127.5,127.735,650,166055.0,-,-,-, 
1996-03-27,M&M,EQ,127.5,130.025,125.5,-,126.0,129.135,6450,1665855.0,-,-,-, 
1996-03-28,M&M,EQ,126.0,132.475,126.0,-,130.55,128.545,5900,1516847.5,-,-,-, 
1996-03-29,M&M,EQ,130.55,132.0,127.5,-,128.25,128.755,1400,360520.0,-,-,-, 
1996-04-01,M&M,EQ,128.25,128.0,127.05,-,128.0,127.385,750,191080.0,-,-,-, 
1996-04-02,M&M,EQ,128.0,137.75,128.95,-,136.375,136.025,13550,3686295.0,-,-,-, 
1996-04-03,M&M,EQ,136.375,142.0,131.0,-,140.3,137.84,13550,3735510.0,-,-,-, 
1996-04-04,M&M,EQ,140.3,138.0,136.275,-,136.8,137.335,4000,1098692.5,-,-,-, 
1996-04-08,M&M,EQ,136.8,142.5,137.0,-,139.8,138.925,7500,2083857.5,-,-,-, 
1996-04-09,M&M,EQ,139.8,144.25,140.075,-,143.25,142.22,9850,2801747.5,-,-,-, 
1996-04-10,M&M,EQ,143.25,140.05,137.125,-,138.7,138.995,3950,1098062.5,-,-,-, 
1996-04-11,M&M,EQ,138.7,137.625,135.5,-,137.575,137.215,2800,768392.5,-,-,-, 
1996-04-12,M&M,EQ,137.575,137.375,135.55,-,136.625,136.07,2700,734777.5,-,-,-, 
1996-04-15,M&M,EQ,136.625,139.425,135.05,-,138.125,137.78,8850,2438682.5,-,-,-, 
1996-04-16,M&M,EQ,138.125,143.0,139.0,-,142.725,141.85,18800,5333557.5,-,-,-, 
1996-04-17,M&M,EQ,142.725,144.0,141.5,-,143.65,143.305,7600,2178262.5,-,-,-, 
1996-04-18,M&M,EQ,143.65,150.0,141.6,-,146.975,145.69,16800,4895165.0,-,-,-, 
1996-04-19,M&M,EQ,146.975,147.0,142.5,-,145.0,145.46,6600,1920075.0,-,-,-, 
1996-04-22,M&M,EQ,145.0,146.7,141.0,-,141.275,145.12,16350,4745352.5,-,-,-, 
1996-04-23,M&M,EQ,141.275,140.75,136.25,-,136.7,137.715,10250,2823182.5,-,-,-, 
1996-04-24,M&M,EQ,136.7,144.975,140.0,-,144.625,142.9,9550,2729347.5,-,-,-, 
1996-04-25,M&M,EQ,144.625,147.0,140.525,-,141.5,144.3,25800,7445760.0,-,-,-, 
1996-04-26,M&M,EQ,141.5,143.75,138.875,-,141.5,141.04,4400,1241170.0,-,-,-, 
1996-04-29,M&M,EQ,141.5,147.5,140.0,-,144.25,142.85,8250,2357040.0,-,-,-, 
1996-04-30,M&M,EQ,144.25,145.0,142.5,-,144.7,143.99,6350,1828672.5,-,-,-, 
1996-05-01,M&M,EQ,144.7,146.25,142.5,-,145.5,145.1,5050,1465515.0,-,-,-, 
1996-05-02,M&M,EQ,145.5,145.55,143.5,-,145.125,144.76,3450,998847.5,-,-,-, 
1996-05-03,M&M,EQ,145.125,145.5,143.75,-,145.0,144.745,3400,984275.0,-,-,-, 
1996-05-06,M&M,EQ,145.0,145.5,143.5,-,145.0,144.88,15900,4607112.5,-,-,-, 
1996-05-07,M&M,EQ,145.0,146.45,142.875,-,146.0,145.27,7850,2280745.0,-,-,-, 
1996-05-08,M&M,EQ,146.0,147.375,144.5,-,145.55,146.655,17900,5250270.0,-,-,-, 
1996-05-09,M&M,EQ,145.55,147.0,144.5,-,145.5,145.37,3200,930367.5,-,-,-, 
1996-05-10,M&M,EQ,145.5,142.425,137.625,-,141.6,141.16,3800,1072820.0,-,-,-, 
1996-05-13,M&M,EQ,141.6,147.5,139.75,-,145.05,144.935,94250,27319985.0,-,-,-, 
1996-05-14,M&M,EQ,145.05,145.0,143.0,-,143.4,143.78,4000,1150240.0,-,-,-, 
1996-05-15,M&M,EQ,143.4,148.0,141.75,-,146.35,146.335,6900,2019415.0,-,-,-, 
1996-05-16,M&M,EQ,146.35,154.0,147.5,-,153.8,153.195,69650,21340390.0,-,-,-, 
1996-05-17,M&M,EQ,153.8,152.5,148.275,-,151.725,150.825,11900,3589690.0,-,-,-, 
1996-05-20,M&M,EQ,151.725,150.0,145.55,-,145.85,147.83,5050,1493090.0,-,-,-, 
1996-05-21,M&M,EQ,145.85,147.25,143.0,-,145.7,144.865,14250,4128712.5,-,-,-, 
1996-05-22,M&M,EQ,145.7,147.475,146.0,-,146.875,146.525,2950,864492.5,-,-,-, 
1996-05-23,M&M,EQ,146.875,145.5,143.15,-,145.05,144.33,6200,1789667.5,-,-,-, 
1996-05-24,M&M,EQ,145.05,152.5,145.525,-,148.975,148.68,12500,3716950.0,-,-,-, 
1996-05-27,M&M,EQ,148.975,149.5,145.0,-,148.375,147.985,18150,5371892.5,-,-,-, 
1996-05-28,M&M,EQ,148.375,155.0,146.275,-,150.5,148.455,13500,4008292.5,-,-,-, 
1996-05-29,M&M,EQ,150.5,151.35,147.625,-,150.85,150.315,5500,1653487.5,-,-,-, 
1996-05-30,M&M,EQ,150.85,155.0,149.0,-,149.3,149.59,1950,583395.0,-,-,-, 
1996-05-31,M&M,EQ,149.3,150.0,149.25,-,149.275,149.78,1900,569170.0,-,-,-, 
1996-06-03,M&M,EQ,149.275,152.5,149.0,-,151.0,151.69,6600,2002315.0,-,-,-, 
1996-06-04,M&M,EQ,151.0,153.0,150.25,-,150.9,152.01,14550,4423445.0,-,-,-, 
1996-06-05,M&M,EQ,150.25,153.0,150.075,-,152.3,151.46,7900,2393062.5,-,-,-, 
1996-06-06,M&M,EQ,155.0,158.75,153.15,-,157.975,155.98,13050,4071130.0,-,-,-, 
1996-06-07,M&M,EQ,157.075,158.0,156.5,-,157.425,157.255,12350,3884200.0,-,-,-, 
1996-06-10,M&M,EQ,157.5,162.5,157.375,-,162.475,161.47,40050,12933665.0,-,-,-, 
1996-06-11,M&M,EQ,159.0,159.5,158.0,-,159.05,158.715,9400,2983817.5,-,-,-, 
1996-06-12,M&M,EQ,162.5,167.0,161.5,-,162.45,164.45,26800,8814422.5,-,-,-, 
1996-06-13,M&M,EQ,166.225,167.375,164.0,-,165.75,165.435,52300,17304547.5,-,-,-, 
1996-06-14,M&M,EQ,168.5,182.25,166.5,-,180.325,174.54,120750,42151017.5,-,-,-, 
1996-06-17,M&M,EQ,184.475,197.5,166.0,-,176.375,182.795,67500,24677472.5,-,-,-, 
1996-06-18,M&M,EQ,176.0,180.0,173.5,-,177.925,177.775,52900,18808490.0,-,-,-, 
1996-06-19,M&M,EQ,194.0,195.0,186.5,-,187.475,189.23,246100,93139067.5,-,-,-, 
1996-06-20,M&M,EQ,186.125,187.5,182.6,-,184.425,184.985,129900,48059237.5,-,-,-, 
1996-06-21,M&M,EQ,184.0,185.0,182.0,-,182.35,183.43,69900,25643647.5,-,-,-, 
1996-06-24,M&M,EQ,184.875,184.875,178.25,-,181.1,180.445,63400,22880470.0,-,-,-, 
