Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,SBIN,EQ,19.81,20.115000000000002,19.65,-,19.95,19.919999999999998,4126350,821958032.5,-,-,-, 
1996-01-02,SBIN,EQ,20.025,20.1,18.8,-,19.315,19.594,5299500,1038379815.0,-,-,-, 
1996-01-03,SBIN,EQ,19.425,19.68,18.7,-,18.8,19.163999999999998,6443900,1234929182.5,-,-,-, 
1996-01-04,SBIN,EQ,18.55,18.9,18.255000000000003,-,18.735,18.5,8121250,1502403922.5,-,-,-, 
1996-01-05,SBIN,EQ,18.8,18.85,18.505000000000003,-,18.630000000000003,18.669999999999998,7228600,1349576057.5,-,-,-, 
1996-01-08,SBIN,EQ,18.525,18.7,17.935,-,18.085,18.358,5226650,959506600.0,-,-,-, 
1996-01-09,SBIN,EQ,17.9,19.8,17.705000000000002,-,19.075,18.247,7742300,1412752175.0,-,-,-, 
1996-01-10,SBIN,EQ,18.45,18.775,18.075,-,18.2,18.488999999999997,5129050,948287860.0,-,-,-, 
1996-01-11,SBIN,EQ,18.0,19.0,18.0,-,18.895,18.557,6224700,1155144487.5,-,-,-, 
1996-01-12,SBIN,EQ,18.95,19.325,18.625,-,18.905,18.967,9638300,1828073430.0,-,-,-, 
1996-01-15,SBIN,EQ,19.1,19.29,18.85,-,18.965,19.063,6431950,1226106072.5,-,-,-, 
1996-01-16,SBIN,EQ,18.975,20.7,18.85,-,19.365000000000002,19.182,8727300,1674111827.5,-,-,-, 
1996-01-17,SBIN,EQ,18.925,19.05,18.5,-,18.57,18.797,6177950,1161281575.0,-,-,-, 
1996-01-18,SBIN,EQ,18.355,18.68,18.15,-,18.445,18.434,6380150,1176110087.5,-,-,-, 
1996-01-19,SBIN,EQ,18.325,18.73,18.325,-,18.665,18.556,4496100,834316452.5,-,-,-, 
1996-01-22,SBIN,EQ,18.8,19.41,18.759999999999998,-,19.315,19.139,7690900,1471953080.0,-,-,-, 
1996-01-23,SBIN,EQ,19.490000000000002,19.895,19.25,-,19.52,19.621000000000002,12293800,2412155465.0,-,-,-, 
1996-01-24,SBIN,EQ,18.9,19.0,18.39,-,18.86,18.731,5140750,962933330.0,-,-,-, 
1996-01-25,SBIN,EQ,19.2,19.369999999999997,18.95,-,19.04,19.162,6387750,1224020927.5,-,-,-, 
1996-01-29,SBIN,EQ,19.25,20.095,19.155,-,19.91,19.731,7141500,1409072712.5,-,-,-, 
1996-01-30,SBIN,EQ,20.2,20.880000000000003,19.7,-,20.355,20.534,8412750,1727497355.0,-,-,-, 
1996-01-31,SBIN,EQ,19.9,20.275,19.305,-,19.66,19.726,5362150,1057728912.5,-,-,-, 
1996-02-01,SBIN,EQ,19.525,20.8,19.525,-,20.634999999999998,20.264,9114350,1846891585.0,-,-,-, 
1996-02-02,SBIN,EQ,21.05,22.2,20.9,-,22.06,21.577,10002300,2158150310.0,-,-,-, 
1996-02-05,SBIN,EQ,22.35,24.25,22.35,-,23.45,23.137,15185300,3513456165.0,-,-,-, 
1996-02-06,SBIN,EQ,23.8,24.55,23.1,-,23.65,23.875999999999998,13902350,3319353087.5,-,-,-, 
1996-02-07,SBIN,EQ,22.89,23.7,22.0,-,23.235,23.196,6366950,1476888787.5,-,-,-, 
1996-02-08,SBIN,EQ,23.305,24.275,22.869999999999997,-,23.895,23.369,4981450,1164131657.5,-,-,-, 
1996-02-09,SBIN,EQ,24.125,25.925,23.69,-,25.585,24.951,7036800,1755722582.5,-,-,-, 
1996-02-12,SBIN,EQ,25.3,25.72,23.8,-,24.085,24.932,7699900,1919750032.5,-,-,-, 
1996-02-13,SBIN,EQ,24.025,24.490000000000002,23.35,-,24.215,23.957,7898400,1892210880.0,-,-,-, 
1996-02-14,SBIN,EQ,25.1,25.485,24.8,-,24.925,25.103,4930000,1237587287.5,-,-,-, 
1996-02-15,SBIN,EQ,24.8,25.2,24.525,-,24.78,24.895,3836600,955137662.5,-,-,-, 
1996-02-16,SBIN,EQ,24.595,24.645,24.035,-,24.2,24.294999999999998,3879150,942439087.5,-,-,-, 
1996-02-19,SBIN,EQ,24.3,24.7,24.25,-,24.365000000000002,24.455000000000002,2754750,673668910.0,-,-,-, 
1996-02-20,SBIN,EQ,24.4,24.419999999999998,23.41,-,23.605,23.990000000000002,2883450,691742877.5,-,-,-, 
1996-02-22,SBIN,EQ,24.04,24.345,23.9,-,24.259999999999998,24.205000000000002,2041600,494163225.0,-,-,-, 
1996-02-23,SBIN,EQ,24.3,24.75,23.93,-,24.619999999999997,24.365000000000002,4401900,1072528920.0,-,-,-, 
1996-02-26,SBIN,EQ,25.2,25.835,25.11,-,25.275,25.517,6793200,1733406407.5,-,-,-, 
1996-02-27,SBIN,EQ,25.4,25.55,24.9,-,25.23,25.202,5911400,1489785557.5,-,-,-, 
1996-02-28,SBIN,EQ,25.6,25.8,25.21,-,25.259999999999998,25.479,3454200,880110575.0,-,-,-, 
1996-02-29,SBIN,EQ,25.1,25.195,23.7,-,24.03,24.486,6701850,1641026265.0,-,-,-, 
1996-03-01,SBIN,EQ,24.3,24.54,24.0,-,24.325,24.256,4679750,1135121330.0,-,-,-, 
1996-03-04,SBIN,EQ,24.4,24.494999999999997,23.5,-,24.080000000000002,24.25,3832000,929266762.5,-,-,-, 
1996-03-06,SBIN,EQ,24.11,24.490000000000002,24.05,-,24.369999999999997,24.313,2090850,508352560.0,-,-,-, 
1996-03-07,SBIN,EQ,24.5,24.72,24.125,-,24.215,24.490000000000002,2953550,723329372.5,-,-,-, 
1996-03-08,SBIN,EQ,24.005000000000003,24.095,23.61,-,23.990000000000002,23.86,3739900,892349337.5,-,-,-, 
1996-03-11,SBIN,EQ,23.5,23.7,23.145,-,23.44,23.436,3690050,864812145.0,-,-,-, 
1996-03-12,SBIN,EQ,23.415,23.515,23.2,-,23.405,23.369,2588050,604813017.5,-,-,-, 
1996-03-13,SBIN,EQ,23.395,24.044999999999998,23.275,-,23.965,23.678,2587250,612618847.5,-,-,-, 
1996-03-14,SBIN,EQ,24.05,24.259999999999998,23.81,-,23.94,24.068,3429050,825314352.5,-,-,-, 
1996-03-15,SBIN,EQ,23.9,23.95,23.45,-,23.509999999999998,23.681,2742350,649408860.0,-,-,-, 
1996-03-18,SBIN,EQ,23.3,23.445,22.825,-,22.895,23.091,2563100,591847515.0,-,-,-, 
1996-03-19,SBIN,EQ,22.895,23.185,21.7,-,22.27,22.749000000000002,3357200,763723577.5,-,-,-, 
1996-03-21,SBIN,EQ,22.705000000000002,23.15,22.705000000000002,-,22.975,22.959,1288000,295710125.0,-,-,-, 
1996-03-22,SBIN,EQ,22.725,22.9,22.325,-,22.725,22.56,2187050,493394767.5,-,-,-, 
1996-03-25,SBIN,EQ,22.9,23.195,22.765,-,22.875,22.971,2125250,488191882.5,-,-,-, 
1996-03-26,SBIN,EQ,22.89,23.0,22.18,-,22.7,22.619999999999997,2268150,513053927.5,-,-,-, 
1996-03-27,SBIN,EQ,23.0,23.35,23.0,-,23.119999999999997,23.202,1384600,321250237.5,-,-,-, 
1996-03-28,SBIN,EQ,23.119999999999997,24.5,23.165,-,23.505000000000003,23.398,1458200,341184305.0,-,-,-, 
1996-03-29,SBIN,EQ,23.65,23.75,23.35,-,23.54,23.553,2004900,472220015.0,-,-,-, 
1996-04-01,SBIN,EQ,23.0,24.3,23.0,-,24.175,23.945,3787050,906795027.5,-,-,-, 
1996-04-02,SBIN,EQ,24.505000000000003,25.3,23.865000000000002,-,24.94,24.713,5067850,1252428927.5,-,-,-, 
1996-04-03,SBIN,EQ,25.3,25.744999999999997,25.2,-,25.28,25.471,4588350,1168701057.5,-,-,-, 
1996-04-04,SBIN,EQ,25.2,25.275,24.855,-,25.205000000000002,25.089,3840400,963509042.5,-,-,-, 
1996-04-08,SBIN,EQ,26.1,26.85,25.85,-,26.54,26.217000000000002,6358600,1667043432.5,-,-,-, 
1996-04-09,SBIN,EQ,26.8,27.639999999999997,26.105,-,26.725,27.15,11681150,3171437272.5,-,-,-, 
1996-04-10,SBIN,EQ,26.6,26.95,26.119999999999997,-,26.29,26.519,6606700,1752013050.0,-,-,-, 
1996-04-11,SBIN,EQ,26.0,26.439999999999998,25.869999999999997,-,26.23,26.216,7203000,1888338710.0,-,-,-, 
1996-04-12,SBIN,EQ,26.3,26.939999999999998,26.110000000000003,-,26.855,26.606,6474600,1722621220.0,-,-,-, 
1996-04-15,SBIN,EQ,27.395,28.04,27.24,-,27.655,27.677999999999997,8343550,2309332932.5,-,-,-, 
1996-04-16,SBIN,EQ,27.660000000000004,29.0,27.55,-,28.410000000000004,28.063,9121850,2559897777.5,-,-,-, 
1996-04-17,SBIN,EQ,28.6,28.8,28.25,-,28.619999999999997,28.526999999999997,5995900,1710429032.5,-,-,-, 
1996-04-18,SBIN,EQ,29.2,30.3,29.119999999999997,-,30.135,29.722,9471950,2815255207.5,-,-,-, 
1996-04-19,SBIN,EQ,30.3,31.475,30.15,-,30.814999999999998,30.933999999999997,12215950,3778823345.0,-,-,-, 
1996-04-22,SBIN,EQ,31.4,31.425,30.305,-,30.514999999999997,30.826,11361900,3502372345.0,-,-,-, 
1996-04-23,SBIN,EQ,30.125,30.744999999999997,29.825,-,30.195,30.285000000000004,14793700,4480261365.0,-,-,-, 
1996-04-24,SBIN,EQ,31.0,32.0,31.0,-,31.865,31.659,9558400,3026114587.5,-,-,-, 
1996-04-25,SBIN,EQ,33.1,33.8,30.9,-,31.65,32.805,12440450,4081133132.5,-,-,-, 
1996-04-26,SBIN,EQ,31.49,32.19,30.155,-,31.105,30.956,15347050,4750758685.0,-,-,-, 
1996-04-29,SBIN,EQ,30.695,30.98,30.294999999999998,-,30.835,30.667,8810550,2701914805.0,-,-,-, 
1996-04-30,SBIN,EQ,30.85,30.85,29.630000000000003,-,29.875,30.250999999999998,9717150,2939533310.0,-,-,-, 
1996-05-01,SBIN,EQ,30.6,30.860000000000003,30.24,-,30.365,30.506999999999998,5692700,1736686582.5,-,-,-, 
1996-05-02,SBIN,EQ,30.25,31.15,29.225,-,29.764999999999997,29.581,8548450,2528758897.5,-,-,-, 
1996-05-03,SBIN,EQ,29.3,29.475,28.425,-,28.575,28.979000000000003,11881750,3443199137.5,-,-,-, 
