Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,TISCO,EQ,199.0,199.75,196.55,-,199.25,198.76,575050,114296090.0,-,-,-, 
1996-01-02,TISCO,EQ,199.0,199.75,195.05,-,195.55,196.82,951900,187355340.0,-,-,-, 
1996-01-03,TISCO,EQ,195.55,200.0,195.05,-,195.6,197.37,758750,149756680.0,-,-,-, 
1996-01-04,TISCO,EQ,192.5,192.5,185.0,-,189.4,188.43,1953050,368021712.5,-,-,-, 
1996-01-05,TISCO,EQ,187.1,188.0,183.75,-,185.65,185.38,1692100,313686822.5,-,-,-, 
1996-01-08,TISCO,EQ,184.5,185.0,177.1,-,178.7,181.26,2063450,374015450.0,-,-,-, 
1996-01-09,TISCO,EQ,175.0,179.35,175.0,-,177.85,177.09,2075350,367518397.5,-,-,-, 
1996-01-10,TISCO,EQ,177.85,181.25,175.0,-,176.9,178.54,2016900,360098227.5,-,-,-, 
1996-01-11,TISCO,EQ,177.0,181.95,176.4,-,181.05,179.29,1556300,279036460.0,-,-,-, 
1996-01-12,TISCO,EQ,181.05,183.9,179.25,-,180.35,181.33,1773800,321645412.5,-,-,-, 
1996-01-15,TISCO,EQ,179.25,181.35,178.45,-,178.85,179.39,749650,134481172.5,-,-,-, 
1996-01-16,TISCO,EQ,178.85,180.0,177.1,-,178.5,178.66,1092900,195255300.0,-,-,-, 
1996-01-17,TISCO,EQ,177.0,178.3,171.5,-,172.45,175.08,1432400,250788807.5,-,-,-, 
1996-01-18,TISCO,EQ,170.05,171.25,166.0,-,168.8,169.35,1792750,303595277.5,-,-,-, 
1996-01-19,TISCO,EQ,166.75,169.4,166.0,-,167.35,167.76,1127300,189119427.5,-,-,-, 
1996-01-22,TISCO,EQ,169.0,170.65,167.25,-,169.1,169.38,858400,145399055.0,-,-,-, 
1996-01-23,TISCO,EQ,167.75,169.8,160.0,-,162.4,166.16,940550,156283932.5,-,-,-, 
1996-01-24,TISCO,EQ,162.4,183.9,157.5,-,160.2,160.61,1162700,186736922.5,-,-,-, 
1996-01-25,TISCO,EQ,160.0,160.55,155.75,-,156.75,158.26,893850,141464972.5,-,-,-, 
1996-01-29,TISCO,EQ,155.05,165.0,155.05,-,163.9,160.58,1816500,291686802.5,-,-,-, 
1996-01-30,TISCO,EQ,167.0,170.0,162.0,-,165.3,166.13,1797750,298652950.0,-,-,-, 
1996-01-31,TISCO,EQ,166.0,173.0,164.75,-,166.95,168.56,1951900,329003837.5,-,-,-, 
1996-02-01,TISCO,EQ,165.55,171.25,165.55,-,170.7,169.17,1037300,175483777.5,-,-,-, 
1996-02-02,TISCO,EQ,174.25,185.25,172.0,-,183.15,177.72,2230850,396462072.5,-,-,-, 
