Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,TITAN,EQ,5.8,5.8,5.75,-,5.75,5.775,200,23100.0,-,-,-, 
1996-01-02,TITAN,EQ,5.8,5.85,5.7,-,5.7524999999999995,5.7425,1200,137815.0,-,-,-, 
1996-01-03,TITAN,EQ,5.7524999999999995,5.75,5.65,-,5.7,5.688000000000001,1100,125135.0,-,-,-, 
1996-01-04,TITAN,EQ,5.65,5.65,5.55,-,5.6075,5.6015,2300,257680.0,-,-,-, 
1996-01-05,TITAN,EQ,5.5,5.55,5.45,-,5.455,5.4719999999999995,1000,109440.0,-,-,-, 
1996-01-08,TITAN,EQ,5.455,5.45,5.4,-,5.4,5.4245,1200,130190.0,-,-,-, 
1996-01-09,TITAN,EQ,5.25,5.4,5.25,-,5.3975,5.343999999999999,2300,245815.0,-,-,-, 
1996-01-10,TITAN,EQ,5.3975,5.45,5.3,-,5.45,5.3905,500,53905.0,-,-,-, 
1996-01-11,TITAN,EQ,5.4,5.5,5.4,-,5.5,5.4784999999999995,700,76700.0,-,-,-, 
1996-01-12,TITAN,EQ,5.5,5.825,5.65,-,5.65,5.711,2700,308395.0,-,-,-, 
1996-01-15,TITAN,EQ,5.45,5.45,5.4025,-,5.4275,5.4315,500,54315.0,-,-,-, 
1996-01-16,TITAN,EQ,5.4275,5.75,5.45,-,5.71,5.558,1700,188975.0,-,-,-, 
1996-01-17,TITAN,EQ,5.71,5.6475,5.465,-,5.465,5.5375,300,33225.0,-,-,-, 
1996-01-18,TITAN,EQ,5.375,5.5,5.3275,-,5.5,5.3965000000000005,2400,259025.0,-,-,-, 
1996-01-19,TITAN,EQ,5.325,5.4225,5.3,-,5.415,5.3695,2300,246995.0,-,-,-, 
1996-01-22,TITAN,EQ,5.415,5.5,5.35,-,5.5,5.4915,15100,1658360.0,-,-,-, 
1996-01-23,TITAN,EQ,5.5,5.4,5.05,-,5.0875,5.2565,1600,168200.0,-,-,-, 
1996-01-24,TITAN,EQ,5.0875,5.3225,5.1025,-,5.3225,5.25,900,94500.0,-,-,-, 
1996-01-25,TITAN,EQ,5.3225,5.3,5.0,-,5.0,5.111,1700,173775.0,-,-,-, 
1996-01-29,TITAN,EQ,5.0,5.125,5.05,-,5.125,5.089,2600,264625.0,-,-,-, 
1996-01-30,TITAN,EQ,5.125,5.2475000000000005,5.1274999999999995,-,5.225,5.1955,2900,301330.0,-,-,-, 
