Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,WIPRO,EQ,101.25,101.25,101.25,-,101.25,101.25,50,22500.0,-,-,-, 
1996-01-02,WIPRO,EQ,93.375,93.375,93.375,-,93.375,93.375,100,41500.0,-,-,-, 
1996-01-03,WIPRO,EQ,96.75,96.75,96.75,-,96.75,96.75,50,21500.0,-,-,-, 
1996-01-04,WIPRO,EQ,96.75,96.75,96.75,-,96.75,96.75,300,129000.0,-,-,-, 
1996-01-09,WIPRO,EQ,97.42500000000001,97.42500000000001,96.75,-,96.75,97.08749999999999,100,43150.0,-,-,-, 
1996-01-10,WIPRO,EQ,96.75,96.885,96.75,-,96.885,96.83999999999999,150,64560.0,-,-,-, 
1996-01-11,WIPRO,EQ,96.885,97.875,95.85000000000001,-,96.75,96.80624999999999,200,86050.0,-,-,-, 
1996-01-12,WIPRO,EQ,96.75,96.75,96.75,-,96.75,96.75,50,21500.0,-,-,-, 
1996-01-16,WIPRO,EQ,94.5,94.5,94.5,-,94.5,94.5,50,21000.0,-,-,-, 
1996-01-18,WIPRO,EQ,94.5,96.30000000000001,96.30000000000001,-,96.30000000000001,96.30000000000001,50,21400.0,-,-,-, 
1996-01-19,WIPRO,EQ,94.95,94.95,94.5,-,94.5,94.72500000000001,100,42100.0,-,-,-, 
1996-01-22,WIPRO,EQ,92.71125,96.30000000000001,92.71125,-,96.30000000000001,93.429,250,103810.0,-,-,-, 
1996-01-23,WIPRO,EQ,96.30000000000001,94.5,94.5,-,94.5,94.5,200,84000.0,-,-,-, 
1996-01-24,WIPRO,EQ,94.27499999999999,94.5,94.27499999999999,-,94.5,94.3875,100,41950.0,-,-,-, 
1996-01-25,WIPRO,EQ,94.3875,94.6125,93.375,-,94.5,93.9915,1550,647500.0,-,-,-, 
1996-01-29,WIPRO,EQ,93.375,94.6125,93.375,-,94.5,94.3065,1100,461050.0,-,-,-, 
1996-01-30,WIPRO,EQ,94.5,94.48875,90.01125,-,93.72375000000001,93.726,300,124967.5,-,-,-, 
1996-02-02,WIPRO,EQ,95.625,96.75,95.625,-,96.75,96.1875,100,42750.0,-,-,-, 
1996-02-06,WIPRO,EQ,94.5,94.5,94.5,-,94.5,94.5,200,84000.0,-,-,-, 
1996-02-12,WIPRO,EQ,96.7275,96.7275,96.7275,-,96.7275,96.7275,100,42990.0,-,-,-, 
1996-02-16,WIPRO,EQ,101.25,101.25,101.25,-,101.25,101.25,150,67500.0,-,-,-, 
1996-02-26,WIPRO,EQ,101.25,101.25,101.25,-,101.25,101.25,50,22500.0,-,-,-, 
1996-02-27,WIPRO,EQ,99.0,99.0,97.875,-,97.875,98.4375,100,43750.0,-,-,-, 
1996-02-28,WIPRO,EQ,99.01124999999999,101.25,99.01124999999999,-,101.25,100.13175,200,89005.0,-,-,-, 
1996-03-01,WIPRO,EQ,101.25,101.25,101.25,-,101.25,101.25,50,22500.0,-,-,-, 
1996-03-04,WIPRO,EQ,99.0,101.25,99.0,-,101.25,100.125,100,44500.0,-,-,-, 
1996-03-08,WIPRO,EQ,100.125,101.25,100.125,-,100.6875,100.6875,100,44750.0,-,-,-, 
