Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-02,BPCL,EQ,39.666666666666664,39.333333333333336,39.0,-,39.0,39.083333333333336,400,93800.0,-,-,-, 
1996-01-03,BPCL,EQ,38.958333333333336,38.958333333333336,38.958333333333336,-,38.958333333333336,38.958333333333336,200,46750.0,-,-,-, 
1996-01-04,BPCL,EQ,38.958333333333336,39.166666666666664,38.583333333333336,-,39.166666666666664,38.875,200,46650.0,-,-,-, 
1996-01-08,BPCL,EQ,39.166666666666664,38.75,38.166666666666664,-,38.166666666666664,38.458333333333336,200,46150.0,-,-,-, 
1996-01-09,BPCL,EQ,37.166666666666664,38.34166666666667,37.0,-,38.34166666666667,38.01833333333334,1800,410605.0,-,-,-, 
1996-01-10,BPCL,EQ,38.333333333333336,38.666666666666664,38.333333333333336,-,38.666666666666664,38.666666666666664,139200,32294000.0,-,-,-, 
1996-01-11,BPCL,EQ,38.666666666666664,38.333333333333336,37.0,-,38.166666666666664,37.93833333333333,800,182100.0,-,-,-, 
1996-01-16,BPCL,EQ,39.166666666666664,39.166666666666664,38.333333333333336,-,39.166666666666664,38.75,400,93000.0,-,-,-, 
1996-01-18,BPCL,EQ,36.666666666666664,36.666666666666664,36.666666666666664,-,36.666666666666664,36.666666666666664,100,22000.0,-,-,-, 
1996-01-25,BPCL,EQ,36.666666666666664,36.666666666666664,36.666666666666664,-,36.666666666666664,36.666666666666664,100,22000.0,-,-,-, 
1996-01-29,BPCL,EQ,36.666666666666664,37.333333333333336,37.09166666666667,-,37.199999999999996,37.196666666666665,900,200860.0,-,-,-, 
1996-01-30,BPCL,EQ,37.199999999999996,37.5,36.84166666666667,-,37.5,37.42166666666667,1700,381705.0,-,-,-, 
1996-02-01,BPCL,EQ,37.5,38.333333333333336,37.5,-,38.333333333333336,38.041666666666664,1200,273900.0,-,-,-, 
1996-02-02,BPCL,EQ,39.0,40.0,38.675000000000004,-,39.00833333333333,39.23166666666666,1600,376630.0,-,-,-, 
1996-02-05,BPCL,EQ,40.0,42.833333333333336,40.0,-,42.833333333333336,41.845,3100,778310.0,-,-,-, 
1996-02-06,BPCL,EQ,42.833333333333336,44.666666666666664,43.333333333333336,-,44.333333333333336,44.36000000000001,1900,505700.0,-,-,-, 
1996-02-07,BPCL,EQ,44.333333333333336,43.375,43.333333333333336,-,43.333333333333336,43.343333333333334,400,104025.0,-,-,-, 
1996-02-08,BPCL,EQ,43.333333333333336,44.833333333333336,43.583333333333336,-,44.166666666666664,44.31333333333333,400,106350.0,-,-,-, 
1996-02-09,BPCL,EQ,45.666666666666664,45.666666666666664,44.666666666666664,-,45.61666666666667,45.455000000000005,1100,300000.0,-,-,-, 
1996-02-12,BPCL,EQ,45.61666666666667,49.166666666666664,47.166666666666664,-,47.5,49.04666666666666,39300,11565290.0,-,-,-, 
1996-02-13,BPCL,EQ,47.5,50.25,48.333333333333336,-,49.166666666666664,49.89833333333333,6600,1976000.0,-,-,-, 
1996-02-14,BPCL,EQ,49.175000000000004,49.833333333333336,49.175000000000004,-,49.175000000000004,49.321666666666665,600,177560.0,-,-,-, 
1996-02-15,BPCL,EQ,49.5,49.5,49.166666666666664,-,49.166666666666664,49.291666666666664,800,236600.0,-,-,-, 
1996-02-16,BPCL,EQ,49.166666666666664,49.166666666666664,48.333333333333336,-,48.53333333333333,48.531666666666666,3000,873565.0,-,-,-, 
1996-02-19,BPCL,EQ,48.53333333333333,49.166666666666664,47.50833333333333,-,49.166666666666664,48.96,1700,499400.0,-,-,-, 
1996-02-20,BPCL,EQ,49.166666666666664,48.333333333333336,47.5,-,47.833333333333336,47.93833333333333,800,230100.0,-,-,-, 
1996-02-22,BPCL,EQ,48.166666666666664,49.166666666666664,48.166666666666664,-,49.166666666666664,48.53333333333333,500,145600.0,-,-,-, 
1996-02-23,BPCL,EQ,49.166666666666664,48.675000000000004,48.333333333333336,-,48.666666666666664,48.64166666666667,1300,379410.0,-,-,-, 
1996-02-26,BPCL,EQ,48.666666666666664,49.833333333333336,49.166666666666664,-,49.833333333333336,49.56666666666666,1500,446100.0,-,-,-, 
1996-02-27,BPCL,EQ,49.833333333333336,49.833333333333336,49.583333333333336,-,49.833333333333336,49.77166666666667,400,119450.0,-,-,-, 
1996-02-29,BPCL,EQ,49.833333333333336,48.333333333333336,47.5,-,47.5,47.916666666666664,200,57500.0,-,-,-, 
1996-03-01,BPCL,EQ,47.5,48.35833333333333,48.0,-,48.0,48.29333333333333,1200,347710.0,-,-,-, 
1996-03-04,BPCL,EQ,48.041666666666664,48.333333333333336,48.041666666666664,-,48.333333333333336,48.11333333333334,600,173205.0,-,-,-, 
1996-03-06,BPCL,EQ,48.333333333333336,49.125,47.5,-,48.89166666666667,48.42333333333334,4400,1278355.0,-,-,-, 
1996-03-07,BPCL,EQ,48.89166666666667,49.083333333333336,48.333333333333336,-,48.708333333333336,48.48500000000001,1000,290905.0,-,-,-, 
1996-03-08,BPCL,EQ,48.708333333333336,47.833333333333336,47.833333333333336,-,47.833333333333336,47.833333333333336,100,28700.0,-,-,-, 
1996-03-11,BPCL,EQ,47.833333333333336,48.35,47.833333333333336,-,48.34166666666667,48.169999999999995,800,231215.0,-,-,-, 
1996-03-12,BPCL,EQ,48.34166666666667,48.666666666666664,47.675000000000004,-,48.0,48.55833333333334,20700,6030870.0,-,-,-, 
1996-03-15,BPCL,EQ,48.0,48.333333333333336,47.5,-,47.666666666666664,48.30833333333334,51800,15014275.0,-,-,-, 
1996-03-18,BPCL,EQ,47.5,47.5,47.166666666666664,-,47.4,47.455000000000005,1100,313200.0,-,-,-, 
1996-03-19,BPCL,EQ,47.4,47.333333333333336,46.5,-,46.666666666666664,46.593333333333334,18800,5255810.0,-,-,-, 
1996-03-21,BPCL,EQ,50.833333333333336,50.833333333333336,46.0,-,47.375,48.01333333333333,1600,460925.0,-,-,-, 
1996-03-22,BPCL,EQ,47.375,47.166666666666664,47.166666666666664,-,47.166666666666664,47.166666666666664,200,56600.0,-,-,-, 
1996-03-25,BPCL,EQ,47.166666666666664,47.625,47.625,-,47.625,47.625,100,28575.0,-,-,-, 
1996-03-26,BPCL,EQ,47.625,48.833333333333336,48.333333333333336,-,48.833333333333336,48.61166666666667,300,87500.0,-,-,-, 
1996-03-27,BPCL,EQ,48.833333333333336,48.5,47.84166666666667,-,48.333333333333336,48.28,600,173805.0,-,-,-, 
1996-03-29,BPCL,EQ,48.333333333333336,49.166666666666664,48.333333333333336,-,49.166666666666664,48.75,200,58500.0,-,-,-, 
1996-04-01,BPCL,EQ,49.166666666666664,50.0,48.333333333333336,-,48.833333333333336,49.998333333333335,163300,48988300.0,-,-,-, 
1996-04-02,BPCL,EQ,48.833333333333336,49.166666666666664,46.666666666666664,-,47.916666666666664,47.833333333333336,500,143500.0,-,-,-, 
1996-04-03,BPCL,EQ,47.916666666666664,50.5,49.0,-,50.5,50.01833333333334,600,180065.0,-,-,-, 
1996-04-04,BPCL,EQ,50.5,51.083333333333336,50.0,-,51.083333333333336,50.96,6400,1956895.0,-,-,-, 
1996-04-08,BPCL,EQ,51.083333333333336,50.975,50.175000000000004,-,50.916666666666664,50.821666666666665,12400,3781145.0,-,-,-, 
1996-04-09,BPCL,EQ,50.916666666666664,51.666666666666664,50.675000000000004,-,51.666666666666664,51.565,4100,1268490.0,-,-,-, 
1996-04-10,BPCL,EQ,51.666666666666664,52.5,51.5,-,52.5,52.01833333333334,900,280895.0,-,-,-, 
1996-04-11,BPCL,EQ,52.5,52.833333333333336,51.666666666666664,-,52.833333333333336,52.81,25500,8080010.0,-,-,-, 
1996-04-12,BPCL,EQ,52.833333333333336,53.833333333333336,52.49166666666667,-,53.11666666666667,53.82666666666666,176100,56872690.0,-,-,-, 
1996-04-15,BPCL,EQ,53.11666666666667,54.958333333333336,51.708333333333336,-,54.958333333333336,53.791666666666664,900,290475.0,-,-,-, 
1996-04-16,BPCL,EQ,54.958333333333336,54.541666666666664,54.541666666666664,-,54.541666666666664,54.541666666666664,100,32725.0,-,-,-, 
1996-04-17,BPCL,EQ,54.541666666666664,58.125,55.833333333333336,-,56.041666666666664,56.76,1300,442725.0,-,-,-, 
1996-04-18,BPCL,EQ,56.041666666666664,56.666666666666664,54.166666666666664,-,56.666666666666664,56.10833333333333,2400,807965.0,-,-,-, 
1996-04-19,BPCL,EQ,56.666666666666664,59.833333333333336,56.666666666666664,-,59.46666666666667,59.56333333333333,30300,10828660.0,-,-,-, 
1996-04-22,BPCL,EQ,59.46666666666667,58.333333333333336,57.666666666666664,-,57.78333333333333,57.84166666666667,1100,381750.0,-,-,-, 
1996-04-23,BPCL,EQ,57.333333333333336,58.166666666666664,51.666666666666664,-,58.166666666666664,55.056666666666665,3800,1255290.0,-,-,-, 
1996-04-24,BPCL,EQ,57.5,61.275,57.5,-,61.05833333333334,61.031666666666666,121900,44638345.0,-,-,-, 
