Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-02,BRITANNIA,EQ,15.9,15.9,15.9,-,15.9,15.9,100,15900.0,-,-,-, 
1996-01-03,BRITANNIA,EQ,16.0,16.0,15.7,-,15.7,15.85,200,31700.0,-,-,-, 
1996-01-05,BRITANNIA,EQ,16.0,16.0,15.7,-,15.709999999999999,15.781,400,63125.0,-,-,-, 
1996-01-08,BRITANNIA,EQ,15.5,15.8,15.5,-,15.8,15.65,200,31300.0,-,-,-, 
1996-01-10,BRITANNIA,EQ,15.1,15.1,15.1,-,15.1,15.1,100,15100.0,-,-,-, 
1996-01-16,BRITANNIA,EQ,15.1,15.1,14.5,-,14.5,14.8,200,29600.0,-,-,-, 
1996-01-18,BRITANNIA,EQ,14.5,14.5,14.2,-,14.2,14.35,200,28700.0,-,-,-, 
1996-01-19,BRITANNIA,EQ,14.8,14.8,14.8,-,14.8,14.8,100,14800.0,-,-,-, 
1996-01-23,BRITANNIA,EQ,14.75,14.825,14.4,-,14.8,14.758000000000001,1000,147575.0,-,-,-, 
1996-01-24,BRITANNIA,EQ,14.8,14.8,14.8,-,14.8,14.8,400,59200.0,-,-,-, 
1996-01-25,BRITANNIA,EQ,15.0,15.0,15.0,-,15.0,15.0,100,15000.0,-,-,-, 
1996-01-29,BRITANNIA,EQ,14.5,14.5,14.5,-,14.5,14.5,100,14500.0,-,-,-, 
1996-01-30,BRITANNIA,EQ,14.8,14.85,14.5,-,14.5,14.794,800,118350.0,-,-,-, 
1996-01-31,BRITANNIA,EQ,14.75,14.75,14.75,-,14.75,14.75,100,14750.0,-,-,-, 
1996-02-01,BRITANNIA,EQ,15.2,15.7,15.2,-,15.7,15.325,400,61300.0,-,-,-, 
1996-02-02,BRITANNIA,EQ,17.2,17.2,17.2,-,17.2,17.2,100,17200.0,-,-,-, 
1996-02-05,BRITANNIA,EQ,17.2,17.7,17.2,-,17.575,17.5,700,122500.0,-,-,-, 
1996-02-06,BRITANNIA,EQ,17.575,18.5,17.505000000000003,-,17.7,17.897,1300,232655.0,-,-,-, 
1996-02-07,BRITANNIA,EQ,17.3,17.3,17.3,-,17.3,17.3,100,17300.0,-,-,-, 
1996-02-08,BRITANNIA,EQ,17.3,17.5,17.3,-,17.39,17.41,1600,278555.0,-,-,-, 
1996-02-09,BRITANNIA,EQ,18.0,19.1,18.0,-,19.0,18.962,1300,246500.0,-,-,-, 
