Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1998-12-03,UTIBANK,EQ,3.8899999999999997,3.8899999999999997,3.3600000000000003,3.4,3.4,3.4619999999999997,107600,1862480.0,-,-,-, 
1998-12-04,UTIBANK,EQ,3.37,3.3899999999999997,3.2600000000000002,3.31,3.31,3.318,36400,603850.0,-,-,-, 
1998-12-07,UTIBANK,EQ,3.31,3.35,3.29,3.3299999999999996,3.3299999999999996,3.3259999999999996,22500,374230.0,-,-,-, 
1998-12-08,UTIBANK,EQ,3.2700000000000005,3.3200000000000003,3.2,3.25,3.25,3.25,54200,880615.0,-,-,-, 
1998-12-09,UTIBANK,EQ,3.3299999999999996,3.3299999999999996,3.2,3.2299999999999995,3.2299999999999995,3.2299999999999995,30200,487755.0,-,-,-, 
1998-12-10,UTIBANK,EQ,3.2600000000000002,3.2600000000000002,3.15,3.18,3.18,3.1879999999999997,15800,251930.0,-,-,-, 
1998-12-11,UTIBANK,EQ,3.2,3.2,3.16,3.19,3.19,3.182,15500,246540.0,-,-,-, 
1998-12-14,UTIBANK,EQ,3.19,3.2,3.15,3.17,3.17,3.17,5900,93525.0,-,-,-, 
1998-12-15,UTIBANK,EQ,3.12,3.19,3.1100000000000003,3.19,3.19,3.1420000000000003,20800,326870.0,-,-,-, 
1998-12-16,UTIBANK,EQ,3.1,3.18,3.07,3.18,3.18,3.144,12400,194975.0,-,-,-, 
1998-12-17,UTIBANK,EQ,3.1399999999999997,3.15,3.1,3.13,3.13,3.122,11400,177950.0,-,-,-, 
1998-12-18,UTIBANK,EQ,3.12,3.1399999999999997,3.05,3.1,3.1,3.0940000000000003,12800,197980.0,-,-,-, 
1998-12-21,UTIBANK,EQ,3.15,3.18,3.05,3.06,3.06,3.098,8500,131670.0,-,-,-, 
1998-12-22,UTIBANK,EQ,3.1399999999999997,3.1399999999999997,3.0,3.0100000000000002,3.0100000000000002,3.048,14600,222455.0,-,-,-, 
1998-12-23,UTIBANK,EQ,3.1,3.12,3.0100000000000002,3.07,3.07,3.0620000000000003,12800,196015.0,-,-,-, 
1998-12-24,UTIBANK,EQ,3.07,3.07,3.0100000000000002,3.04,3.04,3.04,9400,142915.0,-,-,-, 
1998-12-28,UTIBANK,EQ,3.04,3.04,2.98,3.0,3.0,3.004,19600,294445.0,-,-,-, 
1998-12-29,UTIBANK,EQ,3.0,3.0300000000000002,2.9899999999999998,3.0300000000000002,3.0300000000000002,3.008,13700,206085.0,-,-,-, 
1998-12-30,UTIBANK,EQ,3.13,3.6,3.1,3.44,3.44,3.468,66600,1154575.0,-,-,-, 
1998-12-31,UTIBANK,EQ,3.5700000000000003,3.5700000000000003,3.31,3.3299999999999996,3.3299999999999996,3.3880000000000003,24300,411670.0,-,-,-, 
1999-01-01,UTIBANK,EQ,3.3,3.38,3.3,3.38,3.38,3.3259999999999996,14500,241130.0,-,-,-, 
1999-01-04,UTIBANK,EQ,3.4299999999999997,3.5100000000000002,3.35,3.37,3.37,3.4219999999999997,22900,391770.0,-,-,-, 
1999-01-05,UTIBANK,EQ,3.35,3.37,3.1,3.2,3.2,3.2299999999999995,61100,986755.0,-,-,-, 
