Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2002-02-18,BHARTI,EQ,51.9,51.9,43.5,44.7,44.35,46.0,10381190,477543140.5,-,    6503775,         62.65, 
2002-02-19,BHARTI,EQ,45.15,45.15,41.3,41.35,41.7,42.58,3552660,151260941.3,-,    1741184,         49.01, 
2002-02-20,BHARTI,EQ,40.6,42.8,40.25,41.2,41.25,41.56,2512964,104434782.65,-,-,-, 
2002-02-21,BHARTI,EQ,42.85,43.4,42.15,42.2,42.4,42.76,1338196,57226810.0,-,     485969,         36.32, 
2002-02-22,BHARTI,EQ,42.65,43.6,41.1,43.35,43.3,42.75,811327,34684132.25,-,     399133,         49.20, 
2002-02-25,BHARTI,EQ,45.5,45.5,42.65,42.95,42.8,43.05,454151,19552996.45,-,     237710,         52.34, 
2002-02-26,BHARTI,EQ,43.15,44.2,42.9,43.7,43.6,43.48,894960,38911652.3,-,     539339,         60.26, 
2002-02-27,BHARTI,EQ,43.95,46.3,43.75,44.45,44.65,45.02,3271361,147288180.65,-,    1376980,         42.09, 
2002-02-28,BHARTI,EQ,46.0,46.8,40.8,41.4,41.5,44.48,4429634,197027720.8,-,    1583183,         35.74, 
2002-03-01,BHARTI,EQ,42.0,43.4,41.8,42.45,42.5,42.52,942785,40089850.75,-,     473453,         50.22, 
2002-03-04,BHARTI,EQ,43.1,44.25,42.85,43.25,43.3,43.37,615152,26678458.2,-,     346466,         56.32, 
2002-03-05,BHARTI,EQ,44.2,45.5,43.7,45.35,45.3,44.92,1490137,66938807.0,-,     932820,         62.60, 
2002-03-06,BHARTI,EQ,45.9,46.7,44.8,45.35,45.1,45.68,1989742,90885773.9,-,    1005402,         50.53, 
2002-03-07,BHARTI,EQ,45.9,45.9,44.75,44.95,44.95,44.99,675801,30402509.05,-,     536827,         79.44, 
2002-03-08,BHARTI,EQ,45.2,45.25,43.7,43.8,43.9,44.29,273519,12112954.9,-,     173476,         63.42, 
2002-03-11,BHARTI,EQ,44.5,45.4,43.1,43.45,43.3,43.59,217122,9464238.6,-,-,-, 
2002-03-12,BHARTI,EQ,43.4,43.45,41.9,41.9,42.1,42.64,321384,13703579.45,-,     336975,         62.58, 
2002-03-13,BHARTI,EQ,42.1,42.65,41.5,42.0,41.9,42.15,228034,9611928.95,-,     136582,         59.90, 
2002-03-14,BHARTI,EQ,42.0,42.4,41.05,41.35,41.45,41.66,302924,12620948.95,-,     201419,         66.49, 
2002-03-15,BHARTI,EQ,42.0,42.5,41.35,42.0,41.95,41.88,402993,16876487.55,-,     237945,         59.04, 
2002-03-18,BHARTI,EQ,43.0,43.0,41.55,41.55,41.75,42.17,387469,16339896.35,-,     231508,         59.75, 
2002-03-19,BHARTI,EQ,42.1,42.9,40.4,40.6,40.7,41.33,505251,20881657.45,-,     381961,         75.60, 
2002-03-20,BHARTI,EQ,40.9,41.35,40.25,40.45,40.5,40.89,413147,16893781.5,-,     277482,         67.16, 
2002-03-21,BHARTI,EQ,40.6,41.0,40.4,40.55,40.6,40.67,171711,6982737.45,-,      99401,         57.89, 
2002-03-22,BHARTI,EQ,40.8,41.45,39.5,39.8,39.85,40.12,225579,9050323.9,-,     148538,         65.85, 
2002-03-26,BHARTI,EQ,40.75,40.75,38.9,39.0,39.0,39.26,190075,7461503.4,-,     123651,         65.05, 
2002-03-27,BHARTI,EQ,40.9,40.9,39.0,39.0,39.1,39.19,175456,6875846.85,-,     116154,         66.20, 
2002-03-28,BHARTI,EQ,39.2,39.35,38.0,38.8,38.55,38.74,247315,9580536.15,-,     173504,         70.16, 
2002-04-01,BHARTI,EQ,39.4,40.1,38.65,38.8,38.9,39.35,169309,6663096.8,-,      79957,         47.23, 
2002-04-02,BHARTI,EQ,38.95,39.0,37.05,37.25,37.3,37.82,401427,15181315.4,-,     270756,         67.45, 
2002-04-03,BHARTI,EQ,37.25,38.0,35.7,36.2,36.1,36.94,434081,16035864.3,-,     250766,         57.77, 
2002-04-04,BHARTI,EQ,36.9,39.45,36.5,39.0,38.6,37.98,461590,17529902.4,-,     197328,         42.75, 
2002-04-05,BHARTI,EQ,39.0,39.65,38.05,38.2,38.2,38.81,278024,10789807.65,-,     125450,         45.12, 
2002-04-08,BHARTI,EQ,38.8,39.0,37.0,37.25,37.15,37.76,264685,9994207.3,-,     135588,         51.23, 
2002-04-09,BHARTI,EQ,37.9,38.95,37.5,37.9,37.75,38.01,330822,12574440.0,-,     137825,         41.66, 
2002-04-10,BHARTI,EQ,38.0,38.0,36.4,37.3,37.15,37.01,393221,14551787.4,-,     224684,         57.14, 
2002-04-11,BHARTI,EQ,37.9,39.6,37.9,38.95,38.55,38.75,462716,17931938.95,-,     216607,         46.81, 
2002-04-12,BHARTI,EQ,38.35,38.4,37.4,37.75,37.75,37.66,365658,13768877.8,-,     214156,         58.57, 
2002-04-15,BHARTI,EQ,37.5,38.8,37.1,37.8,37.85,37.98,309167,11743409.45,-,     151896,         49.13, 
2002-04-16,BHARTI,EQ,38.0,38.4,37.75,37.8,37.85,38.03,207262,7881439.2,-,-,-, 
2002-04-17,BHARTI,EQ,38.35,38.45,37.25,37.5,37.4,37.75,221096,8345431.8,-,     144023,         65.14, 
2002-04-18,BHARTI,EQ,37.9,37.95,37.3,37.65,37.5,37.58,125768,4725784.9,-,      76000,         60.43, 
2002-04-19,BHARTI,EQ,37.9,37.9,36.75,36.9,36.95,37.18,159582,5933794.25,-,     105605,         66.18, 
2002-04-22,BHARTI,EQ,37.8,37.8,36.55,36.9,36.7,36.95,209825,7752672.2,-,     150888,         71.91, 
2002-04-23,BHARTI,EQ,37.4,37.5,35.9,36.2,36.0,36.33,304296,11055959.15,-,     203405,         66.84, 
2002-04-24,BHARTI,EQ,36.2,36.9,36.2,36.9,36.75,36.63,153154,5610579.7,-,-,-, 
2002-04-25,BHARTI,EQ,36.9,37.0,36.2,36.3,36.3,36.49,260518,9507128.7,-,     289655,         70.02, 
2002-04-26,BHARTI,EQ,36.15,36.7,35.7,35.7,35.9,36.07,324142,11693370.2,-,     247914,         76.48, 
2002-04-29,BHARTI,EQ,35.75,37.3,35.25,35.8,35.7,36.28,388628,14099893.5,-,     156031,         40.15, 
2002-04-30,BHARTI,EQ,35.6,36.0,34.9,35.0,35.0,35.26,267446,9429940.5,-,-,-, 
2002-05-02,BHARTI,EQ,35.25,35.6,34.35,34.55,34.85,34.94,521349,18213703.2,-,     414690,         79.54, 
2002-05-03,BHARTI,EQ,35.0,35.0,33.9,34.05,34.1,34.2,418258,14304150.2,-,     304124,         72.71, 
2002-05-06,BHARTI,EQ,34.5,34.6,33.8,33.95,34.0,34.14,849209,28993706.2,-,     689014,         81.14, 
