Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2003-03-12,DIVISLAB,EQ,77.5,91.95,77.5,88.0,88.125,89.155,1233452,219939925.75,-,     436806,         35.41, 
2003-03-13,DIVISLAB,EQ,87.0,93.325,87.0,90.0,90.0,90.48,1177678,213113293.6,-,     116181,          9.87, 
2003-03-17,DIVISLAB,EQ,90.0,90.0,83.825,86.75,85.5,87.52,176654,30922069.45,-,      60778,         34.41, 
2003-03-19,DIVISLAB,EQ,87.0,89.45,86.35,87.5,88.375,87.695,106862,18742030.7,-,      39774,         37.22, 
2003-03-20,DIVISLAB,EQ,87.9,95.6,87.5,91.4,91.775,92.21,433277,79905288.3,-,     130802,         30.19, 
2003-03-21,DIVISLAB,EQ,91.5,95.9,91.5,93.5,92.775,93.51,227349,42517829.95,-,      50321,         22.13, 
2003-03-22,DIVISLAB,EQ,94.0,97.5,93.55,97.0,96.6,95.585,148001,28294084.95,-,      44880,         30.32, 
2003-03-24,DIVISLAB,EQ,97.5,102.9,95.75,99.3,100.725,100.505,790914,158979528.0,-,     218583,         27.64, 
2003-03-25,DIVISLAB,EQ,100.2,111.0,98.4,108.425,109.0,106.395,1583444,336933351.4,-,     172407,         10.89, 
2003-03-26,DIVISLAB,EQ,109.4,115.9,108.5,109.45,109.85,113.01,1656273,374358092.1,-,     237976,         14.37, 
2003-03-27,DIVISLAB,EQ,110.025,110.8,102.5,104.075,103.7,105.905,1031428,218468148.75,-,     127796,         12.39, 
2003-03-28,DIVISLAB,EQ,102.5,120.425,102.5,115.95,117.225,112.805,2680172,604669429.2,-,     343343,         12.81, 
2003-03-31,DIVISLAB,EQ,114.0,117.375,108.5,110.55,109.575,113.49,1526826,346551514.3,-,     140650,          9.21, 
2003-04-01,DIVISLAB,EQ,112.0,119.15,110.475,114.975,115.375,116.225,1234990,287071694.7,-,      67255,          5.45, 
2003-04-02,DIVISLAB,EQ,116.95,118.975,115.25,118.325,117.9,117.41,585978,137601841.2,-,      30397,          5.19, 
2003-04-03,DIVISLAB,EQ,119.05,121.85,117.5,117.55,118.175,119.52,596968,142700330.15,-,      67937,         11.38, 
