Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2003-07-09,MARUTI,EQ,164.9,170.4,155.0,164.0,164.3,165.95,35164283,5835528161.85,-,    8537695,         24.28, 
2003-07-10,MARUTI,EQ,167.0,168.7,164.5,167.0,167.0,166.74,10464179,1744819621.2,-,    4363947,         41.70, 
2003-07-11,MARUTI,EQ,167.75,174.85,166.25,173.6,173.35,172.45,11740117,2024621547.45,-,    3014852,         25.68, 
2003-07-14,MARUTI,EQ,174.25,179.25,174.25,178.6,177.95,177.91,5982324,1064313100.3,-,    1949217,         32.58, 
2003-07-15,MARUTI,EQ,200.0,200.0,173.0,176.3,176.2,176.88,6173689,1092000790.4,-,    1307694,         21.18, 
2003-07-16,MARUTI,EQ,176.45,179.1,175.35,176.9,177.1,177.59,3759085,667569503.1,-,    1155442,         30.74, 
2003-07-17,MARUTI,EQ,177.5,178.0,170.65,170.7,172.2,175.48,3814181,669302968.7,-,    1064071,         27.90, 
2003-07-18,MARUTI,EQ,165.0,171.9,160.0,167.4,167.4,167.66,5375212,901190322.25,-,    1427995,         26.57, 
2003-07-21,MARUTI,EQ,169.0,169.4,163.05,164.0,164.9,166.67,3315845,552664616.55,-,     980379,         29.57, 
2003-07-22,MARUTI,EQ,164.0,169.15,162.1,168.6,167.25,165.06,4627992,763912422.25,-,    1257167,         27.16, 
2003-07-23,MARUTI,EQ,170.5,178.0,169.8,175.55,174.7,174.54,13262249,2314758951.85,-,    2844659,         21.45, 
2003-07-24,MARUTI,EQ,175.9,177.0,172.85,173.65,174.1,174.45,4305936,751152915.65,-,     978929,         22.73, 
2003-07-25,MARUTI,EQ,174.4,175.0,172.1,174.0,173.65,173.66,2832967,491960368.4,-,     660197,         23.30, 
2003-07-28,MARUTI,EQ,188.0,188.0,175.1,179.25,178.85,178.01,5415867,964085339.5,-,    1588110,         29.32, 
2003-07-29,MARUTI,EQ,179.95,182.9,179.1,180.2,180.3,180.93,5229181,946096236.7,-,    1063536,         20.34, 
2003-07-30,MARUTI,EQ,181.25,184.75,180.1,180.25,181.1,182.55,4632246,845601875.4,-,    1030033,         22.24, 
2003-07-31,MARUTI,EQ,181.7,183.65,179.65,181.0,180.85,181.87,3562717,647935649.8,-,    1074106,         30.15, 
2003-08-01,MARUTI,EQ,182.0,189.0,178.75,188.4,187.15,184.36,8027285,1479884036.25,-,    2063463,         25.71, 
2003-08-04,MARUTI,EQ,187.85,198.5,185.0,197.5,197.6,194.65,9982429,1943084193.25,-,    2693583,         26.98, 
2003-08-05,MARUTI,EQ,199.0,203.45,192.85,193.85,193.6,198.15,9651327,1912434118.05,-,    1620470,         16.79, 
2003-08-06,MARUTI,EQ,191.5,197.5,189.85,191.75,191.6,193.45,7451054,1441434528.65,-,     967268,         12.98, 
2003-08-07,MARUTI,EQ,193.5,196.0,192.25,195.7,195.4,194.27,3223676,626275934.6,-,     385620,         11.96, 
2003-08-08,MARUTI,EQ,197.0,198.9,196.0,197.5,197.15,197.37,2530289,499393163.85,-,     437784,         17.30, 
2003-08-11,MARUTI,EQ,198.1,203.8,196.0,201.8,202.2,201.71,5651311,1139927056.9,-,    1265689,         22.40, 
2003-08-12,MARUTI,EQ,203.8,212.0,203.5,210.8,210.45,207.77,8215213,1706880854.0,-,    2203451,         26.82, 
2003-08-13,MARUTI,EQ,213.0,219.5,212.0,218.5,217.8,215.87,7839204,1692252362.05,-,    1901575,         24.26, 
2003-08-14,MARUTI,EQ,223.0,224.4,215.0,217.75,216.55,220.36,6298655,1387996403.05,-,    1355058,         21.51, 
2003-08-18,MARUTI,EQ,218.1,221.0,215.4,218.25,216.9,217.99,3382031,737245777.85,-,     611465,         18.08, 
2003-08-19,MARUTI,EQ,219.85,219.9,215.0,215.3,215.65,216.41,3080091,666577482.3,-,    1069345,         34.72, 
2003-08-20,MARUTI,EQ,217.4,226.45,217.3,226.0,225.0,222.96,6049174,1348700176.9,-,    1340738,         22.16, 
2003-08-21,MARUTI,EQ,227.0,228.9,223.3,228.1,227.95,226.97,4012069,910625565.6,-,    1079196,         26.90, 
2003-08-22,MARUTI,EQ,228.05,232.8,225.9,229.2,229.3,229.44,4436016,1017817575.05,-,     914376,         20.61, 
2003-08-25,MARUTI,EQ,230.0,231.45,216.1,220.5,221.05,222.47,4827198,1073923718.8,-,    1391187,         28.82, 
2003-08-26,MARUTI,EQ,217.0,235.0,217.0,234.75,232.45,228.74,3968069,907642849.9,-,     966245,         24.35, 
2003-08-27,MARUTI,EQ,235.4,237.6,233.0,233.5,234.3,235.26,2267859,533539695.4,-,     493876,         21.78, 
2003-08-28,MARUTI,EQ,235.75,235.75,226.0,228.1,228.05,229.17,3554363,814539780.85,-,    1088383,         30.62, 
2003-08-29,MARUTI,EQ,232.05,238.5,231.5,235.2,235.4,235.52,3212067,756495315.4,-,     949924,         29.57, 
2003-09-01,MARUTI,EQ,236.4,237.0,231.7,237.0,235.55,234.78,2478236,581843674.85,-,     747252,         30.15, 
2003-09-02,MARUTI,EQ,234.85,234.85,224.1,226.1,226.55,226.77,3975812,901602158.2,-,    1401594,         35.25, 
