Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2004-08-25,TCS,EQ,599.35,599.35,489.5,492.5,493.975,504.16,17116372,17258760957.45,-,5206360,30.42, 
2004-08-26,TCS,EQ,496.0,498.5,487.65,488.425,489.5,492.825,5055400,4982864767.3,-,1294899,25.61, 
2004-08-27,TCS,EQ,491.2,491.2,479.275,480.6,481.325,484.97,3830750,3715586030.8,-,976527,25.49, 
2004-08-30,TCS,EQ,484.95,495.0,482.5,493.2,493.375,491.325,3058151,3005106339.9,-,701664,22.94, 
2004-08-31,TCS,EQ,493.25,495.0,488.0,493.9,494.05,491.09,2649332,2602132650.65,-,695234,26.24, 
2004-09-01,TCS,EQ,495.0,497.5,491.8,493.0,493.95,494.84,2491943,2466235576.95,-,790586,31.73, 
2004-09-02,TCS,EQ,494.95,502.3,493.0,497.0,496.825,498.48,2669544,2661426196.4,-,501792,18.8, 
2004-09-03,TCS,EQ,503.0,550.0,495.175,499.35,498.925,498.455,1233732,1229916939.9,-,235508,19.09, 
2004-09-06,TCS,EQ,519.95,519.95,496.45,498.4,497.425,499.435,1129834,1128553951.75,-,430184,38.07, 
2004-09-07,TCS,EQ,517.5,517.5,497.5,497.5,497.8,498.67,721529,719610913.6,-,198212,27.47, 
2004-09-08,TCS,EQ,498.0,500.4,495.55,496.125,496.85,497.645,824248,820361682.5,-,220195,26.71, 
2004-09-09,TCS,EQ,498.5,498.95,489.225,489.825,489.975,492.58,993398,978657426.05,-,364189,36.66, 
2004-09-10,TCS,EQ,495.0,495.0,488.0,494.975,494.4,492.56,801884,789950664.25,-,203388,25.36, 
2004-09-13,TCS,EQ,495.5,507.75,495.5,501.375,501.75,503.655,2613114,2632220570.75,-,735865,28.16, 
2004-09-14,TCS,EQ,502.5,509.4,501.475,507.975,507.825,506.475,1916934,1941763417.65,-,493998,25.77, 
2004-09-15,TCS,EQ,509.0,510.0,500.6,502.5,503.05,504.56,1498536,1512208351.85,-,483466,32.26, 
2004-09-16,TCS,EQ,503.5,507.5,501.25,505.5,504.225,504.91,919778,928806251.55,-,240651,26.16, 
2004-09-17,TCS,EQ,506.0,514.95,505.15,514.95,512.25,510.545,1828487,1867047286.0,-,538239,29.44, 
2004-09-20,TCS,EQ,516.2,518.45,510.075,511.25,511.45,514.415,1069028,1099843534.0,-,305251,28.55, 
2004-09-21,TCS,EQ,512.425,524.25,511.0,523.7,522.9,519.77,1737135,1805822479.35,-,413801,23.82, 
2004-09-22,TCS,EQ,524.2,528.0,518.55,524.95,526.025,523.785,1921448,2012857077.25,-,443693,23.09, 
2004-09-23,TCS,EQ,524.0,524.5,513.5,514.0,515.125,518.9,1977460,2052199849.25,-,846586,42.81, 
2004-09-24,TCS,EQ,514.55,520.0,513.0,513.8,514.4,516.97,1010401,1044692914.85,-,218183,21.59, 
2004-09-27,TCS,EQ,513.75,516.25,507.5,509.5,510.375,511.22,1028689,1051767928.75,-,299518,29.12, 
2004-09-28,TCS,EQ,508.0,513.7,506.25,508.1,507.775,510.41,792427,808924865.05,-,205152,25.89, 
2004-09-29,TCS,EQ,509.625,516.5,508.075,515.5,515.5,512.305,1467147,1503253816.95,-,504626,34.4, 
2004-09-30,TCS,EQ,517.8,520.45,510.325,512.55,513.55,516.36,1565179,1616397417.75,-,585075,37.38, 
2004-10-01,TCS,EQ,514.5,528.225,513.175,524.25,523.85,521.79,1371111,1430861573.8,-,502221,36.63, 
2004-10-04,TCS,EQ,528.5,540.5,527.225,539.6,538.25,535.945,1891228,2027186073.7,-,790442,41.8, 
2004-10-05,TCS,EQ,540.15,544.5,537.75,538.525,540.35,541.72,1792661,1942248091.45,-,532812,29.72, 
2004-10-06,TCS,EQ,540.5,551.4,537.525,541.0,540.8,545.04,2208833,2407813364.9,-,701623,31.76, 
2004-10-07,TCS,EQ,541.5,550.0,541.5,549.8,548.55,546.595,1260016,1377437281.85,-,403582,32.03, 
2004-10-08,TCS,EQ,549.0,555.5,547.5,548.9,549.025,551.62,1069865,1180319204.55,-,308783,28.86, 
2004-10-09,TCS,EQ,549.95,551.925,547.125,551.5,550.325,549.895,258539,284338312.6,-,89081,34.46, 
2004-10-11,TCS,EQ,550.0,555.75,542.5,544.8,544.65,549.51,1166507,1282016129.55,-,459319,39.38, 
2004-10-12,TCS,EQ,555.0,557.5,538.825,540.0,542.225,546.68,1950064,2132121371.9,-,520867,26.71, 
2004-10-14,TCS,EQ,551.5,562.0,544.025,558.75,558.1,553.885,2403248,2662234309.65,-,677707,28.2, 
2004-10-15,TCS,EQ,560.85,570.5,558.625,563.8,563.0,564.66,2224968,2512693150.3,-,621885,27.95, 
2004-10-18,TCS,EQ,567.0,571.0,562.625,567.0,568.625,567.765,1711668,1943642755.15,-,705586,41.22, 
2004-10-19,TCS,EQ,570.075,574.35,568.05,571.5,571.6,571.11,1470891,1680074601.4,-,650387,44.22, 
2004-10-20,TCS,EQ,572.4,574.95,564.5,567.1,566.625,570.795,900854,1028401836.85,-,285336,31.67, 
2004-10-21,TCS,EQ,568.625,569.5,561.0,563.5,562.775,564.84,801690,905652951.15,-,236453,29.49, 
2004-10-25,TCS,EQ,562.5,563.5,555.375,559.0,558.675,558.635,1173784,1311429090.9,-,580648,49.47, 
2004-10-26,TCS,EQ,557.8,570.475,557.8,570.1,568.6,565.02,866595,979286028.1,-,256600,29.61, 
2004-10-27,TCS,EQ,571.125,574.0,567.6,570.25,569.95,571.215,979707,1119246665.15,-,348753,35.6, 
2004-10-28,TCS,EQ,572.5,587.4,572.5,582.0,582.975,582.485,2323927,2707316483.65,-,991023,42.64, 
2004-10-29,TCS,EQ,583.975,583.975,572.575,579.0,578.125,577.57,1082722,1250690942.7,-,439476,40.59, 
2004-11-01,TCS,EQ,575.0,587.225,571.15,585.0,585.325,581.085,767196,891608670.85,-,186885,24.36, 
2004-11-02,TCS,EQ,565.0,589.875,562.5,580.475,579.85,581.895,1108005,1289484942.35,-,307235,27.73, 
2004-11-03,TCS,EQ,580.5,592.0,580.5,587.8,587.6,587.675,1122267,1319061107.05,-,209505,18.67, 
2004-11-04,TCS,EQ,590.875,593.95,583.85,584.5,585.2,588.74,819476,964916886.35,-,267486,32.64, 
2004-11-05,TCS,EQ,586.975,590.0,580.0,582.95,582.725,582.97,627981,732187594.6,-,175100,27.88, 
2004-11-08,TCS,EQ,582.5,594.45,578.0,591.5,592.075,589.715,1286466,1517295852.4,-,514975,40.03, 
2004-11-09,TCS,EQ,593.5,598.95,588.5,593.05,594.2,594.71,917339,1091098434.15,-,192533,20.99, 
2004-11-10,TCS,EQ,595.5,599.5,595.05,597.7,597.175,597.595,716799,856707978.85,-,200583,27.98, 
2004-11-11,TCS,EQ,599.5,601.7,595.55,598.0,598.125,599.175,654391,784191351.65,-,195824,29.92, 
2004-11-12,TCS,EQ,602.0,604.0,595.1,595.925,598.375,599.9,226676,271965546.8,-,84942,37.47, 
2004-11-16,TCS,EQ,599.0,599.0,592.0,595.5,595.45,595.27,500688,596087823.45,-,200759,40.1, 
2004-11-17,TCS,EQ,595.75,604.95,595.75,603.5,602.7,602.49,683492,823595547.5,-,199449,29.18, 
