Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2007-10-05,POWERGRID,EQ,67.35000000000001,82.125,62.362500000000004,75.15,75.45,76.8675,481058927,49305606695.25,-,181390171,37.71, 
2007-10-08,POWERGRID,EQ,78.0,78.0,71.1375,71.47500000000001,71.5875,73.59,71252858,6991615510.45,-,22115293,31.04, 
2007-10-09,POWERGRID,EQ,71.625,77.1375,67.7625,76.575,76.4625,73.9275,65658228,6471784081.15,-,16991920,25.88, 
2007-10-10,POWERGRID,EQ,78.45,78.75,76.5,76.98750000000001,77.17500000000001,77.745,38211410,3960886983.7,-,16409289,42.94, 
2007-10-11,POWERGRID,EQ,90.0,90.0,76.5,86.1375,85.80000000000001,83.08500000000001,59805552,6625235262.15,-,17530826,29.31, 
2007-10-12,POWERGRID,EQ,84.0,88.42500000000001,83.25,85.6875,85.23750000000001,86.67,55918584,6461713786.05,-,15832822,28.31, 
2007-10-15,POWERGRID,EQ,87.0,87.525,85.61250000000001,86.55000000000001,86.36250000000001,86.7825,23520928,2721646149.9,-,9028767,38.39, 
2007-10-16,POWERGRID,EQ,86.47500000000001,96.67500000000001,85.875,96.22500000000001,95.17500000000001,91.3725,77970674,9498841848.3,-,17581372,22.55, 
2007-10-17,POWERGRID,EQ,85.5,105.0,79.575,101.5125,102.60000000000001,95.89500000000001,115242925,14734928421.9,-,18324073,15.9, 
2007-10-18,POWERGRID,EQ,104.25,112.08749999999999,94.7625,96.14999999999999,99.0,106.89750000000001,82472533,11754855450.25,-,22803867,27.65, 
2007-10-19,POWERGRID,EQ,96.75,102.67500000000001,93.75,98.8875,98.66250000000001,99.08250000000001,62024917,8193816499.8,-,12379053,19.96, 
2007-10-22,POWERGRID,EQ,96.67500000000001,100.3875,94.125,97.23750000000001,97.35000000000001,98.1375,40642551,5317880847.45,-,9274013,22.82, 
2007-10-23,POWERGRID,EQ,99.75,105.22500000000001,99.75,104.85000000000001,104.28750000000001,103.20750000000001,41959654,5774152945.3,-,9461809,22.55, 
2007-10-24,POWERGRID,EQ,106.5,107.625,101.5125,102.375,102.67500000000001,104.79,35468542,4955711572.1,-,10238780,28.87, 
2007-10-25,POWERGRID,EQ,99.1875,104.85000000000001,90.48750000000001,102.97500000000001,102.45,103.1025,19418905,2669566268.05,-,6008777,30.94, 
2007-10-26,POWERGRID,EQ,104.25,107.21249999999999,101.4375,105.6375,105.52499999999999,105.12,35083148,4917301259.1,-,9965302,28.4, 
2007-10-29,POWERGRID,EQ,107.25,110.25,106.72500000000001,107.325,107.66250000000001,108.24750000000002,24557461,3544294400.0,-,7284440,29.66, 
2007-10-30,POWERGRID,EQ,109.125,113.02499999999999,105.89999999999999,110.28750000000001,110.0625,109.74750000000002,44955974,6578592922.0,-,11546880,25.68, 
2007-10-31,POWERGRID,EQ,110.625,114.825,110.25,112.16250000000001,112.35000000000001,113.33250000000001,25118651,3795591924.05,-,7008611,27.9, 
