Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2008-05-26,BAJAJ-AUTO,EQ,449.0,449.0,275.675,300.125,302.375,312.305,3972485,2481244757.9,-,1202933,30.28, 
2008-05-27,BAJAJ-AUTO,EQ,312.35,319.5,290.15,297.75,296.575,303.215,1751063,1061900687.0,-,369389,21.1, 
2008-05-28,BAJAJ-AUTO,EQ,280.825,310.95,280.825,302.55,304.075,304.375,1652355,1005877489.3,-,898602,54.38, 
2008-05-29,BAJAJ-AUTO,EQ,309.7,309.7,288.0,300.0,299.725,300.49,669269,402216512.65,-,449951,67.23, 
2008-05-30,BAJAJ-AUTO,EQ,302.7,303.5,269.0,288.125,285.85,282.775,1262117,713793720.6,-,936432,74.2, 
2008-06-02,BAJAJ-AUTO,EQ,302.75,307.5,285.35,286.5,290.4,299.15,206640,123632603.3,-,69415,33.59, 
2008-06-03,BAJAJ-AUTO,EQ,298.0,301.0,277.575,288.5,289.85,287.915,157283,90568024.4,-,106984,68.02, 
2008-06-04,BAJAJ-AUTO,EQ,298.925,298.925,273.75,275.0,276.05,281.82,326450,183999348.15,-,238952,73.2, 
2008-06-05,BAJAJ-AUTO,EQ,276.5,294.4,266.2,274.0,281.2,280.35,238915,133960349.35,-,140638,58.87, 
2008-06-06,BAJAJ-AUTO,EQ,283.5,287.35,272.2,286.0,284.4,282.19,73920,41719027.65,-,35676,48.26, 
2008-06-09,BAJAJ-AUTO,EQ,287.5,287.5,262.0,276.0,274.4,272.91,321199,175317567.75,-,267438,83.26, 
2008-06-10,BAJAJ-AUTO,EQ,287.75,287.75,273.5,275.0,275.2,275.79,58118,32056742.9,-,42432,73.01, 
2008-06-11,BAJAJ-AUTO,EQ,280.0,280.0,264.0,264.1,265.25,268.045,87793,47064665.0,-,55519,63.24, 
2008-06-12,BAJAJ-AUTO,EQ,255.5,263.5,255.35,260.0,259.725,259.425,50729,26320608.05,-,35708,70.39, 
2008-06-13,BAJAJ-AUTO,EQ,257.125,262.5,250.6,254.0,252.95,254.285,123934,63029183.05,-,98980,79.87, 
2008-06-16,BAJAJ-AUTO,EQ,255.0,259.0,244.725,245.9,247.325,251.725,61592,31008244.75,-,38141,61.93, 
2008-06-17,BAJAJ-AUTO,EQ,245.225,255.0,241.3,252.5,253.35,250.21,71476,35767943.7,-,27522,38.51, 
2008-06-18,BAJAJ-AUTO,EQ,255.05,265.5,250.0,257.475,258.225,257.205,105505,54272967.75,-,52716,49.97, 
2008-06-19,BAJAJ-AUTO,EQ,250.1,263.5,250.1,253.825,256.275,258.47,140483,72621525.5,-,93934,66.87, 
