Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2008-05-26,BAJAJFINSV,EQ,600.0,619.0,501.0,505.1,509.1,548.85,3145446,1726368167.7,-,908264,28.88, 
2008-05-27,BAJAJFINSV,EQ,505.0,610.95,491.1,564.0,554.65,572.15,4349144,2488369624.45,-,677627,15.58, 
2008-05-28,BAJAJFINSV,EQ,564.0,665.6,564.0,643.0,640.95,618.37,4588759,2837530138.5,-,774895,16.89, 
2008-05-29,BAJAJFINSV,EQ,656.65,703.0,608.0,634.5,632.4,659.6,4522302,2982920677.2,-,1006161,22.25, 
2008-05-30,BAJAJFINSV,EQ,642.4,668.0,588.3,647.0,644.0,636.41,3057669,1945928734.1,-,462832,15.14, 
2008-06-02,BAJAJFINSV,EQ,650.0,699.0,622.0,687.0,686.95,670.51,2247399,1506913250.15,-,351112,15.62, 
2008-06-03,BAJAJFINSV,EQ,672.0,689.8,632.55,670.55,672.05,665.87,2299383,1531082360.5,-,391772,17.04, 
2008-06-04,BAJAJFINSV,EQ,674.0,674.0,566.6,595.0,598.95,602.36,2832725,1706317103.9,-,735765,25.97, 
2008-06-05,BAJAJFINSV,EQ,603.0,639.8,572.3,631.5,631.85,610.65,1344712,821152150.0,-,167819,12.48, 
2008-06-06,BAJAJFINSV,EQ,639.25,642.9,608.05,635.0,630.9,628.44,794722,499432557.7,-,65497,8.24, 
2008-06-09,BAJAJFINSV,EQ,620.0,648.0,580.0,645.0,629.9,624.95,758393,473958337.4,-,126531,16.68, 
2008-06-10,BAJAJFINSV,EQ,618.0,675.0,618.0,672.0,669.25,653.65,939180,613897195.85,-,154239,16.42, 
2008-06-11,BAJAJFINSV,EQ,672.0,682.0,641.1,641.1,653.5,662.71,750714,497502782.9,-,225104,29.99, 
2008-06-12,BAJAJFINSV,EQ,629.0,638.45,601.0,602.0,605.9,614.22,414320,254484752.0,-,84678,20.44, 
2008-06-13,BAJAJFINSV,EQ,607.0,624.5,572.75,577.0,580.8,601.0,458514,275566246.3,-,80790,17.62, 
2008-06-16,BAJAJFINSV,EQ,595.0,618.0,587.25,613.1,614.05,606.17,496439,300927819.25,-,150448,30.31, 
2008-06-17,BAJAJFINSV,EQ,610.0,626.0,605.1,610.0,611.05,614.08,248850,152814024.9,-,41597,16.72, 
2008-06-18,BAJAJFINSV,EQ,615.0,617.2,585.1,595.0,591.95,605.3,142386,86185970.4,-,26714,18.76, 
