Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2010-11-04,COALINDIA,EQ,291.0,344.9,291.0,342.0,342.55,327.29,479716245,157003958219.7,-,187584905,39.1, 
2010-11-05,COALINDIA,EQ,343.0,356.5,343.0,348.3,349.85,349.78,31927173,11167471966.55,-,10894509,34.12, 
2010-11-08,COALINDIA,EQ,351.8,355.9,329.5,331.4,330.75,335.19,46932779,15731175193.8,-,16651623,35.48, 
2010-11-09,COALINDIA,EQ,330.15,333.4,325.0,325.4,326.05,327.75,23741956,7781382790.65,-,12977359,54.66, 
2010-11-10,COALINDIA,EQ,325.4,327.8,320.05,321.3,322.8,323.78,21057129,6817981754.5,-,6280335,29.83, 
2010-11-11,COALINDIA,EQ,323.0,336.95,321.85,329.6,328.55,331.43,26548372,8799018185.35,-,9365609,35.28, 
2010-11-12,COALINDIA,EQ,330.0,332.95,318.0,320.55,320.15,325.77,15004107,4887871676.1,-,5797721,38.64, 
2010-11-15,COALINDIA,EQ,321.2,322.9,315.05,318.1,317.2,319.39,9917395,3167543767.7,-,4812011,48.52, 
2010-11-16,COALINDIA,EQ,320.0,323.95,316.1,317.5,318.05,319.21,12100114,3862460395.3,-,6620732,54.72, 
2010-11-18,COALINDIA,EQ,319.6,328.95,310.0,327.3,326.9,319.09,23983896,7652940946.5,-,9152722,38.16, 
2010-11-19,COALINDIA,EQ,330.25,339.95,328.1,329.0,333.55,335.77,51723739,17367203374.5,-,29007804,56.08, 
2010-11-22,COALINDIA,EQ,336.0,337.0,315.0,333.4,333.35,334.26,11494521,3842208464.7,-,5404879,47.02, 
2010-11-23,COALINDIA,EQ,330.5,332.4,317.5,320.0,320.15,325.22,13147667,4275839336.45,-,6669468,50.73, 
2010-11-24,COALINDIA,EQ,329.35,329.35,310.0,310.7,310.8,314.45,16243562,5107733984.75,-,8839387,54.42, 
2010-11-25,COALINDIA,EQ,314.0,318.35,311.1,313.75,313.2,314.49,6489260,2040785773.55,-,3185621,49.09, 
