Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2007-11-27,MUNDRAPORT,EQ,154.0,210.0,154.0,191.8,192.57999999999998,196.94400000000002,27294366,26877190537.85,-,9859619,36.12, 
2007-11-28,MUNDRAPORT,EQ,196.8,198.0,174.8,177.0,178.78,188.276,4581338,4312765301.65,-,1453278,31.72, 
2007-11-29,MUNDRAPORT,EQ,181.8,182.95,168.2,177.4,176.84,177.618,5124121,4550658462.65,-,1069678,20.88, 
2007-11-30,MUNDRAPORT,EQ,178.0,191.6,178.0,185.8,184.31,185.834,4609762,4283256628.3,-,1260913,27.35, 
2007-12-03,MUNDRAPORT,EQ,187.95,199.0,184.4,196.0,193.85999999999999,193.13,2977470,2875199743.0,-,816123,27.41, 
2007-12-04,MUNDRAPORT,EQ,197.0,211.2,195.2,209.8,208.29000000000002,203.078,4849250,4923867360.75,-,1537667,31.71, 
2007-12-05,MUNDRAPORT,EQ,212.2,219.9,210.0,216.8,216.49,216.558,2848209,3084009730.15,-,904260,31.75, 
2007-12-06,MUNDRAPORT,EQ,217.8,221.94,210.2,218.01999999999998,216.26,217.406,1749516,1901771140.2,-,825691,47.2, 
2007-12-07,MUNDRAPORT,EQ,220.0,226.8,215.6,220.0,220.48000000000002,221.314,2247904,2487465307.1,-,697763,31.04, 
2007-12-10,MUNDRAPORT,EQ,222.0,222.0,212.21999999999997,214.70999999999998,215.08,216.07600000000002,1012350,1093726793.6,-,417514,41.24, 
2007-12-11,MUNDRAPORT,EQ,216.2,217.8,208.2,209.2,209.53000000000003,213.56,810464,865415564.6,-,415191,51.23, 
2007-12-12,MUNDRAPORT,EQ,206.4,213.0,203.2,207.38000000000002,207.35999999999999,208.78400000000002,744799,777513691.65,-,363848,48.85, 
2007-12-13,MUNDRAPORT,EQ,208.0,230.0,206.05,226.23000000000002,225.99,221.81799999999998,3067687,3402339075.2,-,1040076,33.9, 
2007-12-14,MUNDRAPORT,EQ,227.98000000000002,228.0,220.21999999999997,221.4,222.1,223.91,1070737,1198746277.65,-,525239,49.05, 
2007-12-17,MUNDRAPORT,EQ,228.0,233.6,204.3,210.4,208.85,220.484,1404955,1548847677.15,-,670298,47.71, 
2007-12-18,MUNDRAPORT,EQ,209.0,221.98000000000002,206.31,217.0,214.99,215.56799999999998,1226984,1322495133.1,-,449420,36.63, 
2007-12-19,MUNDRAPORT,EQ,218.2,223.2,209.26,215.6,213.38000000000002,216.586,845666,915797576.45,-,344171,40.7, 
2007-12-20,MUNDRAPORT,EQ,216.7,216.7,210.2,213.4,212.04000000000002,213.10399999999998,623288,664127061.1,-,276356,44.34, 
2007-12-24,MUNDRAPORT,EQ,219.0,238.4,217.05,232.0,231.35999999999999,232.154,2060892,2392213613.1,-,807879,39.2, 
2007-12-26,MUNDRAPORT,EQ,235.0,242.8,229.6,242.4,239.98000000000002,236.66,1467031,1735938565.4,-,469389,32.0, 
2007-12-27,MUNDRAPORT,EQ,243.0,248.0,240.8,241.8,242.33,244.516,977495,1195064659.45,-,355431,36.36, 
2007-12-28,MUNDRAPORT,EQ,237.88000000000002,254.8,235.0,254.0,249.82,244.262,1164138,1421772805.4,-,503564,43.26, 
2007-12-31,MUNDRAPORT,EQ,252.67,259.0,252.2,253.6,253.76,255.52800000000002,737249,941942138.15,-,316377,42.91, 
2008-01-01,MUNDRAPORT,EQ,255.8,263.8,252.74,261.6,259.37,257.144,491348,631734621.0,-,172911,35.19, 
2008-01-02,MUNDRAPORT,EQ,262.05,264.8,254.0,260.03000000000003,261.49,260.43,703815,916473404.25,-,221397,31.46, 
2008-01-03,MUNDRAPORT,EQ,261.0,262.94,252.23000000000002,253.43,255.16,257.848,505058,651142500.75,-,217437,43.05, 
2008-01-04,MUNDRAPORT,EQ,255.76,258.96,246.6,247.98000000000002,248.07,251.206,550795,691816743.4,-,230237,41.8, 
2008-01-07,MUNDRAPORT,EQ,248.0,255.78000000000003,243.0,246.6,245.45,248.952,630963,785397699.75,-,239404,37.94, 
2008-01-08,MUNDRAPORT,EQ,248.0,251.0,237.0,240.4,240.95999999999998,243.416,530499,645659512.7,-,228866,43.14, 
2008-01-09,MUNDRAPORT,EQ,240.0,242.0,230.2,236.2,236.05,235.27399999999997,627507,738183133.3,-,259280,41.32, 
2008-01-10,MUNDRAPORT,EQ,237.0,239.95999999999998,222.0,223.6,224.31,231.288,438806,507452465.9,-,200150,45.61, 
2008-01-11,MUNDRAPORT,EQ,225.6,226.0,212.6,219.2,217.17,217.55599999999998,616938,671092720.25,-,312121,50.59, 
2008-01-14,MUNDRAPORT,EQ,216.48000000000002,216.48000000000002,206.21999999999997,207.0,207.03000000000003,208.48000000000002,835916,871357107.55,-,570824,68.29, 
2008-01-15,MUNDRAPORT,EQ,209.11999999999998,215.74,207.20999999999998,211.4,209.91,210.138,830493,872593371.1,-,504259,60.72, 
2008-01-16,MUNDRAPORT,EQ,209.2,212.8,200.0,207.66,206.08,206.57199999999997,816188,843006096.85,-,478517,58.63, 
2008-01-17,MUNDRAPORT,EQ,210.0,210.7,202.2,202.99,204.18,206.746,336003,347334909.0,-,145194,43.21, 
2008-01-18,MUNDRAPORT,EQ,202.0,214.4,194.98,199.0,198.92000000000002,204.514,676854,692132809.15,-,278615,41.16, 
2008-01-21,MUNDRAPORT,EQ,199.0,201.0,159.14000000000001,170.6,165.01,176.154,788623,694598998.55,-,474223,60.13, 
2008-01-22,MUNDRAPORT,EQ,140.0,162.0,132.01,147.8,147.10999999999999,140.64000000000001,546161,384061137.05,-,376194,68.88, 
2008-01-23,MUNDRAPORT,EQ,152.0,176.38,152.0,172.44,171.4,163.73399999999998,535462,438365269.8,-,283881,53.02, 
2008-01-24,MUNDRAPORT,EQ,175.0,187.0,162.4,162.94,162.82999999999998,170.966,511017,436833194.25,-,258346,50.56, 
2008-01-25,MUNDRAPORT,EQ,164.0,176.6,164.0,173.2,173.14000000000001,171.666,404045,346803338.6,-,178177,44.1, 
2008-01-28,MUNDRAPORT,EQ,167.0,167.0,156.64000000000001,164.4,164.16,160.876,467052,375685523.8,-,241365,51.68, 
2008-01-29,MUNDRAPORT,EQ,168.0,172.0,164.01,168.0,168.15,168.254,220070,185138233.45,-,74141,33.69, 
2008-01-30,MUNDRAPORT,EQ,169.95999999999998,172.8,164.45,166.8,166.09,166.764,286190,238631106.6,-,165926,57.98, 
2008-01-31,MUNDRAPORT,EQ,166.2,169.98,162.51,167.32,167.53,166.716,194300,161965558.95,-,103890,53.47, 
2008-02-01,MUNDRAPORT,EQ,166.32999999999998,170.45999999999998,164.0,165.2,165.07,165.618,204391,169254518.05,-,115715,56.61, 
2008-02-04,MUNDRAPORT,EQ,169.57999999999998,174.48,168.0,171.8,171.22,171.754,280230,240652086.95,-,128195,45.75, 
2008-02-05,MUNDRAPORT,EQ,171.2,171.4,166.0,166.93,166.85999999999999,168.41199999999998,162093,136491920.2,-,96153,59.32, 
2008-02-06,MUNDRAPORT,EQ,160.6,164.98,156.0,161.8,161.5,162.1,193260,156637941.25,-,110565,57.21, 
2008-02-07,MUNDRAPORT,EQ,165.0,166.0,158.4,159.18,159.25,161.906,212932,172375759.75,-,106275,49.91, 
2008-02-08,MUNDRAPORT,EQ,162.0,166.0,153.03,157.2,156.81,156.296,285025,222742520.0,-,154857,54.33, 
2008-02-11,MUNDRAPORT,EQ,157.0,157.0,139.0,139.8,142.24,147.246,223955,164882643.25,-,118002,52.69, 
2008-02-12,MUNDRAPORT,EQ,145.0,146.99,131.12,137.8,136.26,136.276,303409,206735775.1,-,187180,61.69, 
2008-02-13,MUNDRAPORT,EQ,163.18,163.18,132.8,135.6,134.19,136.33599999999998,214900,146492146.4,-,108761,50.61, 
2008-02-14,MUNDRAPORT,EQ,136.0,142.8,136.0,142.0,141.95999999999998,140.942,269032,189590361.75,-,148611,55.24, 
2008-02-15,MUNDRAPORT,EQ,140.0,152.74,136.25,145.8,145.75,146.846,353049,259218728.2,-,110621,31.33, 
2008-02-18,MUNDRAPORT,EQ,147.0,155.0,147.0,154.4,154.32,152.466,342580,261158829.0,-,154099,44.98, 
2008-02-19,MUNDRAPORT,EQ,155.8,157.38,152.04000000000002,153.4,152.78,154.448,137412,106115558.4,-,47543,34.6, 
2008-02-20,MUNDRAPORT,EQ,150.0,152.0,144.0,148.0,146.42000000000002,146.122,197489,144287069.35,-,89397,45.27, 
2008-02-21,MUNDRAPORT,EQ,152.4,152.4,146.02,147.78,147.52,148.30599999999998,125558,93104652.4,-,37956,30.23, 
2008-02-22,MUNDRAPORT,EQ,144.6,147.4,143.0,144.9,144.8,145.304,81070,58899221.95,-,31808,39.24, 
2008-02-25,MUNDRAPORT,EQ,145.01,151.78,140.45999999999998,141.4,141.53,142.34,152803,108750656.35,-,71403,46.73, 
2008-02-26,MUNDRAPORT,EQ,145.0,148.8,142.6,147.0,147.16,146.746,251269,184363504.25,-,53136,21.15, 
2008-02-27,MUNDRAPORT,EQ,149.94,156.68,148.2,148.8,149.28,152.494,305320,232798024.4,-,84490,27.67, 
2008-02-28,MUNDRAPORT,EQ,148.0,150.98,145.01,148.0,147.55,147.78199999999998,112491,83120925.1,-,36730,32.65, 
2008-02-29,MUNDRAPORT,EQ,147.6,152.2,145.07999999999998,146.0,147.13,148.576,203872,151452194.3,-,65460,32.11, 
2008-03-03,MUNDRAPORT,EQ,145.0,145.0,138.45999999999998,139.62,139.85,141.862,182510,129456902.2,-,101025,55.35, 
2008-03-04,MUNDRAPORT,EQ,141.0,141.79000000000002,128.4,134.20999999999998,133.85,132.786,400996,266233025.6,-,196398,48.98, 
2008-03-05,MUNDRAPORT,EQ,133.6,134.4,127.2,127.6,128.18,129.916,263263,171009410.85,-,147818,56.15, 
2008-03-07,MUNDRAPORT,EQ,126.0,126.0,115.4,121.6,121.95,119.15799999999999,452949,269861210.65,-,265748,58.67, 
2008-03-10,MUNDRAPORT,EQ,120.0,122.0,101.63,120.0,120.22999999999999,117.768,235966,138945380.05,-,99760,42.28, 
2008-03-11,MUNDRAPORT,EQ,118.6,127.15,115.0,124.3,124.74000000000001,124.648,226830,141368600.45,-,84493,37.25, 
2008-03-12,MUNDRAPORT,EQ,128.0,129.99,118.2,118.4,120.58,125.122,210739,131839479.15,-,101740,48.28, 
2008-03-13,MUNDRAPORT,EQ,117.0,120.0,112.41,113.8,113.25999999999999,115.99600000000001,165515,95995349.85,-,79053,47.76, 
2008-03-14,MUNDRAPORT,EQ,113.8,115.4,110.80999999999999,111.0,112.2,112.202,157189,88185018.2,-,69025,43.91, 
2008-03-17,MUNDRAPORT,EQ,109.8,109.8,101.4,101.46000000000001,102.28999999999999,104.83800000000001,201577,105665161.1,-,97073,48.16, 
2008-03-18,MUNDRAPORT,EQ,101.0,105.0,98.0,100.19,100.47999999999999,101.09400000000001,257617,130218088.0,-,115912,44.99, 
2008-03-19,MUNDRAPORT,EQ,106.0,106.0,99.0,99.01,99.55,102.0,196021,99971397.6,-,102479,52.28, 
2008-03-24,MUNDRAPORT,EQ,100.4,101.17999999999999,93.0,94.02000000000001,93.84,94.98400000000001,542915,257842304.9,-,436778,80.45, 
2008-03-25,MUNDRAPORT,EQ,95.0,101.0,93.01,99.05,99.42999999999999,98.602,746747,368150389.0,-,536222,71.81, 
2008-03-26,MUNDRAPORT,EQ,100.4,104.4,98.05,100.22999999999999,100.81,101.714,278415,141593530.55,-,127422,45.77, 
2008-03-27,MUNDRAPORT,EQ,99.22,104.2,97.2,103.4,103.2,102.598,359725,184534104.0,-,138563,38.52, 
2008-03-28,MUNDRAPORT,EQ,103.0,123.84,103.0,123.84,123.84,115.626,1546339,893989991.5,-,517738,33.48, 
2008-03-31,MUNDRAPORT,EQ,125.0,134.68,114.0,115.4,115.75,125.904,2134980,1344009787.45,-,376435,17.63, 
2008-04-01,MUNDRAPORT,EQ,117.0,123.4,116.95,119.2,118.44000000000001,119.67999999999999,728839,436135664.7,-,152120,20.87, 
2008-04-02,MUNDRAPORT,EQ,124.75999999999999,126.67999999999999,120.2,121.62,121.67,122.92999999999999,867551,533242564.75,-,243344,28.05, 
2008-04-03,MUNDRAPORT,EQ,122.2,124.28,118.42,119.60999999999999,120.46,121.19800000000001,780026,472690091.3,-,316531,40.58, 
2008-04-04,MUNDRAPORT,EQ,122.8,122.8,117.0,118.13,118.64000000000001,118.876,386898,229963819.35,-,138769,35.87, 
2008-04-07,MUNDRAPORT,EQ,119.0,121.05999999999999,114.0,118.35999999999999,118.67999999999999,118.11800000000001,466172,275317869.1,-,160462,34.42, 
2008-04-08,MUNDRAPORT,EQ,125.0,125.0,117.02000000000001,117.6,117.92999999999999,118.15599999999999,217730,128630121.4,-,64935,29.82, 
2008-04-09,MUNDRAPORT,EQ,116.1,124.6,115.03,119.78,119.55,121.16400000000002,507422,307408600.8,-,89005,17.54, 
2008-04-10,MUNDRAPORT,EQ,123.0,123.0,117.2,122.2,121.72,121.98599999999999,495019,301925225.1,-,230605,46.59, 
2008-04-11,MUNDRAPORT,EQ,122.0,124.0,121.0,122.15,122.04,122.54,301522,184742267.9,-,115645,38.35, 
2008-04-15,MUNDRAPORT,EQ,121.0,130.0,120.0,129.92000000000002,128.51,126.05799999999999,732463,461661914.45,-,202598,27.66, 
2008-04-16,MUNDRAPORT,EQ,131.4,132.4,126.4,128.2,127.47999999999999,129.60999999999999,440549,285498399.4,-,141662,32.16, 
2008-04-17,MUNDRAPORT,EQ,129.76,131.88,124.21,125.58,125.27000000000001,128.58800000000002,442496,284499352.5,-,166569,37.64, 
2008-04-21,MUNDRAPORT,EQ,128.0,130.99,126.62,129.2,129.03,128.934,257175,165793791.1,-,67098,26.09, 
2008-04-22,MUNDRAPORT,EQ,128.0,134.68,127.63,134.38,133.17000000000002,132.32999999999998,574697,380249682.7,-,174611,30.38, 
2008-04-23,MUNDRAPORT,EQ,135.0,135.57999999999998,130.48,133.66,133.34,132.974,362552,241050412.95,-,106485,29.37, 
2008-04-24,MUNDRAPORT,EQ,133.6,135.57,131.62,132.4,133.05,133.034,255828,170168077.85,-,114951,44.93, 
2008-04-25,MUNDRAPORT,EQ,134.0,143.6,131.82,143.4,142.43,140.116,1510614,1058305611.3,-,484802,32.09, 
2008-04-28,MUNDRAPORT,EQ,145.0,148.22,140.6,147.4,147.29000000000002,145.56,1072156,780317321.2,-,334387,31.19, 
2008-04-29,MUNDRAPORT,EQ,147.65,149.6,142.22,148.0,148.12,145.822,600573,437885488.35,-,154227,25.68, 
2008-04-30,MUNDRAPORT,EQ,148.0,154.8,143.0,151.01,152.03,152.006,731082,555643779.1,-,159754,21.85, 
2008-05-02,MUNDRAPORT,EQ,153.25,157.6,152.73,153.20999999999998,153.32999999999998,155.18599999999998,607475,471358102.55,-,140632,23.15, 
2008-05-05,MUNDRAPORT,EQ,136.34,156.34,136.34,150.51,150.88,153.676,248543,190974992.2,-,60428,24.31, 
2008-05-06,MUNDRAPORT,EQ,146.0,153.57999999999998,145.02,152.2,151.57999999999998,150.906,418643,315877759.0,-,122370,29.23, 
2008-05-07,MUNDRAPORT,EQ,152.4,154.9,149.0,153.8,153.7,153.038,295381,226023574.0,-,91621,31.02, 
2008-05-08,MUNDRAPORT,EQ,152.0,157.0,150.4,156.79000000000002,156.3,154.296,422630,326051892.15,-,146167,34.59, 
