Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,CIPLA,EQ,329.2,331.25,329.0,-,331.2,330.32,5550,1833260.0,-,-,-, 
1996-01-02,CIPLA,EQ,331.2,338.0,315.0,-,327.0,331.7,43300,14362460.0,-,-,-, 
1996-01-03,CIPLA,EQ,327.0,333.0,323.5,-,324.7,327.03,19250,6295287.5,-,-,-, 
1996-01-04,CIPLA,EQ,324.7,324.5,315.0,-,321.3,319.51,16550,5287920.0,-,-,-, 
1996-01-05,CIPLA,EQ,321.3,324.0,319.0,-,320.5,320.92,9350,3000617.5,-,-,-, 
1996-01-08,CIPLA,EQ,320.5,319.5,314.0,-,315.0,316.79,17200,5448710.0,-,-,-, 
1996-01-09,CIPLA,EQ,315.0,318.5,311.1,-,315.85,314.85,24100,7587830.0,-,-,-, 
1996-01-10,CIPLA,EQ,315.85,323.0,316.0,-,318.45,320.21,12150,3890587.5,-,-,-, 
1996-01-11,CIPLA,EQ,318.45,323.0,318.25,-,321.7,320.57,2950,945680.0,-,-,-, 
1996-01-12,CIPLA,EQ,330.0,330.0,324.75,-,327.3,327.95,14500,4755227.5,-,-,-, 
1996-01-15,CIPLA,EQ,327.3,326.75,319.5,-,325.8,323.77,11650,3771885.0,-,-,-, 
1996-01-16,CIPLA,EQ,325.8,350.0,326.0,-,335.55,331.69,19900,6600540.0,-,-,-, 
1996-01-17,CIPLA,EQ,335.55,331.0,326.25,-,326.6,328.25,7200,2363400.0,-,-,-, 
1996-01-18,CIPLA,EQ,326.6,328.0,322.0,-,326.05,324.9,4350,1413322.5,-,-,-, 
1996-01-19,CIPLA,EQ,326.05,328.95,324.75,-,327.05,326.37,4900,1599227.5,-,-,-, 
1996-01-22,CIPLA,EQ,327.05,332.0,325.75,-,331.0,328.95,8500,2796110.0,-,-,-, 
1996-01-23,CIPLA,EQ,331.0,331.0,315.0,-,318.9,324.87,10050,3264920.0,-,-,-, 
