Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,EICHERMOT,EQ,3.6,3.6,3.6,-,3.6,3.6,2200,79200.0,-,-,-, 
1996-01-02,EICHERMOT,EQ,3.6,3.6399999999999997,3.6,-,3.6100000000000003,3.6079999999999997,3100,111845.0,-,-,-, 
1996-01-03,EICHERMOT,EQ,3.65,3.65,3.65,-,3.65,3.65,1100,40150.0,-,-,-, 
1996-01-04,EICHERMOT,EQ,3.6,3.65,3.6,-,3.65,3.6149999999999998,1600,57835.0,-,-,-, 
1996-01-05,EICHERMOT,EQ,3.65,3.65,3.54,-,3.6,3.588,600,21530.0,-,-,-, 
1996-01-08,EICHERMOT,EQ,3.65,3.65,3.45,-,3.47,3.4880000000000004,1700,59300.0,-,-,-, 
1996-01-09,EICHERMOT,EQ,3.2,3.29,3.2,-,3.29,3.2299999999999995,300,9690.0,-,-,-, 
1996-01-10,EICHERMOT,EQ,3.05,3.4,3.05,-,3.35,3.335,2100,70040.0,-,-,-, 
1996-01-11,EICHERMOT,EQ,3.3950000000000005,3.4,3.3299999999999996,-,3.35,3.3630000000000004,1400,47075.0,-,-,-, 
1996-01-12,EICHERMOT,EQ,3.35,3.35,3.3299999999999996,-,3.34,3.347,2400,80330.0,-,-,-, 
1996-01-15,EICHERMOT,EQ,3.25,3.3,3.245,-,3.3,3.2659999999999996,900,29395.0,-,-,-, 
1996-01-16,EICHERMOT,EQ,3.2600000000000002,3.3,3.2600000000000002,-,3.3,3.274,500,16370.0,-,-,-, 
1996-01-17,EICHERMOT,EQ,3.375,3.425,3.255,-,3.255,3.3520000000000003,1400,46925.0,-,-,-, 
1996-01-18,EICHERMOT,EQ,3.3,3.3,3.025,-,3.05,3.2020000000000004,1300,41625.0,-,-,-, 
1996-01-19,EICHERMOT,EQ,2.75,3.04,2.75,-,2.8,2.822,16700,471265.0,-,-,-, 
1996-01-22,EICHERMOT,EQ,2.835,3.0,2.83,-,2.83,2.891,3000,86730.0,-,-,-, 
1996-01-23,EICHERMOT,EQ,2.63,3.0,2.63,-,2.925,2.8850000000000002,3300,95210.0,-,-,-, 
1996-01-24,EICHERMOT,EQ,3.0,3.0,2.91,-,2.91,2.963,900,26670.0,-,-,-, 
1996-01-25,EICHERMOT,EQ,3.2,3.2,2.995,-,3.02,3.016,1300,39210.0,-,-,-, 
1996-01-29,EICHERMOT,EQ,3.0,3.0100000000000002,3.0,-,3.0,3.0010000000000003,1000,30010.0,-,-,-, 
1996-01-30,EICHERMOT,EQ,3.0,3.1,3.0,-,3.005,3.023,2700,81625.0,-,-,-, 
1996-01-31,EICHERMOT,EQ,3.005,3.2649999999999997,3.005,-,3.2649999999999997,3.221,1000,32210.0,-,-,-, 
1996-02-01,EICHERMOT,EQ,3.2649999999999997,3.245,3.1100000000000003,-,3.1100000000000003,3.179,1900,60400.0,-,-,-, 
1996-02-02,EICHERMOT,EQ,3.25,3.2950000000000004,3.2399999999999998,-,3.2950000000000004,3.2520000000000002,2900,94320.0,-,-,-, 
1996-02-05,EICHERMOT,EQ,3.2950000000000004,3.6149999999999998,3.5,-,3.55,3.59,4100,147190.0,-,-,-, 
1996-02-06,EICHERMOT,EQ,3.55,3.75,3.45,-,3.62,3.624,5300,192095.0,-,-,-, 
1996-02-07,EICHERMOT,EQ,3.62,3.625,3.55,-,3.6049999999999995,3.5799999999999996,3000,107395.0,-,-,-, 
1996-02-08,EICHERMOT,EQ,3.65,3.75,3.6,-,3.745,3.6689999999999996,4500,165110.0,-,-,-, 
1996-02-09,EICHERMOT,EQ,3.745,4.1,3.9,-,4.025,3.974,4500,178830.0,-,-,-, 
1996-02-12,EICHERMOT,EQ,4.025,4.4,4.005,-,4.17,4.242,5200,220560.0,-,-,-, 
1996-02-13,EICHERMOT,EQ,4.17,4.225,4.11,-,4.125,4.156000000000001,6100,253515.0,-,-,-, 
1996-02-14,EICHERMOT,EQ,4.125,4.5,4.2,-,4.3,4.33,4600,199200.0,-,-,-, 
1996-02-15,EICHERMOT,EQ,4.3,4.6,4.4,-,4.475,4.468,12300,549600.0,-,-,-, 
1996-02-16,EICHERMOT,EQ,4.475,4.5,4.3,-,4.475,4.422,8900,393600.0,-,-,-, 
1996-02-19,EICHERMOT,EQ,4.475,4.55,4.4,-,4.495,4.46,9100,405850.0,-,-,-, 
1996-02-20,EICHERMOT,EQ,4.495,4.68,4.3,-,4.61,4.564,11800,538600.0,-,-,-, 
1996-02-22,EICHERMOT,EQ,4.61,5.07,4.255,-,5.0,4.9399999999999995,11000,543435.0,-,-,-, 
1996-02-23,EICHERMOT,EQ,5.0,5.0,4.71,-,4.825,4.840999999999999,12700,614750.0,-,-,-, 
1996-02-26,EICHERMOT,EQ,4.795,4.965,4.75,-,4.9,4.9,20800,1019190.0,-,-,-, 
1996-02-27,EICHERMOT,EQ,4.9,5.3,4.725,-,4.995,4.872999999999999,23800,1159655.0,-,-,-, 
1996-02-28,EICHERMOT,EQ,5.25,5.25,4.86,-,4.9799999999999995,4.9799999999999995,16900,841615.0,-,-,-, 
1996-02-29,EICHERMOT,EQ,4.9799999999999995,4.9,4.725,-,4.86,4.846,21300,1032290.0,-,-,-, 
1996-03-01,EICHERMOT,EQ,4.86,4.9,4.7,-,4.7700000000000005,4.7829999999999995,11200,535720.0,-,-,-, 
1996-03-04,EICHERMOT,EQ,4.7700000000000005,4.795,4.654999999999999,-,4.715,4.720000000000001,10600,500325.0,-,-,-, 
1996-03-06,EICHERMOT,EQ,4.7,4.7,4.404999999999999,-,4.6,4.6049999999999995,5100,234835.0,-,-,-, 
1996-03-07,EICHERMOT,EQ,4.6,4.6450000000000005,4.5,-,4.6,4.585,4500,206340.0,-,-,-, 
1996-03-08,EICHERMOT,EQ,4.6,4.6,4.5,-,4.55,4.548,5400,245590.0,-,-,-, 
1996-03-11,EICHERMOT,EQ,4.55,4.525,4.425,-,4.51,4.5,9000,404975.0,-,-,-, 
1996-03-12,EICHERMOT,EQ,4.51,4.675,4.495,-,4.555,4.561999999999999,12100,552050.0,-,-,-, 
1996-03-13,EICHERMOT,EQ,4.5,4.6,4.5,-,4.6,4.564,3800,173415.0,-,-,-, 
1996-03-14,EICHERMOT,EQ,4.6,4.675,4.55,-,4.675,4.636,3900,180800.0,-,-,-, 
1996-03-15,EICHERMOT,EQ,4.675,4.75,4.665,-,4.6899999999999995,4.683,2700,126440.0,-,-,-, 
1996-03-18,EICHERMOT,EQ,4.6899999999999995,4.7,4.555,-,4.625,4.607,6100,281030.0,-,-,-, 
1996-03-19,EICHERMOT,EQ,4.625,4.65,4.555,-,4.61,4.596,6400,294140.0,-,-,-, 
1996-03-21,EICHERMOT,EQ,4.61,4.65,4.59,-,4.625,4.618,3200,147780.0,-,-,-, 
1996-03-22,EICHERMOT,EQ,4.625,4.61,4.5,-,4.5,4.512,1600,72185.0,-,-,-, 
1996-03-25,EICHERMOT,EQ,4.5,4.57,4.505,-,4.505,4.531000000000001,1300,58900.0,-,-,-, 
1996-03-26,EICHERMOT,EQ,4.505,4.6,4.51,-,4.6,4.577,3600,164770.0,-,-,-, 
1996-03-27,EICHERMOT,EQ,4.6,4.6,4.5,-,4.555,4.561999999999999,2100,95810.0,-,-,-, 
1996-03-28,EICHERMOT,EQ,4.555,4.65,4.6,-,4.6450000000000005,4.636,400,18545.0,-,-,-, 
1996-03-29,EICHERMOT,EQ,4.6450000000000005,4.7,4.6,-,4.7,4.6530000000000005,2300,107010.0,-,-,-, 
1996-04-01,EICHERMOT,EQ,4.65,4.7,4.6,-,4.7,4.612,3100,142975.0,-,-,-, 
1996-04-02,EICHERMOT,EQ,4.8,4.875,4.71,-,4.7700000000000005,4.808,4700,225955.0,-,-,-, 
1996-04-03,EICHERMOT,EQ,4.7700000000000005,4.85,4.755,-,4.779999999999999,4.797,3600,172695.0,-,-,-, 
1996-04-04,EICHERMOT,EQ,4.725,4.75,4.71,-,4.720000000000001,4.720000000000001,2900,136880.0,-,-,-, 
1996-04-08,EICHERMOT,EQ,4.8,4.8100000000000005,4.725,-,4.8,4.787,2900,138835.0,-,-,-, 
1996-04-09,EICHERMOT,EQ,4.8,4.79,4.75,-,4.75,4.761,5400,257105.0,-,-,-, 
1996-04-10,EICHERMOT,EQ,4.75,4.795,4.75,-,4.76,4.765,800,38120.0,-,-,-, 
1996-04-11,EICHERMOT,EQ,4.76,4.775,4.725,-,4.76,4.75,4200,199515.0,-,-,-, 
1996-04-12,EICHERMOT,EQ,4.705,4.765,4.705,-,4.75,4.742,2300,109075.0,-,-,-, 
1996-04-15,EICHERMOT,EQ,4.75,4.825,4.75,-,4.805,4.8,9900,475210.0,-,-,-, 
1996-04-16,EICHERMOT,EQ,4.805,4.79,4.65,-,4.75,4.747999999999999,4600,218425.0,-,-,-, 
1996-04-17,EICHERMOT,EQ,4.775,5.25,4.775,-,5.235,5.048,11800,595625.0,-,-,-, 
1996-04-18,EICHERMOT,EQ,5.235,5.65,5.37,-,5.465,5.4670000000000005,16300,891195.0,-,-,-, 
1996-04-19,EICHERMOT,EQ,5.465,5.5,5.2,-,5.2,5.292,4400,232845.0,-,-,-, 
1996-04-22,EICHERMOT,EQ,5.2,5.175,4.7,-,5.125,5.1,10200,520205.0,-,-,-, 
1996-04-23,EICHERMOT,EQ,5.125,5.1,4.825,-,4.8950000000000005,4.986,8500,423785.0,-,-,-, 
1996-04-24,EICHERMOT,EQ,4.8950000000000005,5.175,4.9,-,5.045,5.104,2700,137805.0,-,-,-, 
1996-04-25,EICHERMOT,EQ,5.045,5.09,4.9,-,4.9,4.978,5800,288745.0,-,-,-, 
1996-04-26,EICHERMOT,EQ,4.9,5.25,4.96,-,5.12,5.093999999999999,7100,361645.0,-,-,-, 
1996-04-29,EICHERMOT,EQ,5.12,5.195,5.05,-,5.14,5.109,5500,280975.0,-,-,-, 
1996-04-30,EICHERMOT,EQ,5.14,5.37,5.2,-,5.33,5.316,21900,1164265.0,-,-,-, 
