Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,GRASIM,EQ,107.2,108.2,107.2,-,107.4,107.61800000000001,550,295950.0,-,-,-, 
1996-01-02,GRASIM,EQ,106.4,107.4,106.4,-,106.4,106.72200000000001,1050,560290.0,-,-,-, 
1996-01-03,GRASIM,EQ,106.4,106.4,106.4,-,106.4,106.4,200,106400.0,-,-,-, 
1996-01-04,GRASIM,EQ,105.0,105.6,104.0,-,105.0,104.91,2800,1468750.0,-,-,-, 
1996-01-05,GRASIM,EQ,105.2,106.0,105.2,-,106.0,105.43599999999999,1900,1001637.5,-,-,-, 
1996-01-08,GRASIM,EQ,105.0,106.0,104.6,-,105.17999999999999,105.41,2900,1528440.0,-,-,-, 
1996-01-09,GRASIM,EQ,104.0,106.0,103.6,-,105.71,104.768,1950,1021495.0,-,-,-, 
1996-01-10,GRASIM,EQ,105.71,108.0,106.9,-,108.0,107.452,850,456672.5,-,-,-, 
1996-01-11,GRASIM,EQ,108.0,109.5,106.4,-,106.4,109.458,31650,17321802.5,-,-,-, 
1996-01-12,GRASIM,EQ,106.4,106.6,106.4,-,106.5,106.47,300,159705.0,-,-,-, 
1996-01-15,GRASIM,EQ,106.5,106.0,104.4,-,104.5,104.982,600,314947.5,-,-,-, 
1996-01-16,GRASIM,EQ,104.5,102.8,101.4,-,101.6,101.96799999999999,1050,535330.0,-,-,-, 
1996-01-17,GRASIM,EQ,101.6,101.3,99.8,-,101.12,101.192,34950,17683367.5,-,-,-, 
1996-01-18,GRASIM,EQ,100.0,100.0,96.42,-,99.35,99.134,1600,793075.0,-,-,-, 
1996-01-19,GRASIM,EQ,99.35,100.0,97.4,-,99.9,98.402,4350,2140232.5,-,-,-, 
1996-01-22,GRASIM,EQ,99.9,101.4,98.21000000000001,-,101.19,100.25,1950,977445.0,-,-,-, 
1996-01-23,GRASIM,EQ,101.19,102.8,99.6,-,101.2,101.702,2950,1500112.5,-,-,-, 
1996-01-24,GRASIM,EQ,101.2,104.6,99.2,-,103.55,103.44200000000001,41150,21283102.5,-,-,-, 
1996-01-25,GRASIM,EQ,99.21000000000001,102.5,99.21000000000001,-,101.76,101.16799999999999,2900,1466927.5,-,-,-, 
1996-01-29,GRASIM,EQ,101.76,101.6,100.6,-,101.6,101.176,1250,632352.5,-,-,-, 
1996-01-30,GRASIM,EQ,101.6,102.0,101.1,-,102.0,101.728,1450,737535.0,-,-,-, 
1996-01-31,GRASIM,EQ,102.0,101.0,100.42,-,100.46000000000001,100.756,800,403022.5,-,-,-, 
1996-02-01,GRASIM,EQ,100.46000000000001,103.8,101.8,-,103.7,102.88399999999999,2150,1105995.0,-,-,-, 
1996-02-02,GRASIM,EQ,103.7,109.0,103.8,-,108.59,106.38399999999999,1250,664900.0,-,-,-, 
1996-02-05,GRASIM,EQ,108.59,118.0,112.0,-,114.09,114.83800000000001,10400,5971627.5,-,-,-, 
1996-02-06,GRASIM,EQ,114.09,114.8,108.0,-,110.0,111.80799999999999,7850,4388435.0,-,-,-, 
1996-02-07,GRASIM,EQ,110.0,112.0,107.0,-,111.02000000000001,110.602,18250,10092515.0,-,-,-, 
1996-02-08,GRASIM,EQ,111.02000000000001,113.2,110.4,-,112.94000000000001,111.984,2100,1175835.0,-,-,-, 
1996-02-09,GRASIM,EQ,112.94000000000001,118.0,113.0,-,117.8,115.24600000000001,5350,3082840.0,-,-,-, 
1996-02-12,GRASIM,EQ,117.8,121.0,110.9,-,111.19000000000001,112.596,24400,13736722.5,-,-,-, 
1996-02-13,GRASIM,EQ,111.19000000000001,122.0,116.0,-,118.32000000000001,117.71199999999999,3500,2059945.0,-,-,-, 
1996-02-14,GRASIM,EQ,118.32000000000001,123.0,119.4,-,120.87,120.71400000000001,4300,2595357.5,-,-,-, 
1996-02-15,GRASIM,EQ,120.87,121.6,118.2,-,120.0,120.144,6050,3634330.0,-,-,-, 
1996-02-16,GRASIM,EQ,120.0,120.0,117.8,-,118.9,119.2,3400,2026395.0,-,-,-, 
1996-02-19,GRASIM,EQ,118.9,121.4,118.21,-,120.72999999999999,120.05999999999999,3950,2371180.0,-,-,-, 
1996-02-20,GRASIM,EQ,120.72999999999999,120.6,118.0,-,119.03,119.34200000000001,2700,1611130.0,-,-,-, 
1996-02-22,GRASIM,EQ,119.03,121.2,118.0,-,120.65,120.42999999999999,3900,2348402.5,-,-,-, 
1996-02-23,GRASIM,EQ,120.65,122.4,119.4,-,121.92,121.33399999999999,6850,4155705.0,-,-,-, 
1996-02-26,GRASIM,EQ,121.92,127.0,123.25,-,126.59,125.15599999999999,10300,6445552.5,-,-,-, 
1996-02-27,GRASIM,EQ,126.59,126.6,125.00999999999999,-,126.50999999999999,125.79,5000,3144735.0,-,-,-, 
1996-02-28,GRASIM,EQ,126.50999999999999,126.8,126.1,-,126.16,126.42999999999999,2800,1770020.0,-,-,-, 
1996-02-29,GRASIM,EQ,126.16,125.0,122.0,-,124.46,123.758,3600,2227637.5,-,-,-, 
1996-03-01,GRASIM,EQ,124.46,125.7,121.0,-,124.91,124.516,3650,2272412.5,-,-,-, 
1996-03-04,GRASIM,EQ,124.91,127.0,124.27000000000001,-,126.72,126.306,2800,1768277.5,-,-,-, 
1996-03-06,GRASIM,EQ,126.72,125.00999999999999,124.4,-,124.4,124.86800000000001,1750,1092597.5,-,-,-, 
1996-03-07,GRASIM,EQ,124.4,124.0,123.02000000000001,-,123.6,123.702,1650,1020547.5,-,-,-, 
1996-03-08,GRASIM,EQ,123.6,122.35,117.65,-,118.66,119.572,54000,32284257.5,-,-,-, 
1996-03-11,GRASIM,EQ,118.66,118.0,116.0,-,117.39000000000001,117.74600000000001,26600,15660255.0,-,-,-, 
1996-03-12,GRASIM,EQ,117.39000000000001,119.0,117.1,-,118.60999999999999,118.268,4100,2424487.5,-,-,-, 
1996-03-13,GRASIM,EQ,118.60999999999999,119.8,116.4,-,119.4,118.248,1000,591237.5,-,-,-, 
1996-03-14,GRASIM,EQ,119.4,126.0,120.0,-,120.7,120.38199999999999,39400,23715100.0,-,-,-, 
1996-03-15,GRASIM,EQ,120.7,121.6,119.1,-,120.35999999999999,120.60999999999999,26650,16071315.0,-,-,-, 
1996-03-18,GRASIM,EQ,120.35999999999999,120.75,118.8,-,120.0,119.878,13850,8301507.5,-,-,-, 
1996-03-19,GRASIM,EQ,120.0,120.8,118.2,-,119.94000000000001,120.25,29850,17947367.5,-,-,-, 
1996-03-21,GRASIM,EQ,119.94000000000001,114.8,112.25,-,112.4,113.34,1150,651710.0,-,-,-, 
1996-03-22,GRASIM,EQ,112.4,112.2,108.0,-,108.34,110.15799999999999,650,358012.5,-,-,-, 
1996-03-25,GRASIM,EQ,108.34,106.99000000000001,104.2,-,104.6,105.27799999999999,1400,736947.5,-,-,-, 
1996-03-26,GRASIM,EQ,104.6,106.4,104.0,-,106.2,105.048,1900,997965.0,-,-,-, 
1996-03-27,GRASIM,EQ,106.2,109.0,106.6,-,109.0,107.6,250,134500.0,-,-,-, 
1996-03-28,GRASIM,EQ,109.0,112.0,109.41,-,112.0,110.578,550,304087.5,-,-,-, 
1996-03-29,GRASIM,EQ,112.0,112.0,111.21,-,111.5,111.41199999999999,950,529202.5,-,-,-, 
1996-04-01,GRASIM,EQ,111.5,111.0,109.2,-,110.08,110.13,1000,550650.0,-,-,-, 
1996-04-02,GRASIM,EQ,110.08,114.0,110.0,-,113.89000000000001,112.806,3500,1974112.5,-,-,-, 
1996-04-03,GRASIM,EQ,113.89000000000001,116.6,114.0,-,116.2,115.78399999999999,1600,926275.0,-,-,-, 
1996-04-04,GRASIM,EQ,116.2,116.0,114.0,-,116.0,115.258,700,403400.0,-,-,-, 
1996-04-08,GRASIM,EQ,116.0,121.0,119.00999999999999,-,119.00999999999999,119.572,750,448397.5,-,-,-, 
1996-04-09,GRASIM,EQ,119.00999999999999,118.7,116.0,-,116.0,117.91600000000001,2850,1680297.5,-,-,-, 
1996-04-10,GRASIM,EQ,116.0,116.0,114.0,-,114.0,114.734,3700,2122582.5,-,-,-, 
1996-04-11,GRASIM,EQ,114.0,115.5,113.6,-,115.5,114.77799999999999,2600,1492125.0,-,-,-, 
1996-04-12,GRASIM,EQ,115.5,116.0,115.19000000000001,-,115.2,115.22200000000001,3300,1901175.0,-,-,-, 
1996-04-15,GRASIM,EQ,115.2,116.8,114.0,-,116.27000000000001,116.204,2400,1394437.5,-,-,-, 
1996-04-16,GRASIM,EQ,116.27000000000001,117.4,115.42,-,115.79,116.23599999999999,1100,639300.0,-,-,-, 
1996-04-17,GRASIM,EQ,115.79,116.99000000000001,116.4,-,116.46,116.66,1700,991610.0,-,-,-, 
1996-04-18,GRASIM,EQ,116.46,120.6,117.5,-,118.35,118.282,3700,2188210.0,-,-,-, 
1996-04-19,GRASIM,EQ,118.35,122.0,119.0,-,121.99000000000001,121.452,32950,20009135.0,-,-,-, 
1996-04-22,GRASIM,EQ,121.99000000000001,122.4,120.0,-,122.0,121.85999999999999,48800,29733860.0,-,-,-, 
1996-04-23,GRASIM,EQ,122.0,122.4,119.7,-,122.05,121.2,8150,4938935.0,-,-,-, 
1996-04-24,GRASIM,EQ,122.05,124.0,121.8,-,123.75999999999999,122.748,9650,5922555.0,-,-,-, 
1996-04-25,GRASIM,EQ,123.75999999999999,128.6,124.8,-,125.8,127.34200000000001,13050,8309097.5,-,-,-, 
