Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2000-01-11,HCLTECH,EQ,387.5,431.25,373.0,390.0,388.6125,395.68,1192200,1886914610.0,-,-,-, 
2000-01-12,HCLTECH,EQ,390.0,419.7125,390.0,419.7125,419.7125,414.2625,344850,571434945.0,-,-,-, 
2000-01-13,HCLTECH,EQ,447.5,453.3,445.25,453.3,453.3,451.1725,53000,95648797.5,-,-,-, 
2000-01-14,HCLTECH,EQ,489.575,489.575,458.75,489.575,489.575,484.975,270950,525616932.5,-,-,-, 
2000-01-17,HCLTECH,EQ,528.75,528.75,450.4125,450.4125,450.4125,497.6375,428800,853547337.5,-,-,-, 
2000-01-18,HCLTECH,EQ,432.6375,453.75,414.3875,443.75,443.625,429.0975,359900,617728020.0,-,-,-, 
2000-01-19,HCLTECH,EQ,453.75,472.25,440.0,460.7,462.7875,460.7025,316050,582420400.0,-,-,-, 
2000-01-20,HCLTECH,EQ,466.25,466.25,437.5,438.375,439.4625,450.3425,204700,368740925.0,-,-,-, 
2000-01-21,HCLTECH,EQ,440.25,453.75,426.25,446.5,445.3375,443.5025,282150,500536040.0,-,-,-, 
2000-01-24,HCLTECH,EQ,458.725,480.975,448.75,480.975,480.975,468.835,328650,616331717.5,-,-,-, 
2000-01-25,HCLTECH,EQ,497.5,519.4625,497.5,519.4625,519.4625,516.4275,313500,647601040.0,-,-,-, 
2000-01-27,HCLTECH,EQ,559.975,559.975,491.25,519.5,520.15,525.48,352400,740715002.5,-,-,-, 
2000-01-28,HCLTECH,EQ,525.0,561.25,505.05,547.5,549.2375,543.25,360800,784019745.0,-,-,-, 
2000-01-31,HCLTECH,EQ,527.75,550.0,505.3,505.3,507.6,520.8625,217650,453462005.0,-,-,-, 
2000-02-01,HCLTECH,EQ,495.3,545.0,495.3,540.0,540.5625,527.665,261000,550883427.5,-,-,-, 
2000-02-02,HCLTECH,EQ,565.0,565.0,502.5,508.75,506.0625,521.4775,326550,681154232.5,-,-,-, 
2000-02-03,HCLTECH,EQ,518.75,518.75,478.8,491.25,489.125,497.415,175800,349782055.0,-,-,-, 
2000-02-04,HCLTECH,EQ,498.25,516.0,491.25,494.25,496.65,502.0625,176500,354455975.0,-,-,-, 
2000-02-07,HCLTECH,EQ,496.25,529.9875,490.0125,509.0,515.7375,512.1275,277850,569179080.0,-,-,-, 
2000-02-08,HCLTECH,EQ,512.35,515.0,492.5,503.5,499.8,504.2725,199100,401602667.5,-,-,-, 
2000-02-09,HCLTECH,EQ,525.0,525.0,493.75,497.75,499.75,502.875,180500,363076322.5,-,-,-, 
2000-02-10,HCLTECH,EQ,494.1625,503.7,491.25,497.5,499.1875,498.09,76850,153113212.5,-,-,-, 
2000-02-11,HCLTECH,EQ,499.5,539.125,498.0,539.125,539.125,527.6525,166150,350678065.0,-,-,-, 
2000-02-14,HCLTECH,EQ,549.75,582.2625,549.75,582.2625,581.175,573.3175,265150,608061792.5,-,-,-, 
2000-02-15,HCLTECH,EQ,587.5,627.675,552.5,625.0,627.1,606.3025,224500,544458567.5,-,-,-, 
2000-02-16,HCLTECH,EQ,640.0,640.0,576.9375,604.5,605.775,602.87,260850,629034345.0,-,-,-, 
2000-02-17,HCLTECH,EQ,611.25,654.2375,595.0,654.2375,653.675,631.6775,276550,698760890.0,-,-,-, 
2000-02-18,HCLTECH,EQ,700.0,705.975,690.125,692.75,693.9875,701.85,173400,486803172.5,-,-,-, 
2000-02-21,HCLTECH,EQ,705.75,749.5,681.25,701.25,704.7875,720.9875,151800,437782950.0,-,-,-, 
2000-02-22,HCLTECH,EQ,700.0,718.75,663.0,677.5,675.075,693.1975,88250,244698400.0,-,-,-, 
2000-02-23,HCLTECH,EQ,706.25,717.5,621.075,624.75,637.2,674.1575,71250,192134960.0,-,-,-, 
2000-02-24,HCLTECH,EQ,642.5,662.5,611.25,613.75,616.025,634.9725,67350,171061432.5,-,-,-, 
2000-02-25,HCLTECH,EQ,624.5,635.0,570.0,581.25,579.325,598.96,72050,172620415.0,-,-,-, 
2000-02-28,HCLTECH,EQ,550.0,575.0,533.0,565.25,565.6875,550.325,67550,148697620.0,-,-,-, 
2000-02-29,HCLTECH,EQ,581.25,587.5,520.4375,520.4375,520.4375,551.63,85100,187774507.5,-,-,-, 
2000-03-01,HCLTECH,EQ,500.0,562.075,478.8125,562.075,562.075,524.7725,217400,456342160.0,-,-,-, 
2000-03-02,HCLTECH,EQ,599.75,607.05,587.5,607.05,607.05,604.0525,73000,176383392.5,-,-,-, 
2000-03-03,HCLTECH,EQ,654.725,655.625,587.5,600.5,610.9,614.5675,144050,354113962.5,-,-,-, 
2000-03-06,HCLTECH,EQ,625.0,625.0,562.0375,565.5,562.4375,582.0325,50200,116871927.5,-,-,-, 
2000-03-07,HCLTECH,EQ,556.25,567.25,517.45,517.45,517.45,523.365,74050,155020607.5,-,-,-, 
2000-03-08,HCLTECH,EQ,500.0,537.5,485.0,490.0,493.85,501.365,123150,246972365.0,-,-,-, 
2000-03-09,HCLTECH,EQ,488.0,521.25,454.35,467.5,477.8875,483.145,141050,272589912.5,-,-,-, 
2000-03-10,HCLTECH,EQ,475.5,487.475,442.5,454.5,449.725,462.9325,70000,129620787.5,-,-,-, 
2000-03-13,HCLTECH,EQ,459.75,478.75,413.75,413.75,413.75,428.425,95250,163230050.0,-,-,-, 
2000-03-14,HCLTECH,EQ,412.5,431.25,380.65,425.0,416.9375,394.8925,122700,193812702.5,-,-,-, 
2000-03-15,HCLTECH,EQ,437.5,450.3,394.5125,450.3,450.3,420.1675,38000,63865627.5,-,-,-, 
2000-03-16,HCLTECH,EQ,486.25,486.325,486.25,486.325,486.325,486.3225,7750,15076015.0,-,-,-, 
