Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,HDFC,EQ,540.72,534.0,528.0,-,533.8399999999999,532.802,500,1332004.5,-,-,-, 
1996-01-02,HDFC,EQ,533.8399999999999,542.0,530.0,-,541.24,538.3520000000001,1470,3956887.5,-,-,-, 
1996-01-03,HDFC,EQ,541.24,538.0,533.2,-,535.8,535.3199999999999,410,1097407.5,-,-,-, 
1996-01-04,HDFC,EQ,535.8,541.9100000000001,530.6,-,540.9,537.6220000000001,2600,6989074.0,-,-,-, 
1996-01-05,HDFC,EQ,540.9,541.8,533.0,-,540.23,539.5640000000001,1990,5368664.5,-,-,-, 
1996-01-08,HDFC,EQ,540.23,539.0,534.4100000000001,-,535.4,536.5939999999999,630,1690273.5,-,-,-, 
1996-01-09,HDFC,EQ,535.4,546.0,532.0,-,544.71,541.098,2720,7358923.5,-,-,-, 
1996-01-10,HDFC,EQ,544.71,540.6,528.0,-,528.0,535.7760000000001,2340,6268574.0,-,-,-, 
1996-01-11,HDFC,EQ,528.0,525.9,513.2,-,525.9,521.948,1260,3288269.5,-,-,-, 
1996-01-12,HDFC,EQ,525.9,532.0,524.01,-,531.0699999999999,528.5840000000001,610,1612180.5,-,-,-, 
1996-01-15,HDFC,EQ,531.0699999999999,530.0,522.0,-,523.2,527.206,1710,4507612.5,-,-,-, 
1996-01-16,HDFC,EQ,523.2,530.0,519.0,-,527.21,523.736,3630,9505825.0,-,-,-, 
1996-01-17,HDFC,EQ,527.21,532.0,520.2,-,523.2,521.596,890,2321105.5,-,-,-, 
1996-01-18,HDFC,EQ,523.2,530.0,518.0,-,528.0,522.778,1250,3267367.0,-,-,-, 
1996-01-19,HDFC,EQ,528.0,530.9,523.6,-,530.35,529.5699999999999,6580,17422883.5,-,-,-, 
1996-01-22,HDFC,EQ,530.35,533.0,526.0,-,530.48,529.87,1070,2834801.0,-,-,-, 
1996-01-23,HDFC,EQ,530.48,535.0,529.0,-,531.15,531.518,2490,6617388.5,-,-,-, 
1996-01-24,HDFC,EQ,531.15,531.0,522.0,-,527.08,528.952,900,2380285.0,-,-,-, 
1996-01-25,HDFC,EQ,527.08,532.0,480.0,-,530.15,528.5260000000001,203840,538674340.0,-,-,-, 
1996-01-29,HDFC,EQ,530.15,533.0,516.8,-,530.47,528.922,3350,8859438.0,-,-,-, 
1996-01-30,HDFC,EQ,530.47,540.0,529.2,-,530.0,532.484,2050,5457954.0,-,-,-, 
1996-01-31,HDFC,EQ,530.0,535.0,530.0,-,530.42,532.772,2530,6739568.0,-,-,-, 
1996-02-01,HDFC,EQ,530.42,531.8,530.0,-,530.15,530.182,880,2332800.0,-,-,-, 
1996-02-02,HDFC,EQ,530.15,537.0,520.0,-,533.63,531.7479999999999,3920,10422277.0,-,-,-, 
1996-02-05,HDFC,EQ,533.63,540.0,530.0,-,531.5699999999999,532.7819999999999,760,2024575.0,-,-,-, 
1996-02-06,HDFC,EQ,531.5699999999999,535.0,530.0,-,531.12,533.896,3690,9850391.0,-,-,-, 
1996-02-07,HDFC,EQ,531.12,530.0,522.4,-,529.48,527.4300000000001,600,1582292.5,-,-,-, 
1996-02-08,HDFC,EQ,529.48,550.0,526.95,-,547.88,541.972,3330,9023841.5,-,-,-, 
1996-02-09,HDFC,EQ,547.88,574.0,542.0,-,569.38,559.92,4270,11954293.5,-,-,-, 
1996-02-12,HDFC,EQ,569.38,572.0,550.4,-,565.97,565.9739999999999,2010,5688039.5,-,-,-, 
1996-02-13,HDFC,EQ,565.97,559.0,548.2,-,553.74,552.37,1170,3231367.0,-,-,-, 
1996-02-14,HDFC,EQ,553.74,580.0,555.0,-,566.88,567.706,3650,10360650.0,-,-,-, 
1996-02-15,HDFC,EQ,566.88,570.0,558.6,-,567.05,566.522,2910,8242906.0,-,-,-, 
1996-02-16,HDFC,EQ,567.05,560.0,550.0,-,556.54,556.396,1060,2948896.0,-,-,-, 
1996-02-19,HDFC,EQ,556.54,569.8,555.0,-,565.23,563.754,2530,7131483.5,-,-,-, 
1996-02-20,HDFC,EQ,565.23,562.99,555.25,-,555.51,558.176,3020,8428468.0,-,-,-, 
1996-02-22,HDFC,EQ,555.51,558.0,553.01,-,557.5600000000001,556.914,2450,6822195.0,-,-,-, 
1996-02-23,HDFC,EQ,557.5600000000001,557.0,550.0,-,553.92,554.2239999999999,1150,3186786.0,-,-,-, 
1996-02-26,HDFC,EQ,553.92,555.0,550.2,-,552.97,552.892,1290,3566154.5,-,-,-, 
1996-02-27,HDFC,EQ,552.97,555.8,548.0,-,552.1800000000001,553.302,3850,10651070.0,-,-,-, 
1996-02-28,HDFC,EQ,552.1800000000001,558.0,550.0,-,553.92,554.126,990,2742924.0,-,-,-, 
1996-02-29,HDFC,EQ,553.92,555.0,547.0,-,554.75,554.13,10350,28676273.5,-,-,-, 
1996-03-01,HDFC,EQ,554.75,555.2,549.0,-,551.5899999999999,555.058,38270,106210436.5,-,-,-, 
1996-03-04,HDFC,EQ,551.5899999999999,554.0,550.0,-,553.64,552.134,3450,9524317.0,-,-,-, 
1996-03-06,HDFC,EQ,553.64,554.0,550.0,-,553.04,552.792,610,1686018.0,-,-,-, 
1996-03-07,HDFC,EQ,553.04,556.0,552.0,-,553.15,554.1020000000001,2980,8256131.5,-,-,-, 
1996-03-08,HDFC,EQ,553.15,554.0,549.21,-,550.5699999999999,551.134,2290,6310473.0,-,-,-, 
1996-03-11,HDFC,EQ,550.5699999999999,552.0,547.2,-,549.8100000000001,549.7239999999999,3090,8493230.0,-,-,-, 
1996-03-12,HDFC,EQ,549.8100000000001,555.0,547.0,-,552.95,551.2180000000001,8370,23068506.5,-,-,-, 
1996-03-13,HDFC,EQ,552.95,550.01,546.0,-,548.0,549.392,590,1620703.5,-,-,-, 
1996-03-14,HDFC,EQ,548.0,554.0,420.0,-,508.95,540.29,1710,4619485.5,-,-,-, 
1996-03-15,HDFC,EQ,508.95,554.99,548.21,-,551.4399999999999,553.178,1340,3706293.5,-,-,-, 
1996-03-18,HDFC,EQ,551.4399999999999,552.0,546.21,-,552.0,550.828,1740,4792206.0,-,-,-, 
1996-03-19,HDFC,EQ,552.0,552.0,547.4,-,547.8399999999999,549.6859999999999,1740,4782263.5,-,-,-, 
1996-03-21,HDFC,EQ,547.8399999999999,552.0600000000001,546.4,-,551.4,550.63,1880,5175920.5,-,-,-, 
1996-03-22,HDFC,EQ,551.4,560.01,546.2,-,559.98,556.462,5720,15914840.5,-,-,-, 
1996-03-25,HDFC,EQ,559.98,575.0,551.22,-,572.76,565.758,5400,15275463.0,-,-,-, 
1996-03-26,HDFC,EQ,572.76,611.0,570.2,-,581.77,579.464,8880,25728232.0,-,-,-, 
1996-03-27,HDFC,EQ,581.77,608.0,584.0,-,605.9,601.67,6030,18140322.5,-,-,-, 
1996-03-28,HDFC,EQ,605.9,669.4,609.0,-,650.03,649.634,20890,67854211.0,-,-,-, 
1996-03-29,HDFC,EQ,650.03,651.0,631.2,-,643.4,645.982,17680,57104743.0,-,-,-, 
1996-04-01,HDFC,EQ,643.4,653.5,633.8,-,652.3,650.538,10450,33990604.0,-,-,-, 
1996-04-02,HDFC,EQ,652.3,654.78,646.0,-,651.05,650.714,6360,20692705.0,-,-,-, 
1996-04-03,HDFC,EQ,651.05,655.0,647.2,-,654.23,652.488,4590,14974616.5,-,-,-, 
1996-04-04,HDFC,EQ,654.23,647.0,630.0,-,639.5,638.846,1830,5845446.5,-,-,-, 
1996-04-08,HDFC,EQ,639.5,651.0,630.0,-,638.45,640.432,2550,8165520.0,-,-,-, 
1996-04-09,HDFC,EQ,638.45,640.0,620.0,-,623.03,627.556,1660,5208721.0,-,-,-, 
1996-04-10,HDFC,EQ,623.03,639.6,619.7,-,630.4300000000001,626.3,2810,8799505.5,-,-,-, 
1996-04-11,HDFC,EQ,630.4300000000001,631.0,621.4,-,629.25,626.796,1820,5703834.5,-,-,-, 
1996-04-12,HDFC,EQ,629.25,630.0,623.6,-,627.87,627.324,1570,4924486.5,-,-,-, 
1996-04-15,HDFC,EQ,627.87,637.0,623.0,-,629.22,630.516,2630,8291286.0,-,-,-, 
1996-04-16,HDFC,EQ,629.22,632.0,626.0,-,629.4300000000001,629.3100000000001,2310,7268528.5,-,-,-, 
1996-04-17,HDFC,EQ,629.4300000000001,649.8,630.6,-,637.51,642.354,7640,24537888.0,-,-,-, 
1996-04-18,HDFC,EQ,637.51,645.8,632.0,-,640.74,639.478,4590,14675999.0,-,-,-, 
1996-04-19,HDFC,EQ,640.74,646.0,636.21,-,638.39,642.944,5330,17134462.0,-,-,-, 
1996-04-22,HDFC,EQ,638.39,646.0,622.0,-,626.4399999999999,630.098,1400,4410684.0,-,-,-, 
1996-04-23,HDFC,EQ,626.4399999999999,614.4,596.2,-,599.8100000000001,600.018,2230,6690196.5,-,-,-, 
