Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,HINDALC0,EQ,923.1,1015.0,915.0,-,919.0,957.62,1300,1244900.0,-,-,-, 
1996-01-02,HINDALC0,EQ,919.0,921.5,918.0,-,921.0,919.45,1500,1379175.0,-,-,-, 
1996-01-03,HINDALC0,EQ,921.0,918.0,917.0,-,917.0,917.38,450,412822.5,-,-,-, 
1996-01-04,HINDALC0,EQ,915.0,915.0,907.05,-,907.05,914.62,1050,960352.5,-,-,-, 
1996-01-05,HINDALC0,EQ,906.0,907.0,903.3,-,904.6,905.74,1100,996315.0,-,-,-, 
1996-01-08,HINDALC0,EQ,905.0,906.0,900.0,-,900.35,901.72,1250,1127150.0,-,-,-, 
1996-01-09,HINDALC0,EQ,900.35,906.0,890.0,-,900.0,899.8,2250,2024545.0,-,-,-, 
1996-01-10,HINDALC0,EQ,900.0,910.0,900.0,-,900.0,903.47,650,587255.0,-,-,-, 
1996-01-11,HINDALC0,EQ,900.0,905.0,880.0,-,905.0,894.16,1250,1117700.0,-,-,-, 
1996-01-12,HINDALC0,EQ,905.0,908.0,900.0,-,907.0,904.62,550,497542.5,-,-,-, 
1996-01-15,HINDALC0,EQ,907.0,904.0,900.0,-,900.0,901.6,1250,1127002.5,-,-,-, 
1996-01-16,HINDALC0,EQ,900.0,897.5,886.0,-,886.5,894.22,900,804800.0,-,-,-, 
1996-01-17,HINDALC0,EQ,886.5,909.0,890.9,-,907.05,903.99,5750,5197970.0,-,-,-, 
1996-01-18,HINDALC0,EQ,907.05,915.0,870.0,-,901.05,897.32,3950,3544427.5,-,-,-, 
1996-01-19,HINDALC0,EQ,901.05,960.0,898.0,-,904.1,909.45,2050,1864380.0,-,-,-, 
1996-01-22,HINDALC0,EQ,904.1,904.0,898.65,-,902.7,900.79,1300,1171022.5,-,-,-, 
1996-01-23,HINDALC0,EQ,902.7,905.05,900.05,-,900.1,902.81,3700,3340410.0,-,-,-, 
1996-01-24,HINDALC0,EQ,900.1,904.0,893.05,-,898.55,901.96,7000,6313727.5,-,-,-, 
1996-01-25,HINDALC0,EQ,898.55,906.0,895.05,-,904.65,901.2,3950,3559725.0,-,-,-, 
1996-01-29,HINDALC0,EQ,904.65,910.0,896.1,-,906.0,907.65,21200,19242167.5,-,-,-, 
