Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,HINDLEVER,EQ,622.0,625.75,618.05,-,618.05,622.0,1100,684197.5,-,-,-, 
1996-01-02,HINDLEVER,EQ,618.05,627.0,618.25,-,624.65,622.8,20350,12673927.5,-,-,-, 
1996-01-03,HINDLEVER,EQ,624.65,623.5,618.0,-,620.95,620.5,5800,3598927.5,-,-,-, 
1996-01-04,HINDLEVER,EQ,620.0,623.0,619.0,-,621.0,620.37,11150,6917142.5,-,-,-, 
1996-01-05,HINDLEVER,EQ,621.0,624.0,615.0,-,620.0,620.31,3950,2450227.5,-,-,-, 
1996-01-08,HINDLEVER,EQ,620.0,621.5,615.25,-,620.25,619.8,10750,6662805.0,-,-,-, 
1996-01-09,HINDLEVER,EQ,620.25,625.0,618.0,-,622.6,620.68,11450,7106762.5,-,-,-, 
1996-01-10,HINDLEVER,EQ,622.6,628.0,620.05,-,627.05,625.44,11350,7098770.0,-,-,-, 
1996-01-11,HINDLEVER,EQ,627.05,628.0,620.05,-,624.0,623.59,6750,4209205.0,-,-,-, 
1996-01-12,HINDLEVER,EQ,624.0,628.0,624.0,-,624.35,625.43,5700,3564957.5,-,-,-, 
1996-01-15,HINDLEVER,EQ,624.35,626.0,624.0,-,624.0,624.53,1850,1155375.0,-,-,-, 
1996-01-16,HINDLEVER,EQ,624.0,627.0,623.0,-,626.35,624.74,6200,3873417.5,-,-,-, 
1996-01-17,HINDLEVER,EQ,626.35,631.0,624.0,-,629.25,629.2,13950,8777285.0,-,-,-, 
1996-01-18,HINDLEVER,EQ,629.25,631.0,624.0,-,630.0,627.74,10550,6622677.5,-,-,-, 
1996-01-19,HINDLEVER,EQ,630.0,644.2,627.55,-,636.8,638.82,34500,22039197.5,-,-,-, 
1996-01-22,HINDLEVER,EQ,636.8,637.0,631.25,-,635.6,634.09,6550,4153317.5,-,-,-, 
1996-01-23,HINDLEVER,EQ,635.6,641.0,635.0,-,636.5,636.69,10950,6971720.0,-,-,-, 
1996-01-24,HINDLEVER,EQ,636.5,635.0,628.0,-,633.4,632.72,8250,5219910.0,-,-,-, 
1996-01-25,HINDLEVER,EQ,633.4,635.0,616.0,-,633.0,630.03,13650,8599845.0,-,-,-, 
1996-01-29,HINDLEVER,EQ,633.0,641.5,625.0,-,638.75,635.33,16900,10737100.0,-,-,-, 
1996-01-30,HINDLEVER,EQ,638.75,645.0,637.5,-,643.4,640.8,4600,2947700.0,-,-,-, 
1996-01-31,HINDLEVER,EQ,643.4,644.0,640.0,-,642.95,641.74,8400,5390635.0,-,-,-, 
1996-02-01,HINDLEVER,EQ,642.95,648.0,641.0,-,647.95,647.15,21400,13849090.0,-,-,-, 
1996-02-02,HINDLEVER,EQ,647.95,699.0,648.0,-,659.65,659.19,9550,6295240.0,-,-,-, 
1996-02-05,HINDLEVER,EQ,659.65,694.5,663.0,-,679.8,676.49,21600,14612122.5,-,-,-, 
1996-02-06,HINDLEVER,EQ,679.8,680.0,650.0,-,669.15,670.07,14200,9514940.0,-,-,-, 
1996-02-07,HINDLEVER,EQ,669.15,672.0,625.0,-,670.65,668.32,9850,6582917.5,-,-,-, 
1996-02-08,HINDLEVER,EQ,670.65,693.0,671.0,-,686.0,680.47,16300,11091735.0,-,-,-, 
1996-02-09,HINDLEVER,EQ,686.0,688.0,672.5,-,682.45,681.11,11300,7696597.5,-,-,-, 
1996-02-12,HINDLEVER,EQ,682.45,703.0,675.0,-,698.5,695.84,22750,15830257.5,-,-,-, 
1996-02-13,HINDLEVER,EQ,698.5,715.0,678.9,-,709.4,702.74,21900,15390045.0,-,-,-, 
1996-02-14,HINDLEVER,EQ,709.4,725.0,701.0,-,706.0,710.99,9600,6825472.5,-,-,-, 
1996-02-15,HINDLEVER,EQ,706.0,718.0,701.3,-,714.1,710.08,14850,10544662.5,-,-,-, 
1996-02-16,HINDLEVER,EQ,714.1,711.0,703.0,-,705.0,707.75,17750,12562485.0,-,-,-, 
1996-02-19,HINDLEVER,EQ,705.0,715.0,696.0,-,710.85,706.52,16650,11763557.5,-,-,-, 
1996-02-20,HINDLEVER,EQ,710.85,711.4,702.1,-,705.1,706.01,13900,9813537.5,-,-,-, 
1996-02-22,HINDLEVER,EQ,705.1,720.0,702.25,-,717.25,712.66,11850,8445002.5,-,-,-, 
1996-02-23,HINDLEVER,EQ,717.25,721.0,712.5,-,719.4,718.1,18200,13069330.0,-,-,-, 
