Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1998-01-29,INDUSINDBK,EQ,47.05,47.05,42.35,-,42.35,43.27,106600,4612690.0,-,-,-, 
1998-01-30,INDUSINDBK,EQ,39.1,42.5,39.1,-,41.45,40.91,941600,38525085.0,-,-,-, 
1998-02-02,INDUSINDBK,EQ,41.1,42.0,40.15,-,40.35,41.04,399500,16393750.0,-,-,-, 
1998-02-03,INDUSINDBK,EQ,40.5,40.5,37.3,-,37.9,38.68,482800,18674770.0,-,-,-, 
1998-02-04,INDUSINDBK,EQ,39.05,39.75,38.2,-,38.3,38.99,270500,10546780.0,-,-,-, 
1998-02-05,INDUSINDBK,EQ,38.55,38.8,37.8,-,38.0,38.22,114300,4368135.0,-,-,-, 
1998-02-06,INDUSINDBK,EQ,38.1,38.2,36.6,-,36.8,37.06,218700,8104390.0,-,-,-, 
1998-02-09,INDUSINDBK,EQ,37.45,37.45,34.3,-,34.55,35.04,271100,9498735.0,-,-,-, 
1998-02-10,INDUSINDBK,EQ,35.0,37.5,33.0,-,33.15,33.69,371800,12527310.0,-,-,-, 
1998-02-11,INDUSINDBK,EQ,33.7,33.9,33.0,-,33.7,33.51,191000,6401070.0,-,-,-, 
1998-02-12,INDUSINDBK,EQ,33.9,35.75,33.85,-,34.55,34.82,305300,10629650.0,-,-,-, 
1998-02-13,INDUSINDBK,EQ,35.0,35.45,34.05,-,35.0,34.7,250400,8688805.0,-,-,-, 
1998-02-17,INDUSINDBK,EQ,35.4,35.4,33.5,-,33.9,34.24,301000,10307375.0,-,-,-, 
1998-02-18,INDUSINDBK,EQ,34.5,35.25,34.3,-,34.9,34.78,137700,4789700.0,-,-,-, 
1998-02-19,INDUSINDBK,EQ,34.9,35.05,34.75,-,34.95,34.95,60400,2110910.0,-,-,-, 
1998-02-20,INDUSINDBK,EQ,35.0,35.1,34.3,-,34.6,34.65,93600,3242970.0,-,-,-, 
1998-02-23,INDUSINDBK,EQ,34.7,34.9,34.5,-,34.7,34.65,72100,2497905.0,-,-,-, 
1998-02-24,INDUSINDBK,EQ,34.55,34.85,34.05,-,34.3,34.42,166000,5714055.0,-,-,-, 
1998-02-25,INDUSINDBK,EQ,34.5,35.25,31.05,-,34.85,33.53,289000,9689850.0,-,-,-, 
1998-02-26,INDUSINDBK,EQ,35.15,35.2,34.6,-,34.75,34.81,84500,2941140.0,-,-,-, 
1998-02-27,INDUSINDBK,EQ,34.95,35.2,31.55,-,34.95,33.11,179000,5926550.0,-,-,-, 
1998-03-02,INDUSINDBK,EQ,35.1,36.45,34.9,-,36.05,35.69,194400,6938690.0,-,-,-, 
1998-03-03,INDUSINDBK,EQ,39.5,39.5,33.7,-,33.85,37.0,373100,13804940.0,-,-,-, 
1998-03-04,INDUSINDBK,EQ,34.4,36.0,34.2,-,35.65,35.4,125400,4438875.0,-,-,-, 
1998-03-05,INDUSINDBK,EQ,35.45,35.95,35.15,-,35.25,35.61,54600,1944325.0,-,-,-, 
1998-03-06,INDUSINDBK,EQ,35.1,35.3,34.75,-,35.0,35.0,58400,2043950.0,-,-,-, 
1998-03-09,INDUSINDBK,EQ,35.55,35.55,34.65,-,34.75,34.94,62100,2169880.0,-,-,-, 
1998-03-10,INDUSINDBK,EQ,35.0,35.0,33.75,-,33.9,34.28,134500,4611260.0,-,-,-, 
1998-03-11,INDUSINDBK,EQ,34.8,35.0,34.3,-,34.45,34.65,49100,1701090.0,-,-,-, 
1998-03-12,INDUSINDBK,EQ,34.2,34.5,33.95,-,34.05,34.16,40800,1393865.0,-,-,-, 
1998-03-16,INDUSINDBK,EQ,34.3,35.0,30.75,-,34.05,32.27,155300,5011795.0,-,-,-, 
1998-03-17,INDUSINDBK,EQ,33.95,37.4,33.05,-,33.3,35.56,167200,5944830.0,-,-,-, 
1998-03-18,INDUSINDBK,EQ,33.6,34.45,33.5,-,34.05,34.03,120900,4114050.0,-,-,-, 
1998-03-19,INDUSINDBK,EQ,34.45,34.8,33.75,-,34.25,34.19,72100,2465345.0,-,-,-, 
1998-03-20,INDUSINDBK,EQ,33.75,34.1,33.6,-,33.7,33.79,40300,1361865.0,-,-,-, 
1998-03-23,INDUSINDBK,EQ,34.0,34.05,33.6,         33.75,33.75,33.8,16200,547555.0,-,-,-, 
1998-03-24,INDUSINDBK,EQ,34.1,34.1,32.6,         33.15,33.05,33.39,169700,5666030.0,-,-,-, 
1998-03-25,INDUSINDBK,EQ,33.9,34.95,33.5,         34.75,34.65,34.11,170100,5802155.0,-,-,-, 
1998-03-26,INDUSINDBK,EQ,34.75,35.0,33.7,         33.85,33.85,34.25,114000,3904395.0,-,-,-, 
1998-03-27,INDUSINDBK,EQ,33.85,34.15,33.4,         33.40,33.5,33.69,101800,3429675.0,-,-,-, 
1998-03-30,INDUSINDBK,EQ,33.85,33.85,32.55,         32.75,32.65,33.2,94100,3124220.0,-,-,-, 
1998-03-31,INDUSINDBK,EQ,32.55,33.5,31.0,         31.95,32.35,31.86,194300,6191145.0,-,-,-, 
1998-04-01,INDUSINDBK,EQ,34.0,34.0,32.35,         32.60,32.75,32.8,84600,2774665.0,-,-,-, 
1998-04-02,INDUSINDBK,EQ,33.8,33.95,32.5,         32.65,32.65,32.83,50100,1644710.0,-,-,-, 
1998-04-03,INDUSINDBK,EQ,33.4,33.95,32.0,         32.10,32.1,32.3,69700,2251230.0,-,-,-, 
1998-04-06,INDUSINDBK,EQ,32.9,33.45,31.5,         32.40,32.2,32.0,92900,2972900.0,-,-,-, 
1998-04-07,INDUSINDBK,EQ,32.5,32.9,31.85,         32.70,32.55,32.23,153400,4944455.0,-,-,-, 
1998-04-09,INDUSINDBK,EQ,33.05,35.85,32.25,         35.85,35.85,35.36,274900,9721285.0,-,-,-, 
1998-04-10,INDUSINDBK,EQ,36.5,37.25,35.0,         36.00,36.15,36.2,372300,13476980.0,-,-,-, 
1998-04-13,INDUSINDBK,EQ,37.0,39.25,35.0,         37.35,35.85,36.78,541100,19904120.0,-,-,-, 
1998-04-15,INDUSINDBK,EQ,39.25,39.45,39.25,         39.45,39.45,39.4,18900,744710.0,-,-,-, 
1998-04-16,INDUSINDBK,EQ,42.9,43.4,40.0,         40.45,40.3,41.64,609900,25396380.0,-,-,-, 
1998-04-17,INDUSINDBK,EQ,40.1,40.75,39.0,         40.45,40.25,39.87,292800,11675240.0,-,-,-, 
1998-04-20,INDUSINDBK,EQ,41.0,42.8,40.1,         41.20,41.45,41.87,539900,22603795.0,-,-,-, 
1998-04-21,INDUSINDBK,EQ,41.0,43.9,41.0,         43.70,43.25,42.39,505900,21447490.0,-,-,-, 
1998-04-22,INDUSINDBK,EQ,44.3,47.0,44.0,         44.00,44.2,45.33,662700,30038420.0,-,-,-, 
1998-04-23,INDUSINDBK,EQ,43.8,43.9,41.5,         41.60,42.0,42.86,288100,12347630.0,-,-,-, 
1998-04-24,INDUSINDBK,EQ,41.65,42.35,39.65,         41.00,41.2,40.94,279600,11448190.0,-,-,-, 
1998-04-27,INDUSINDBK,EQ,42.0,42.85,41.0,         41.45,41.2,41.89,203500,8525395.0,-,-,-, 
1998-04-28,INDUSINDBK,EQ,41.0,41.45,39.5,         40.90,40.15,40.19,303900,12213650.0,-,-,-, 
1998-04-29,INDUSINDBK,EQ,42.5,42.5,39.4,         39.90,39.75,40.9,327500,13394290.0,-,-,-, 
1998-04-30,INDUSINDBK,EQ,39.3,39.8,37.9,         39.75,39.45,38.72,159400,6171640.0,-,-,-, 
1998-05-04,INDUSINDBK,EQ,40.35,40.35,38.55,         39.40,39.15,39.39,99300,3911330.0,-,-,-, 
