Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,INFOSYSTCH,EQ,50.875,50.9875,50.625,-,50.9875,50.81,400,162590.0,-,-,-, 
1996-01-02,INFOSYSTCH,EQ,50.875,51.125,50.78125,-,50.78125,50.9475,400,163030.0,-,-,-, 
1996-01-03,INFOSYSTCH,EQ,51.125,51.125,51.125,-,51.125,51.125,200,81800.0,-,-,-, 
1996-01-04,INFOSYSTCH,EQ,50.625,50.875,50.625,-,50.7875,50.70625,600,243390.0,-,-,-, 
1996-01-05,INFOSYSTCH,EQ,50.1875,50.1875,50.1875,-,50.1875,50.1875,100,40150.0,-,-,-, 
1996-01-08,INFOSYSTCH,EQ,50.1875,50.625,50.25,-,50.5,50.5175,700,282900.0,-,-,-, 
1996-01-09,INFOSYSTCH,EQ,50.5,50.0,49.375,-,49.9375,49.94125,1700,679200.0,-,-,-, 
1996-01-10,INFOSYSTCH,EQ,49.9375,49.625,49.375,-,49.5,49.41125,700,276700.0,-,-,-, 
1996-01-11,INFOSYSTCH,EQ,49.875,50.625,49.5,-,50.625,50.055,1600,640700.0,-,-,-, 
1996-01-12,INFOSYSTCH,EQ,50.375,50.375,50.0,-,50.34375,50.16875,700,280945.0,-,-,-, 
1996-01-15,INFOSYSTCH,EQ,49.6875,50.25,49.6875,-,49.78125,49.8075,600,239075.0,-,-,-, 
1996-01-16,INFOSYSTCH,EQ,49.78125,50.0,45.625,-,50.0,49.09875,700,274950.0,-,-,-, 
1996-01-17,INFOSYSTCH,EQ,50.0,50.125,49.375,-,49.525,49.88125,1500,598575.0,-,-,-, 
1996-01-18,INFOSYSTCH,EQ,49.525,49.6875,49.25,-,49.6875,49.36125,400,157955.0,-,-,-, 
1996-01-19,INFOSYSTCH,EQ,49.375,49.375,49.15625,-,49.1875,49.28125,1000,394245.0,-,-,-, 
1996-01-22,INFOSYSTCH,EQ,49.375,49.6875,49.375,-,49.6875,49.45375,400,158250.0,-,-,-, 
1996-01-23,INFOSYSTCH,EQ,49.125,50.0,49.125,-,49.53125,49.59875,1300,515825.0,-,-,-, 
1996-01-24,INFOSYSTCH,EQ,49.53125,49.3125,48.1875,-,49.3125,48.80875,800,312375.0,-,-,-, 
1996-01-25,INFOSYSTCH,EQ,49.34375,49.34375,49.125,-,49.125,49.235,200,78775.0,-,-,-, 
1996-01-29,INFOSYSTCH,EQ,49.0,49.0,48.84375,-,48.84375,48.9225,200,78275.0,-,-,-, 
1996-01-30,INFOSYSTCH,EQ,48.84375,49.625,49.375,-,49.4375,49.435,2800,1107345.0,-,-,-, 
1996-01-31,INFOSYSTCH,EQ,49.4375,50.0,49.125,-,50.0,49.8275,900,358755.0,-,-,-, 
