Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-04-15,IOC,EQ,162.5,162.5,155.0,-,155.0,155.625,1200,747000.0,-,-,-, 
1996-04-17,IOC,EQ,155.0,155.0,155.0,-,155.0,155.0,100,62000.0,-,-,-, 
1996-04-18,IOC,EQ,155.0,162.5,155.0,-,155.0,158.0,400,252800.0,-,-,-, 
1996-04-19,IOC,EQ,155.0,155.0,155.0,-,155.0,155.0,200,124000.0,-,-,-, 
1996-04-22,IOC,EQ,155.0,155.0,155.0,-,155.0,155.0,200,124000.0,-,-,-, 
1996-04-25,IOC,EQ,155.0,160.0,160.0,-,160.0,160.0,100,64000.0,-,-,-, 
1996-04-26,IOC,EQ,160.0,162.5,160.0,-,162.5,161.25,200,129000.0,-,-,-, 
1996-04-29,IOC,EQ,162.5,178.75,162.5,-,178.75,173.7475,500,347495.0,-,-,-, 
1996-04-30,IOC,EQ,178.75,185.375,185.375,-,185.375,185.375,25000,18537500.0,-,-,-, 
1996-05-02,IOC,EQ,187.5,187.5,179.9875,-,179.9875,183.745,200,146995.0,-,-,-, 
1996-05-07,IOC,EQ,177.25,177.5,177.25,-,177.5,177.375,200,141900.0,-,-,-, 
1996-05-08,IOC,EQ,187.5,187.5,187.5,-,187.5,187.5,100,75000.0,-,-,-, 
1996-05-15,IOC,EQ,183.5,186.625,183.5,-,186.625,186.5625,5100,3805900.0,-,-,-, 
1996-05-16,IOC,EQ,185.0,185.0,180.0,-,180.0,183.3325,300,220000.0,-,-,-, 
1996-05-17,IOC,EQ,183.75,187.5,183.75,-,187.5,184.09,1100,810000.0,-,-,-, 
1996-05-22,IOC,EQ,187.5,187.5,186.25,-,186.25,187.2925,600,449500.0,-,-,-, 
1996-05-23,IOC,EQ,187.5,187.5,187.5,-,187.5,187.5,10000,7500000.0,-,-,-, 
1996-05-24,IOC,EQ,187.5,187.5,187.5,-,187.5,187.5,15000,11250000.0,-,-,-, 
1996-05-27,IOC,EQ,182.5,182.5,182.5,-,182.5,182.5,500,365000.0,-,-,-, 
1996-05-28,IOC,EQ,187.5,187.5,185.0,-,185.0,186.25,200,149000.0,-,-,-, 
1996-05-29,IOC,EQ,185.0,192.5,185.0,-,192.5,186.64,1600,1194500.0,-,-,-, 
1996-06-03,IOC,EQ,192.5,190.25,190.0,-,190.0,190.1675,300,228200.0,-,-,-, 
1996-06-04,IOC,EQ,191.25,206.25,190.0,-,204.375,196.0,500,392000.0,-,-,-, 
1996-06-05,IOC,EQ,193.75,193.75,190.25,-,190.25,192.35,500,384700.0,-,-,-, 
1996-06-06,IOC,EQ,187.625,187.625,185.0,-,185.7375,186.63,2300,1717000.0,-,-,-, 
1996-06-07,IOC,EQ,187.5,187.5,187.5,-,187.5,187.5,100,75000.0,-,-,-, 
1996-06-10,IOC,EQ,186.25,186.25,185.0,-,185.0,185.625,200,148500.0,-,-,-, 
1996-06-11,IOC,EQ,177.5,177.5,177.5,-,177.5,177.5,100,71000.0,-,-,-, 
1996-06-12,IOC,EQ,192.5,192.5,192.5,-,192.5,192.5,100,77000.0,-,-,-, 
1996-06-17,IOC,EQ,192.5,192.5,192.5,-,192.5,192.5,100,77000.0,-,-,-, 
1996-06-19,IOC,EQ,187.5,187.5,187.5,-,187.5,187.5,100,75000.0,-,-,-, 
1996-06-20,IOC,EQ,186.25,186.25,186.25,-,186.25,186.25,100,74500.0,-,-,-, 
1996-06-25,IOC,EQ,190.0,190.0,190.0,-,190.0,190.0,100,76000.0,-,-,-, 
1996-06-26,IOC,EQ,182.5,185.0,182.5,-,185.0,184.1675,300,221000.0,-,-,-, 
1996-06-27,IOC,EQ,187.5,187.5,187.5,-,187.5,187.5,100,75000.0,-,-,-, 
1996-07-01,IOC,EQ,198.0,198.0,198.0,-,198.0,198.0,3000,2376000.0,-,-,-, 
1996-07-02,IOC,EQ,182.5125,190.0,182.5125,-,190.0,186.2575,200,149005.0,-,-,-, 
1996-07-03,IOC,EQ,190.0,192.5,190.0,-,191.25,191.0,500,382000.0,-,-,-, 
1996-07-04,IOC,EQ,187.5,187.75,187.5,-,187.675,187.6675,300,225200.0,-,-,-, 
1996-07-08,IOC,EQ,191.25,191.25,188.75,-,188.75,189.1675,600,454000.0,-,-,-, 
1996-07-09,IOC,EQ,186.25,186.25,185.0,-,185.0,185.4575,300,222550.0,-,-,-, 
1996-07-10,IOC,EQ,185.0,185.0,185.0,-,185.0,185.0,100,74000.0,-,-,-, 
1996-07-15,IOC,EQ,182.5,182.5,182.5,-,182.5,182.5,100,73000.0,-,-,-, 
1996-07-16,IOC,EQ,182.5,182.5,181.25,-,181.25,181.875,200,145500.0,-,-,-, 
1996-07-23,IOC,EQ,163.25,163.25,163.25,-,163.25,163.25,100,65300.0,-,-,-, 
1996-07-24,IOC,EQ,174.75,174.75,174.75,-,174.75,174.75,100,69900.0,-,-,-, 
1996-08-02,IOC,EQ,187.5,187.5,187.5,-,187.5,187.5,100,75000.0,-,-,-, 
1996-08-09,IOC,EQ,199.75,199.75,199.75,-,199.75,199.75,100,79900.0,-,-,-, 
1996-08-12,IOC,EQ,193.75,193.75,187.5,-,187.5,190.625,200,152500.0,-,-,-, 
1996-08-13,IOC,EQ,195.0,197.4875,195.0,-,196.25,196.245,200,156995.0,-,-,-, 
1996-08-14,IOC,EQ,192.75,192.75,192.75,-,192.75,192.75,100,77100.0,-,-,-, 
1996-08-16,IOC,EQ,190.0,190.0,190.0,-,190.0,190.0,200,152000.0,-,-,-, 
1996-08-19,IOC,EQ,187.5,187.5,187.5,-,187.5,187.5,100,75000.0,-,-,-, 
1996-09-04,IOC,EQ,173.75,173.75,173.75,-,173.75,173.75,100,69500.0,-,-,-, 
1996-09-09,IOC,EQ,175.0,175.0,175.0,-,175.0,175.0,100,70000.0,-,-,-, 
1996-09-10,IOC,EQ,175.0,187.25,175.0,-,187.25,181.125,200,144900.0,-,-,-, 
1996-09-11,IOC,EQ,177.5,177.5,177.5,-,177.5,177.5,100,71000.0,-,-,-, 
1996-09-17,IOC,EQ,175.0,175.0,175.0,-,175.0,175.0,100,70000.0,-,-,-, 
1996-09-26,IOC,EQ,175.0,184.0,165.5125,-,165.5125,177.6525,500,355305.0,-,-,-, 
1996-09-27,IOC,EQ,156.5,156.5,156.5,-,156.5,156.5,100,62600.0,-,-,-, 
1996-09-30,IOC,EQ,163.75,163.75,163.75,-,163.75,163.75,100,65500.0,-,-,-, 
1996-10-01,IOC,EQ,167.5,167.5,153.75,-,153.75,159.1675,300,191000.0,-,-,-, 
1996-10-03,IOC,EQ,162.5,162.5,162.5,-,162.5,162.5,100,65000.0,-,-,-, 
1996-10-04,IOC,EQ,170.0,170.0,153.75,-,155.0875,158.8125,400,254100.0,-,-,-, 
1996-10-10,IOC,EQ,161.25,161.25,161.25,-,161.25,161.25,100,64500.0,-,-,-, 
1996-10-15,IOC,EQ,172.5,172.5,150.0,-,150.0,161.25,200,129000.0,-,-,-, 
1996-10-29,IOC,EQ,140.25,160.0,140.0,-,140.0,147.125,600,353100.0,-,-,-, 
