Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2005-03-23,JSWSTL,EQ,45.5,45.85,38.36,38.69,39.015,41.986000000000004,2087710,876537542.75,-,382057,18.3, 
2005-03-24,JSWSTL,EQ,39.285000000000004,39.85,35.75,37.18,36.92,37.201,1226479,456263750.6,-,232172,18.93, 
2005-03-28,JSWSTL,EQ,37.67,39.405,37.5,38.0,37.885000000000005,38.364,1235794,474104797.45,-,263415,21.32, 
2005-03-29,JSWSTL,EQ,38.29,38.38,36.325,36.910000000000004,36.805,37.525999999999996,624072,234191486.8,-,198916,31.87, 
2005-03-30,JSWSTL,EQ,36.7,37.19,36.005,36.269999999999996,36.214999999999996,36.513,466349,170277530.15,-,159641,34.23, 
2005-03-31,JSWSTL,EQ,36.6,37.5,35.665,36.29,36.25,36.446,1203015,438448693.35,-,249796,20.76, 
2005-04-01,JSWSTL,EQ,36.6,39.65,36.14,39.1,39.155,38.483999999999995,1056290,406502735.2,-,189696,17.96, 
2005-04-04,JSWSTL,EQ,39.3,39.4,37.21,37.269999999999996,37.364999999999995,38.222,359643,137462889.45,-,127320,35.4, 
2005-04-05,JSWSTL,EQ,37.589999999999996,37.79,36.4,36.7,36.575,37.004000000000005,279815,103543603.05,-,79782,28.51, 
2005-04-06,JSWSTL,EQ,36.7,37.589999999999996,36.7,37.22,37.19,37.260000000000005,292625,109030628.3,-,91277,31.19, 
2005-04-07,JSWSTL,EQ,37.739999999999995,37.9,36.62,36.769999999999996,36.78,37.188,189476,70463127.75,-,71582,37.78, 
2005-04-08,JSWSTL,EQ,37.25,37.25,36.025,36.105000000000004,36.21,36.464999999999996,176133,64227231.6,-,81805,46.45, 
2005-04-11,JSWSTL,EQ,36.15,36.5,35.7,36.28,36.17,36.102,243663,87966862.3,-,74555,30.6, 
2005-04-12,JSWSTL,EQ,36.17,37.0,36.015,36.975,36.89,36.507,198808,72579689.45,-,86260,43.39, 
2005-04-13,JSWSTL,EQ,37.3,37.45,36.21,36.81,36.635000000000005,36.788,230785,84901090.85,-,107692,46.66, 
2005-04-15,JSWSTL,EQ,36.305,36.5,35.1,35.15,35.42,35.809,166222,59521942.15,-,73198,44.04, 
2005-04-18,JSWSTL,EQ,34.5,36.17,34.5,35.65,35.835,35.589,729193,259514387.2,-,195699,26.84, 
2005-04-19,JSWSTL,EQ,36.1,36.85,34.2,34.3,34.675,35.985,389801,140270823.95,-,115771,29.7, 
2005-04-20,JSWSTL,EQ,35.0,35.68,34.6,35.65,35.57,35.269999999999996,315994,111449601.0,-,100580,31.83, 
2005-04-21,JSWSTL,EQ,35.69,36.375,35.1,36.3,36.11,35.693,254042,90676124.15,-,87563,34.47, 
2005-04-22,JSWSTL,EQ,36.5,36.6,35.55,35.75,35.82,35.88,144685,51912407.35,-,41548,28.72, 
2005-04-25,JSWSTL,EQ,35.9,36.0,34.95,35.05,35.085,35.337,125042,44185904.45,-,46516,37.2, 
2005-04-26,JSWSTL,EQ,35.29,35.339999999999996,34.25,34.3,34.485,34.824,176861,61590089.35,-,80667,45.61, 
2005-04-27,JSWSTL,EQ,34.5,34.7,33.015,33.245,33.31,33.872,154354,52283196.7,-,58232,37.73, 
2005-04-28,JSWSTL,EQ,33.5,33.675,32.44,32.614999999999995,32.765,32.864999999999995,252313,82921466.1,-,140524,55.69, 
2005-04-29,JSWSTL,EQ,32.765,32.8,31.25,31.47,31.564999999999998,32.068,217807,69846771.6,-,99081,45.49, 
2005-05-02,JSWSTL,EQ,31.794999999999998,31.994999999999997,30.339999999999996,30.95,31.085,31.182,339504,105865295.25,-,158507,46.69, 
