Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,KOTAKMAH,EQ,29.85,29.75,29.125,-,29.2875,29.5625,2900,342930.0,-,-,-, 
1996-01-02,KOTAKMAH,EQ,29.2875,29.1875,28.75,-,28.95,28.9675,10000,1158715.0,-,-,-, 
1996-01-03,KOTAKMAH,EQ,28.75,29.75,28.75,-,28.9375,29.14,3700,431280.0,-,-,-, 
1996-01-04,KOTAKMAH,EQ,28.625,28.625,28.0625,-,28.4375,28.3225,3900,441815.0,-,-,-, 
1996-01-05,KOTAKMAH,EQ,28.4375,28.25,27.0,-,27.0,27.5975,4500,496765.0,-,-,-, 
1996-01-08,KOTAKMAH,EQ,27.0,26.725,25.75,-,26.4125,26.3425,8200,864005.0,-,-,-, 
1996-01-09,KOTAKMAH,EQ,26.4125,26.5375,25.8875,-,26.2375,26.24,6200,650750.0,-,-,-, 
1996-01-10,KOTAKMAH,EQ,26.2375,26.25,25.0,-,25.0375,25.2125,28800,2904550.0,-,-,-, 
1996-01-11,KOTAKMAH,EQ,25.0375,25.4625,24.95,-,25.3125,25.2175,12500,1260815.0,-,-,-, 
1996-01-12,KOTAKMAH,EQ,25.3125,25.2625,25.0,-,25.125,25.19,8600,866530.0,-,-,-, 
1996-01-15,KOTAKMAH,EQ,25.125,25.375,25.025,-,25.25,25.22,2900,292565.0,-,-,-, 
1996-01-16,KOTAKMAH,EQ,25.25,25.2375,25.0,-,25.05,25.085,8500,852880.0,-,-,-, 
1996-01-17,KOTAKMAH,EQ,25.5,25.5,25.025,-,25.175,25.3175,4400,445600.0,-,-,-, 
1996-01-18,KOTAKMAH,EQ,25.175,25.25,23.75,-,24.05,24.415,7700,751970.0,-,-,-, 
1996-01-19,KOTAKMAH,EQ,24.05,23.725,23.025,-,23.35,23.325,5100,475840.0,-,-,-, 
