Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2010-01-08,NESTLEIND,EQ,2555.0,2575.0,2475.2,2476.0,2494.65,2529.81,648,1639316.3,-,438,67.59, 
2010-01-11,NESTLEIND,EQ,2401.0,2515.0,2400.0,2500.0,2498.95,2494.44,825,2057909.05,-,638,77.33, 
2010-01-12,NESTLEIND,EQ,2540.0,2540.0,2471.35,2505.0,2502.85,2485.22,68346,169854940.95,-,67695,99.05, 
2010-01-13,NESTLEIND,EQ,2502.85,2540.0,2480.0,2489.8,2489.35,2491.94,1032,2571682.4,-,718,69.57, 
2010-01-14,NESTLEIND,EQ,2535.0,2595.0,2470.0,2560.0,2568.2,2510.27,330361,829295643.05,-,329193,99.65, 
2010-01-15,NESTLEIND,EQ,2580.0,2580.0,2500.05,2524.8,2513.5,2548.35,8229,20970372.85,-,7303,88.75, 
2010-01-18,NESTLEIND,EQ,2574.0,2574.0,2514.0,2542.05,2536.15,2534.76,883,2238188.9,-,689,78.03, 
2010-01-19,NESTLEIND,EQ,2567.0,2570.0,2531.0,2550.0,2556.1,2558.84,688,1760481.6,-,432,62.79, 
2010-01-20,NESTLEIND,EQ,2550.0,2575.0,2540.0,2541.0,2542.5,2552.32,641,1636038.5,-,549,85.65, 
2010-01-21,NESTLEIND,EQ,2539.9,2569.0,2499.9,2512.05,2526.2,2538.36,831,2109380.15,-,623,74.97, 
2010-01-22,NESTLEIND,EQ,2500.0,2530.0,2478.0,2530.0,2529.0,2516.42,681,1713680.4,-,357,52.42, 
2010-01-25,NESTLEIND,EQ,2665.35,2665.35,2510.0,2520.0,2522.25,2528.68,1955,4943576.7,-,846,43.27, 
2010-01-27,NESTLEIND,EQ,2570.0,2574.9,2498.6,2535.15,2566.9,2547.51,5302,13506872.55,-,3898,73.52, 
2010-01-28,NESTLEIND,EQ,2568.0,2610.0,2535.5,2575.0,2586.85,2570.33,1048,2693702.0,-,750,71.56, 
2010-01-29,NESTLEIND,EQ,2526.0,2580.0,2526.0,2533.0,2533.0,2556.08,787,2011634.0,-,474,60.23, 
2010-02-01,NESTLEIND,EQ,2599.95,2599.95,2515.1,2532.2,2532.2,2546.42,614,1563502.7,-,354,57.65, 
2010-02-02,NESTLEIND,EQ,2599.1,2599.1,2540.0,2540.0,2560.1,2565.58,831,2131995.9,-,607,73.04, 
2010-02-03,NESTLEIND,EQ,2588.0,2600.0,2556.0,2560.0,2564.6,2579.62,8681,22393700.5,-,8457,97.42, 
2010-02-04,NESTLEIND,EQ,2548.0,2583.8,2548.0,2582.0,2568.35,2566.97,442,1134602.0,-,362,81.9, 
2010-02-05,NESTLEIND,EQ,2582.0,2582.0,2442.0,2541.0,2549.1,2543.23,1651,4198864.85,-,1017,61.6, 
2010-02-06,NESTLEIND,EQ,2455.0,2572.9,2455.0,2572.9,2566.4,2538.32,33,83764.45,-,32,96.97, 
2010-02-08,NESTLEIND,EQ,2570.0,2672.0,2570.0,2671.95,2645.5,2642.09,8181,21614899.85,-,5288,64.64, 
2010-02-09,NESTLEIND,EQ,2600.1,2824.0,2600.1,2805.0,2792.6,2743.1,8861,24306575.15,-,4089,46.15, 
2010-02-10,NESTLEIND,EQ,2802.0,3244.0,2738.6,2740.0,2750.2,2797.05,44699,125025528.75,-,28613,64.01, 
2010-02-11,NESTLEIND,EQ,2819.0,2819.0,2726.1,2737.0,2737.25,2764.79,31881,88144293.15,-,28543,89.53, 
2010-02-15,NESTLEIND,EQ,2815.0,2815.0,2614.0,2720.0,2719.25,2722.1,4504,12260329.2,-,2417,53.66, 
2010-02-16,NESTLEIND,EQ,2792.0,2814.7,2697.05,2701.0,2701.85,2717.01,6120,16628102.3,-,5057,82.63, 
2010-02-17,NESTLEIND,EQ,2705.15,2743.0,2681.4,2685.0,2688.75,2709.8,9981,27046473.4,-,9134,91.51, 
2010-02-18,NESTLEIND,EQ,2688.75,2710.0,2645.0,2650.0,2651.5,2670.95,2203,5884105.85,-,1274,57.83, 
2010-02-19,NESTLEIND,EQ,2650.0,2685.0,2628.0,2640.0,2640.15,2644.35,7495,19819381.4,-,5899,78.71, 
2010-02-22,NESTLEIND,EQ,2625.05,2649.0,2560.0,2560.0,2584.9,2594.12,14820,38444874.6,-,7912,53.39, 
2010-02-23,NESTLEIND,EQ,2570.0,2590.0,2551.0,2551.0,2552.2,2565.98,3070,7877556.4,-,1834,59.74, 
2010-02-24,NESTLEIND,EQ,2550.0,2590.0,2540.0,2567.0,2574.7,2551.35,9918,25304261.65,-,9045,91.2, 
2010-02-25,NESTLEIND,EQ,2580.0,2600.0,2552.1,2553.1,2559.6,2562.04,4264,10924537.6,-,3601,84.45, 
2010-02-26,NESTLEIND,EQ,2526.1,2650.0,2526.1,2620.15,2626.9,2615.12,4239,11085474.85,-,3115,73.48, 
2010-03-02,NESTLEIND,EQ,2620.0,2645.0,2600.0,2625.0,2625.45,2617.48,3343,8750252.25,-,1940,58.03, 
2010-03-03,NESTLEIND,EQ,2630.0,2640.0,2604.65,2628.0,2629.15,2622.46,2339,6133929.8,-,1364,58.32, 
2010-03-04,NESTLEIND,EQ,2610.0,2650.0,2610.0,2630.5,2634.0,2627.03,4796,12599223.3,-,3160,65.89, 
2010-03-05,NESTLEIND,EQ,2670.0,2719.8,2670.0,2677.0,2701.15,2701.91,14392,38885890.55,-,11001,76.44, 
2010-03-08,NESTLEIND,EQ,2730.0,2750.0,2692.25,2750.0,2725.95,2711.8,9767,26486165.75,-,6920,70.85, 
2010-03-09,NESTLEIND,EQ,2700.0,2751.0,2700.0,2730.25,2745.2,2724.87,4212,11477157.4,-,3191,75.76, 
2010-03-10,NESTLEIND,EQ,2721.0,2765.0,2721.0,2721.0,2739.95,2737.21,8386,22954229.4,-,7374,87.93, 
2010-03-11,NESTLEIND,EQ,2725.0,2740.0,2695.0,2710.0,2732.75,2732.98,27712,75736312.4,-,26611,96.03, 
