Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,RELIANCE,EQ,102.5,103.05,101.825,-,102.875,102.63,3717450,763051385.0,-,-,-, 
1996-01-02,RELIANCE,EQ,102.625,103.125,101.325,-,102.075,102.065,6024650,1229789050.0,-,-,-, 
1996-01-03,RELIANCE,EQ,103.75,108.475,102.625,-,102.85,103.52,7473500,1547314112.5,-,-,-, 
1996-01-04,RELIANCE,EQ,101.875,102.2,100.525,-,101.9,101.235,7744000,1567965147.5,-,-,-, 
1996-01-05,RELIANCE,EQ,101.5,101.5,100.325,-,101.2,101.025,5952000,1202586930.0,-,-,-, 
1996-01-08,RELIANCE,EQ,101.0,101.075,96.15,-,97.15,98.785,6675550,1318917332.5,-,-,-, 
1996-01-09,RELIANCE,EQ,94.275,96.0,91.125,-,94.35,93.075,13880150,2583825650.0,-,-,-, 
1996-01-10,RELIANCE,EQ,92.5,94.725,91.5,-,91.925,93.12,9875700,1839211260.0,-,-,-, 
1996-01-11,RELIANCE,EQ,91.0,95.25,90.875,-,94.8,92.91,14625600,2717699785.0,-,-,-, 
1996-01-12,RELIANCE,EQ,95.5,96.225,93.175,-,93.8,94.475,13377500,2527687797.5,-,-,-, 
1996-01-15,RELIANCE,EQ,93.525,94.0,92.3,-,92.825,93.075,7139950,1329107210.0,-,-,-, 
1996-01-16,RELIANCE,EQ,92.5,93.5,92.2,-,93.0,92.855,7756400,1440469427.5,-,-,-, 
1996-01-17,RELIANCE,EQ,92.5,92.625,88.525,-,89.3,90.83,10697700,1943389212.5,-,-,-, 
1996-01-18,RELIANCE,EQ,87.025,88.45,85.9,-,86.825,87.21,13478000,2350867350.0,-,-,-, 
1996-01-19,RELIANCE,EQ,85.625,86.7,84.725,-,85.3,85.615,11586900,1984009035.0,-,-,-, 
1996-01-22,RELIANCE,EQ,85.575,87.875,85.5,-,86.75,86.9,12089550,2101198200.0,-,-,-, 
1996-01-23,RELIANCE,EQ,87.05,87.425,78.5,-,83.075,85.34,12671700,2162749772.5,-,-,-, 
1996-01-24,RELIANCE,EQ,82.35,82.85,79.0,-,80.225,80.695,12538400,2023549142.5,-,-,-, 
1996-01-25,RELIANCE,EQ,80.05,80.4,76.375,-,76.85,78.555,12883650,2024194445.0,-,-,-, 
1996-01-29,RELIANCE,EQ,76.5,83.625,76.025,-,82.9,80.32,23310600,3744571125.0,-,-,-, 
1996-01-30,RELIANCE,EQ,85.5,94.5,84.25,-,90.35,87.38,37914350,6625773492.5,-,-,-, 
1996-01-31,RELIANCE,EQ,89.5,92.875,86.125,-,88.375,89.715,26118950,4686564327.5,-,-,-, 
1996-02-01,RELIANCE,EQ,87.5,92.5,87.25,-,91.925,90.105,22865050,4120529187.5,-,-,-, 
1996-02-02,RELIANCE,EQ,94.375,103.0,94.375,-,101.9,98.225,29231000,5742382745.0,-,-,-, 
1996-02-05,RELIANCE,EQ,107.5,112.6,104.275,-,110.375,108.21,43646350,9446066230.0,-,-,-, 
1996-02-06,RELIANCE,EQ,113.025,115.0,98.8,-,101.125,109.02,44354450,9671052220.0,-,-,-, 
1996-02-07,RELIANCE,EQ,95.525,104.0,94.525,-,103.0,100.645,31970000,6435102055.0,-,-,-, 
1996-02-08,RELIANCE,EQ,104.05,113.825,103.0,-,112.0,107.06,29335550,6281309897.5,-,-,-, 
1996-02-09,RELIANCE,EQ,116.0,121.0,112.05,-,118.5,116.745,35504550,8289983260.0,-,-,-, 
1996-02-12,RELIANCE,EQ,115.5,117.5,109.5,-,111.075,114.01,34689050,7909962900.0,-,-,-, 
1996-02-13,RELIANCE,EQ,110.0,122.075,109.05,-,117.75,112.815,36382650,8209110927.5,-,-,-, 
1996-02-14,RELIANCE,EQ,120.75,122.475,116.925,-,117.825,119.26,22223700,5300804132.5,-,-,-, 
1996-02-15,RELIANCE,EQ,115.0,118.75,114.0,-,115.95,116.525,24961300,5817302557.5,-,-,-, 
1996-02-16,RELIANCE,EQ,114.0,115.125,113.025,-,113.9,114.05,17696100,4036456347.5,-,-,-, 
1996-02-19,RELIANCE,EQ,116.0,117.6,114.375,-,115.05,116.095,18502450,4296148217.5,-,-,-, 
1996-02-20,RELIANCE,EQ,115.0,115.475,107.5,-,108.975,111.85,22818950,5104546537.5,-,-,-, 
1996-02-22,RELIANCE,EQ,111.5,115.5,110.525,-,114.725,113.375,21905900,4967240537.5,-,-,-, 
1996-02-23,RELIANCE,EQ,114.5,114.75,111.6,-,113.5,113.145,19497250,4412076430.0,-,-,-, 
1996-02-26,RELIANCE,EQ,114.75,117.125,113.025,-,113.75,115.36,19456750,4488993165.0,-,-,-, 
1996-02-27,RELIANCE,EQ,114.4,115.0,110.525,-,112.45,112.585,19368600,4361255760.0,-,-,-, 
1996-02-28,RELIANCE,EQ,114.625,115.9,112.75,-,113.0,114.335,15274700,3492831485.0,-,-,-, 
1996-02-29,RELIANCE,EQ,112.0,112.4,105.25,-,105.925,108.595,24917100,5411708747.5,-,-,-, 
1996-03-01,RELIANCE,EQ,106.75,108.1,104.275,-,106.525,106.305,25819450,5489540970.0,-,-,-, 
1996-03-04,RELIANCE,EQ,107.0,107.5,104.2,-,105.425,105.81,24042700,5087974357.5,-,-,-, 
1996-03-06,RELIANCE,EQ,107.25,109.9,106.3,-,109.175,107.965,19417300,4192843737.5,-,-,-, 
