Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2017-10-03,SBILIFE,EQ,735.0,740.0,701.7,713.3,707.55,725.24,35367877,25650324677.1,920703,19511140,55.17, 
2017-10-04,SBILIFE,EQ,710.15,710.75,699.0,702.05,703.65,704.44,3613280,2545355624.35,166791,2241249,62.03, 
2017-10-05,SBILIFE,EQ,704.55,704.55,686.1,695.0,694.55,693.13,2680742,1858094198.6,108948,1783332,66.52, 
2017-10-06,SBILIFE,EQ,693.9,702.0,689.0,694.1,696.75,695.26,1416485,984831093.15,56442,929120,65.59, 
2017-10-09,SBILIFE,EQ,694.1,702.5,694.1,695.5,698.65,699.78,951473,665822635.3,45968,734820,77.23, 
2017-10-10,SBILIFE,EQ,698.35,701.2,695.55,697.5,700.0,699.76,555002,388369756.95,41515,452804,81.59, 
2017-10-11,SBILIFE,EQ,700.0,703.0,686.0,689.0,689.9,697.67,1077409,751672800.35,35472,878466,81.54, 
2017-10-12,SBILIFE,EQ,691.1,694.0,685.0,685.0,687.7,689.08,439314,302723205.1,21618,313480,71.36, 
2017-10-13,SBILIFE,EQ,688.95,695.05,680.0,691.25,689.7,687.06,1344510,923764485.05,41549,1040884,77.42, 
2017-10-16,SBILIFE,EQ,686.0,689.45,669.0,669.75,670.1,673.54,971834,654564436.9,65404,762062,78.41, 
2017-10-17,SBILIFE,EQ,670.5,674.0,669.0,671.25,673.05,670.86,664335,445674199.55,60160,545568,82.12, 
2017-10-18,SBILIFE,EQ,671.0,672.85,664.15,668.0,668.4,667.84,415712,277629647.75,42451,298766,71.87, 
2017-10-19,SBILIFE,EQ,666.1,678.25,666.1,674.0,675.1,674.19,93358,62940792.7,3339,74238,79.52, 
2017-10-23,SBILIFE,EQ,670.0,673.8,665.0,665.1,665.8,668.88,292330,195534117.55,23506,221649,75.82, 
2017-10-24,SBILIFE,EQ,663.8,671.45,663.0,670.0,665.85,667.83,350373,233990935.95,31547,266286,76.0, 
2017-10-25,SBILIFE,EQ,667.0,673.45,658.1,668.05,669.9,664.38,583868,387912917.55,27392,494506,84.69, 
2017-10-26,SBILIFE,EQ,669.9,669.9,660.5,665.0,666.85,664.45,242175,160913995.3,18428,184159,76.04, 
2017-10-27,SBILIFE,EQ,663.2,666.05,659.0,663.0,662.2,662.06,396395,262436754.25,20201,323434,81.59, 
2017-10-30,SBILIFE,EQ,665.0,665.0,649.9,655.8,655.0,654.39,1164020,761719173.8,92771,990031,85.05, 
2017-10-31,SBILIFE,EQ,655.8,669.0,655.8,656.85,662.1,664.54,1402840,932236614.3,47194,983276,70.09, 
2017-11-01,SBILIFE,EQ,664.0,664.85,642.25,644.0,647.05,652.96,859011,560898604.6,25321,773504,90.05, 
2017-11-02,SBILIFE,EQ,647.05,653.6,641.2,643.5,642.75,645.14,574130,370396385.75,17527,489045,85.18, 
2017-11-03,SBILIFE,EQ,643.05,653.5,641.1,643.0,642.25,643.34,672547,432675212.25,21356,560608,83.36, 
2017-11-06,SBILIFE,EQ,642.65,659.9,642.65,655.0,656.75,654.78,483071,316306636.2,25562,374042,77.43, 
2017-11-07,SBILIFE,EQ,659.0,659.0,639.55,642.0,642.35,652.08,763293,497729123.4,26717,673079,88.18, 
2017-11-08,SBILIFE,EQ,649.0,649.0,629.0,632.0,631.6,636.27,843603,536758284.65,27087,669648,79.38, 
2017-11-09,SBILIFE,EQ,633.0,670.4,633.0,658.6,657.95,648.68,356798,231448358.4,20821,249771,70.0, 
2017-11-10,SBILIFE,EQ,655.1,679.2,655.1,674.4,676.55,673.48,784443,528304784.7,36201,572490,72.98, 
2017-11-13,SBILIFE,EQ,665.0,680.8,663.0,664.7,665.0,670.2,192279,128864479.8,9837,147168,76.54, 
2017-11-14,SBILIFE,EQ,655.2,667.75,654.0,659.55,660.0,657.34,350594,230458399.2,8260,315044,89.86, 
2017-11-15,SBILIFE,EQ,650.1,660.05,644.4,648.5,649.35,649.47,269314,174911716.45,12835,204625,75.98, 
