Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,SHREECEM,EQ,54.5,56.0,54.0,-,55.5,55.53,1550,86075.0,-,-,-, 
1996-01-02,SHREECEM,EQ,55.5,56.0,54.25,-,55.75,55.14,3850,212302.5,-,-,-, 
1996-01-03,SHREECEM,EQ,55.75,55.0,55.0,-,55.0,55.0,300,16500.0,-,-,-, 
1996-01-04,SHREECEM,EQ,55.0,54.0,53.05,-,54.0,53.6,600,32162.5,-,-,-, 
1996-01-05,SHREECEM,EQ,54.0,54.0,53.0,-,54.0,53.74,4200,225720.0,-,-,-, 
1996-01-08,SHREECEM,EQ,54.0,54.0,52.0,-,53.25,53.18,3100,164855.0,-,-,-, 
1996-01-09,SHREECEM,EQ,53.25,53.0,52.95,-,53.0,52.99,1100,58292.5,-,-,-, 
1996-01-11,SHREECEM,EQ,53.0,53.5,52.5,-,53.5,53.21,450,23942.5,-,-,-, 
1996-01-12,SHREECEM,EQ,52.25,53.5,52.25,-,53.5,53.39,2250,120137.5,-,-,-, 
1996-01-15,SHREECEM,EQ,52.5,53.5,52.5,-,52.75,53.01,1250,66262.5,-,-,-, 
1996-01-16,SHREECEM,EQ,52.0,52.5,51.05,-,51.35,51.86,1700,88170.0,-,-,-, 
1996-01-17,SHREECEM,EQ,51.0,51.5,51.0,-,51.25,51.25,4100,210145.0,-,-,-, 
1996-01-18,SHREECEM,EQ,50.05,50.05,49.5,-,49.5,49.79,2000,99575.0,-,-,-, 
1996-01-19,SHREECEM,EQ,49.5,49.5,48.0,-,48.25,48.36,350,16925.0,-,-,-, 
1996-01-22,SHREECEM,EQ,48.5,48.5,48.0,-,48.0,48.24,1550,74770.0,-,-,-, 
1996-01-23,SHREECEM,EQ,48.0,47.0,43.0,-,43.0,45.18,700,31625.0,-,-,-, 
1996-01-24,SHREECEM,EQ,45.1,46.95,45.0,-,46.95,45.8,1400,64115.0,-,-,-, 
1996-01-25,SHREECEM,EQ,46.95,45.05,44.0,-,45.05,44.85,550,24667.5,-,-,-, 
1996-01-29,SHREECEM,EQ,45.05,46.0,45.05,-,46.0,45.95,2300,105695.0,-,-,-, 
1996-01-30,SHREECEM,EQ,47.95,47.95,47.25,-,47.5,47.53,3150,149712.5,-,-,-, 
1996-01-31,SHREECEM,EQ,47.5,48.25,47.5,-,47.75,47.91,1300,62287.5,-,-,-, 
1996-02-01,SHREECEM,EQ,47.75,50.0,47.0,-,50.0,49.15,5800,285095.0,-,-,-, 
1996-02-02,SHREECEM,EQ,50.0,55.0,49.5,-,53.5,53.75,9550,513310.0,-,-,-, 
1996-02-05,SHREECEM,EQ,53.5,56.0,52.5,-,54.0,54.56,6950,379222.5,-,-,-, 
1996-02-06,SHREECEM,EQ,54.0,55.25,53.5,-,54.5,54.37,4400,239235.0,-,-,-, 
1996-02-07,SHREECEM,EQ,54.5,55.0,53.0,-,53.35,53.51,8100,433460.0,-,-,-, 
1996-02-08,SHREECEM,EQ,53.35,55.75,53.75,-,55.6,54.48,5300,288770.0,-,-,-, 
1996-02-09,SHREECEM,EQ,57.0,61.0,55.9,-,59.85,57.33,12650,725245.0,-,-,-, 
1996-02-12,SHREECEM,EQ,59.85,64.0,58.0,-,59.85,60.73,15500,941260.0,-,-,-, 
1996-02-13,SHREECEM,EQ,59.85,59.95,58.0,-,59.5,58.55,3300,193217.5,-,-,-, 
1996-02-14,SHREECEM,EQ,60.0,64.5,60.0,-,61.55,63.1,17300,1091685.0,-,-,-, 
1996-02-15,SHREECEM,EQ,62.0,62.8,61.5,-,62.5,61.91,12250,758382.5,-,-,-, 
1996-02-16,SHREECEM,EQ,62.0,63.0,59.5,-,60.7,61.28,5600,343190.0,-,-,-, 
1996-02-19,SHREECEM,EQ,60.7,62.0,60.5,-,61.5,61.3,6350,389275.0,-,-,-, 
1996-02-20,SHREECEM,EQ,61.5,62.0,58.6,-,58.8,60.14,8250,496150.0,-,-,-, 
1996-02-22,SHREECEM,EQ,58.8,60.8,59.0,-,59.75,59.9,6000,359402.5,-,-,-, 
1996-02-23,SHREECEM,EQ,60.05,60.25,57.0,-,58.75,58.91,1050,61855.0,-,-,-, 
1996-02-26,SHREECEM,EQ,60.5,60.5,57.5,-,58.5,58.59,1400,82030.0,-,-,-, 
1996-02-27,SHREECEM,EQ,58.5,59.0,56.25,-,56.5,56.76,2850,161775.0,-,-,-, 
1996-02-28,SHREECEM,EQ,56.5,58.2,56.0,-,57.5,57.31,650,37250.0,-,-,-, 
1996-02-29,SHREECEM,EQ,57.5,54.5,52.5,-,52.6,53.38,2000,106760.0,-,-,-, 
1996-03-01,SHREECEM,EQ,52.6,54.5,52.0,-,53.5,53.67,9750,523250.0,-,-,-, 
1996-03-04,SHREECEM,EQ,53.5,56.9,53.0,-,55.1,55.08,8900,490192.5,-,-,-, 
1996-03-06,SHREECEM,EQ,55.1,55.0,51.25,-,53.0,53.38,2650,141447.5,-,-,-, 
1996-03-07,SHREECEM,EQ,53.0,55.0,50.0,-,52.75,53.03,10600,562150.0,-,-,-, 
1996-03-08,SHREECEM,EQ,51.0,54.0,51.0,-,52.55,52.85,8100,428055.0,-,-,-, 
1996-03-11,SHREECEM,EQ,52.55,51.25,50.0,-,50.35,50.41,8600,433495.0,-,-,-, 
1996-03-12,SHREECEM,EQ,50.35,50.55,49.05,-,50.55,50.21,7600,381582.5,-,-,-, 
1996-03-13,SHREECEM,EQ,50.55,50.75,49.5,-,50.75,50.43,3750,189112.5,-,-,-, 
1996-03-14,SHREECEM,EQ,50.75,51.75,50.5,-,51.0,51.12,7550,385972.5,-,-,-, 
1996-03-15,SHREECEM,EQ,51.0,51.0,50.0,-,50.0,50.1,13500,676312.5,-,-,-, 
1996-03-18,SHREECEM,EQ,50.0,51.5,48.55,-,48.6,48.95,8100,396485.0,-,-,-, 
