Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,SUNPHARMA,EQ,23.405,23.3,23.28,-,23.28,23.287,300,69860.0,-,-,-, 
1996-01-02,SUNPHARMA,EQ,23.25,23.25,22.505000000000003,-,22.505000000000003,22.81,600,136860.0,-,-,-, 
1996-01-03,SUNPHARMA,EQ,22.505000000000003,22.6,22.6,-,22.6,22.6,100,22600.0,-,-,-, 
1996-01-04,SUNPHARMA,EQ,22.55,22.7,22.5,-,22.5,22.585,500,112925.0,-,-,-, 
1996-01-05,SUNPHARMA,EQ,22.445,22.445,22.445,-,22.445,22.445,100,22445.0,-,-,-, 
1996-01-08,SUNPHARMA,EQ,22.3,22.4,21.5,-,21.5,22.208000000000002,1300,288700.0,-,-,-, 
1996-01-09,SUNPHARMA,EQ,21.0,21.294999999999998,20.875,-,20.875,21.019,2400,504445.0,-,-,-, 
1996-01-10,SUNPHARMA,EQ,20.875,22.0,20.8,-,21.994999999999997,21.551,3800,818950.0,-,-,-, 
1996-01-11,SUNPHARMA,EQ,21.6,21.6,21.6,-,21.6,21.6,300,64800.0,-,-,-, 
1996-01-12,SUNPHARMA,EQ,21.5,21.994999999999997,21.5,-,21.9,21.824,600,130945.0,-,-,-, 
1996-01-15,SUNPHARMA,EQ,21.6,21.6,21.509999999999998,-,21.509999999999998,21.549,900,193945.0,-,-,-, 
1996-01-16,SUNPHARMA,EQ,21.6,22.0,21.2,-,21.8,21.423,12900,2763600.0,-,-,-, 
1996-01-17,SUNPHARMA,EQ,21.8,21.75,20.0,-,21.5,20.777,3000,623300.0,-,-,-, 
1996-01-18,SUNPHARMA,EQ,21.5,21.5,21.1,-,21.35,21.23,1000,212295.0,-,-,-, 
1996-01-19,SUNPHARMA,EQ,21.1,21.275,20.9,-,20.915,21.002000000000002,1700,357035.0,-,-,-, 
1996-01-22,SUNPHARMA,EQ,20.915,21.0,20.5,-,21.0,20.788999999999998,900,187100.0,-,-,-, 
1996-01-23,SUNPHARMA,EQ,21.0,21.0,20.1,-,20.9,20.714,1300,269280.0,-,-,-, 
1996-01-24,SUNPHARMA,EQ,20.9,20.85,20.41,-,20.630000000000003,20.713,2300,476395.0,-,-,-, 
1996-01-25,SUNPHARMA,EQ,20.630000000000003,20.8,20.3,-,20.71,20.608,1800,370950.0,-,-,-, 
1996-01-29,SUNPHARMA,EQ,20.71,20.9,20.31,-,20.9,20.64,400,82560.0,-,-,-, 
1996-01-30,SUNPHARMA,EQ,20.9,21.2,20.775,-,21.15,21.012999999999998,12900,2710625.0,-,-,-, 
1996-01-31,SUNPHARMA,EQ,21.15,21.1,20.525,-,21.03,20.935,600,125610.0,-,-,-, 
1996-02-01,SUNPHARMA,EQ,21.03,21.4,21.3,-,21.3,21.35,200,42700.0,-,-,-, 
1996-02-02,SUNPHARMA,EQ,21.3,22.475,22.0,-,22.195,22.061,1100,242670.0,-,-,-, 
1996-02-05,SUNPHARMA,EQ,22.195,22.975,22.775,-,22.95,22.878999999999998,900,205915.0,-,-,-, 
1996-02-06,SUNPHARMA,EQ,22.95,23.275,22.805,-,22.805,23.027,1200,276325.0,-,-,-, 
1996-02-07,SUNPHARMA,EQ,22.5,23.0,22.2,-,23.0,22.609,1100,248695.0,-,-,-, 
1996-02-08,SUNPHARMA,EQ,23.0,24.0,22.95,-,23.9,23.602,2700,637245.0,-,-,-, 
1996-02-09,SUNPHARMA,EQ,24.5,25.45,24.2,-,25.45,24.565,2900,712380.0,-,-,-, 
1996-02-12,SUNPHARMA,EQ,24.994999999999997,25.4,24.5,-,24.97,25.102,2100,527140.0,-,-,-, 
1996-02-13,SUNPHARMA,EQ,24.97,25.490000000000002,24.5,-,25.4,25.177,3900,981910.0,-,-,-, 
1996-02-14,SUNPHARMA,EQ,25.2,26.5,25.2,-,26.339999999999996,25.913999999999998,3800,984735.0,-,-,-, 
1996-02-15,SUNPHARMA,EQ,26.0,27.0,26.0,-,26.46,26.2,2800,733590.0,-,-,-, 
1996-02-16,SUNPHARMA,EQ,26.46,27.8,26.51,-,27.514999999999997,27.125,11000,2983760.0,-,-,-, 
1996-02-19,SUNPHARMA,EQ,27.135,27.6,27.0,-,27.505000000000003,27.231,6900,1878940.0,-,-,-, 
1996-02-20,SUNPHARMA,EQ,27.505000000000003,28.494999999999997,27.5,-,27.975,27.743000000000002,6100,1692335.0,-,-,-, 
1996-02-22,SUNPHARMA,EQ,27.975,28.1,27.6,-,28.005000000000003,27.977999999999998,4400,1231015.0,-,-,-, 
1996-02-23,SUNPHARMA,EQ,28.0,28.2,28.0,-,28.0,28.014,23800,6667325.0,-,-,-, 
1996-02-26,SUNPHARMA,EQ,28.0,28.2,28.005000000000003,-,28.014999999999997,28.019,2800,784545.0,-,-,-, 
1996-02-27,SUNPHARMA,EQ,28.014999999999997,28.05,28.0,-,28.0,28.004,9400,2632370.0,-,-,-, 
1996-02-28,SUNPHARMA,EQ,28.0,28.1,27.95,-,28.05,28.008,4200,1176340.0,-,-,-, 
1996-02-29,SUNPHARMA,EQ,28.05,28.1,28.0,-,28.005000000000003,28.006999999999998,8500,2380560.0,-,-,-, 
