Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,TATATEA,EQ,28.0,28.22,27.8,-,27.805,28.1,2350,660355.0,-,-,-, 
1996-01-02,TATATEA,EQ,27.805,28.0,27.305,-,27.345,27.591,2300,634597.5,-,-,-, 
1996-01-03,TATATEA,EQ,27.345,27.7,27.5,-,27.544999999999998,27.538999999999998,2100,578317.5,-,-,-, 
1996-01-04,TATATEA,EQ,27.544999999999998,27.55,27.0,-,27.494999999999997,27.502999999999997,13300,3657902.5,-,-,-, 
1996-01-05,TATATEA,EQ,27.5,27.5,27.3,-,27.380000000000003,27.375,11450,3134462.5,-,-,-, 
1996-01-08,TATATEA,EQ,27.155,27.5,26.7,-,26.875,27.398000000000003,21100,5780952.5,-,-,-, 
1996-01-09,TATATEA,EQ,26.875,26.6,26.0,-,26.365,26.439,3250,859282.5,-,-,-, 
1996-01-10,TATATEA,EQ,26.1,26.7,26.1,-,26.385,26.435000000000002,1250,330432.5,-,-,-, 
1996-01-11,TATATEA,EQ,26.595,26.7,26.205000000000002,-,26.625,26.48,2800,741437.5,-,-,-, 
1996-01-12,TATATEA,EQ,26.625,26.98,26.7,-,26.895,26.824,950,254832.5,-,-,-, 
1996-01-15,TATATEA,EQ,26.895,26.725,26.2,-,26.5,26.574,1050,279025.0,-,-,-, 
1996-01-16,TATATEA,EQ,26.5,26.6,26.21,-,26.405,26.383,1750,461695.0,-,-,-, 
1996-01-17,TATATEA,EQ,26.405,26.5,26.305,-,26.355,26.358999999999998,1700,448107.5,-,-,-, 
1996-01-18,TATATEA,EQ,26.355,26.4,26.1,-,26.21,26.32,6500,1710775.0,-,-,-, 
1996-01-19,TATATEA,EQ,26.21,26.3,26.0,-,26.05,26.270999999999997,18300,4807605.0,-,-,-, 
1996-01-22,TATATEA,EQ,25.9,26.25,25.825,-,25.825,26.014,1050,273150.0,-,-,-, 
1996-01-23,TATATEA,EQ,25.825,26.2,24.0,-,24.544999999999998,25.005000000000003,3550,887685.0,-,-,-, 
1996-01-24,TATATEA,EQ,24.7,25.0,24.3,-,24.685,24.515,5750,1409615.0,-,-,-, 
1996-01-25,TATATEA,EQ,24.5,24.9,24.35,-,24.9,24.644,3600,887182.5,-,-,-, 
1996-01-29,TATATEA,EQ,25.0,25.689999999999998,24.830000000000002,-,25.660000000000004,25.136000000000003,2500,628397.5,-,-,-, 
1996-01-30,TATATEA,EQ,25.660000000000004,26.5,25.509999999999998,-,25.8,26.008999999999997,4100,1066360.0,-,-,-, 
1996-01-31,TATATEA,EQ,25.8,26.3,25.8,-,25.9,25.921,1200,311047.5,-,-,-, 
1996-02-01,TATATEA,EQ,25.9,26.7,26.205000000000002,-,26.5,26.426,8050,2127255.0,-,-,-, 
1996-02-02,TATATEA,EQ,26.5,27.95,26.8,-,27.82,27.392000000000003,13400,3670547.5,-,-,-, 
1996-02-05,TATATEA,EQ,28.45,29.5,27.4,-,27.725,28.622000000000003,5800,1660077.5,-,-,-, 
1996-02-06,TATATEA,EQ,27.725,28.8,26.46,-,26.96,27.924,10100,2820337.5,-,-,-, 
1996-02-07,TATATEA,EQ,26.8,28.0,26.8,-,27.71,27.373,3150,862255.0,-,-,-, 
1996-02-08,TATATEA,EQ,27.71,29.0,27.65,-,28.889999999999997,28.738999999999997,10900,3132510.0,-,-,-, 
1996-02-09,TATATEA,EQ,28.889999999999997,30.5,29.025,-,30.089999999999996,29.909,7900,2362842.5,-,-,-, 
1996-02-12,TATATEA,EQ,30.089999999999996,32.0,29.1,-,31.21,30.802,26300,8100955.0,-,-,-, 
1996-02-13,TATATEA,EQ,31.21,32.47,30.5,-,31.96,31.439999999999998,20550,6460975.0,-,-,-, 
1996-02-14,TATATEA,EQ,31.96,33.1,32.15,-,32.489999999999995,32.751,16750,5485867.5,-,-,-, 
1996-02-15,TATATEA,EQ,32.489999999999995,32.5,31.95,-,32.225,32.232,2750,886367.5,-,-,-, 
1996-02-16,TATATEA,EQ,32.225,31.75,30.7,-,31.0,31.288999999999998,3200,1001257.5,-,-,-, 
1996-02-19,TATATEA,EQ,31.0,31.0,30.1,-,30.15,30.395999999999997,2550,775092.5,-,-,-, 
1996-02-20,TATATEA,EQ,30.15,30.5,29.005000000000003,-,29.03,29.653,7900,2342600.0,-,-,-, 
1996-02-22,TATATEA,EQ,29.03,30.8,30.025,-,30.689999999999998,30.47,5900,1797705.0,-,-,-, 
1996-02-23,TATATEA,EQ,30.689999999999998,30.9,30.4,-,30.77,30.604000000000003,4600,1407770.0,-,-,-, 
1996-02-26,TATATEA,EQ,30.77,31.5,30.514999999999997,-,30.595,31.195,13100,4086580.0,-,-,-, 
1996-02-27,TATATEA,EQ,30.595,30.8,30.1,-,30.29,30.343,3400,1031670.0,-,-,-, 
1996-02-28,TATATEA,EQ,30.29,31.0,30.0,-,30.0,30.276,4000,1211037.5,-,-,-, 
1996-02-29,TATATEA,EQ,30.0,29.6,29.0,-,29.4,29.458999999999996,4200,1237277.5,-,-,-, 
1996-03-01,TATATEA,EQ,29.4,29.7,29.3,-,29.535000000000004,29.497000000000003,1150,339215.0,-,-,-, 
1996-03-04,TATATEA,EQ,29.535000000000004,29.65,29.3,-,29.535000000000004,29.522000000000002,3850,1136582.5,-,-,-, 
1996-03-06,TATATEA,EQ,29.535000000000004,29.744999999999997,29.6,-,29.744999999999997,29.719,1700,505225.0,-,-,-, 
1996-03-07,TATATEA,EQ,29.744999999999997,30.125,29.7,-,29.860000000000003,29.96,2300,689072.5,-,-,-, 
1996-03-08,TATATEA,EQ,29.860000000000003,29.705000000000002,29.425,-,29.705000000000002,29.671,4050,1201672.5,-,-,-, 
1996-03-11,TATATEA,EQ,29.705000000000002,29.5,29.025,-,29.5,29.243000000000002,2950,862660.0,-,-,-, 
1996-03-12,TATATEA,EQ,29.5,30.0,28.53,-,29.1,29.573,3650,1079427.5,-,-,-, 
1996-03-13,TATATEA,EQ,29.1,29.8,29.225,-,29.75,29.672000000000004,1250,370900.0,-,-,-, 
1996-03-14,TATATEA,EQ,29.75,29.55,29.25,-,29.25,29.344,250,73360.0,-,-,-, 
1996-03-15,TATATEA,EQ,29.25,29.2,28.8,-,28.8,29.070999999999998,600,174425.0,-,-,-, 
1996-03-18,TATATEA,EQ,28.8,28.5,27.5,-,27.5,27.951,2400,670815.0,-,-,-, 
1996-03-19,TATATEA,EQ,27.5,27.5,27.1,-,27.380000000000003,27.369,4800,1313690.0,-,-,-, 
1996-03-21,TATATEA,EQ,27.380000000000003,28.389999999999997,28.0,-,28.0,28.227999999999998,850,239935.0,-,-,-, 
1996-03-22,TATATEA,EQ,28.0,28.0,27.46,-,27.7,27.732999999999997,4300,1192507.5,-,-,-, 
1996-03-25,TATATEA,EQ,27.7,28.25,27.405,-,27.705000000000002,27.824,3700,1029497.5,-,-,-, 
1996-03-26,TATATEA,EQ,27.705000000000002,28.3,27.505000000000003,-,27.505000000000003,27.886000000000003,12400,3457862.5,-,-,-, 
1996-03-27,TATATEA,EQ,27.505000000000003,28.589999999999996,27.9,-,28.095,28.284,1350,381830.0,-,-,-, 
1996-03-28,TATATEA,EQ,28.095,28.575,28.3,-,28.325,28.389,2400,681337.5,-,-,-, 
1996-03-29,TATATEA,EQ,28.325,28.6,27.705000000000002,-,27.714999999999996,28.189,1350,380557.5,-,-,-, 
1996-04-01,TATATEA,EQ,27.714999999999996,28.43,28.05,-,28.15,28.250999999999998,850,240130.0,-,-,-, 
1996-04-02,TATATEA,EQ,28.15,28.494999999999997,27.9,-,27.9,28.060000000000002,4200,1178520.0,-,-,-, 
1996-04-03,TATATEA,EQ,27.9,29.005000000000003,28.5,-,28.85,28.916000000000004,2100,607242.5,-,-,-, 
1996-04-04,TATATEA,EQ,28.85,31.880000000000003,27.05,-,31.615,30.747000000000003,24800,7625210.0,-,-,-, 
1996-04-08,TATATEA,EQ,31.615,33.5,31.755000000000003,-,31.839999999999996,32.543,24600,8005610.0,-,-,-, 
1996-04-09,TATATEA,EQ,31.839999999999996,32.69,30.55,-,30.889999999999997,31.541000000000004,23750,7490960.0,-,-,-, 
1996-04-10,TATATEA,EQ,30.889999999999997,32.0,31.0,-,31.244999999999997,31.534,37750,11903902.5,-,-,-, 
1996-04-11,TATATEA,EQ,31.244999999999997,30.96,30.6,-,30.79,30.823,10200,3143940.0,-,-,-, 
1996-04-12,TATATEA,EQ,30.79,30.389999999999997,29.7,-,29.994999999999997,30.107,14050,4230072.5,-,-,-, 
1996-04-15,TATATEA,EQ,29.994999999999997,30.4,29.860000000000003,-,29.945,30.020999999999997,8900,2671895.0,-,-,-, 
1996-04-16,TATATEA,EQ,29.945,30.2,29.255000000000003,-,29.439999999999998,29.613999999999997,15600,4619800.0,-,-,-, 
1996-04-17,TATATEA,EQ,30.5,31.2,30.5,-,30.635,30.693,29850,9161765.0,-,-,-, 
1996-04-18,TATATEA,EQ,30.635,32.144999999999996,30.9,-,31.54,31.546,54600,17224105.0,-,-,-, 
1996-04-19,TATATEA,EQ,31.54,31.7,30.9,-,31.24,31.464,17350,5459007.5,-,-,-, 
1996-04-22,TATATEA,EQ,31.24,31.75,30.25,-,30.435000000000002,30.826999999999998,15850,4886125.0,-,-,-, 
1996-04-23,TATATEA,EQ,30.435000000000002,30.389999999999997,29.9,-,30.155,30.122000000000003,30050,9051587.5,-,-,-, 
1996-04-24,TATATEA,EQ,30.155,31.5,30.75,-,31.125,31.077999999999996,9400,2921317.5,-,-,-, 
1996-04-25,TATATEA,EQ,31.125,31.8,30.7,-,30.895,31.344,16300,5109127.5,-,-,-, 
1996-04-26,TATATEA,EQ,30.895,31.0,30.1,-,30.380000000000003,30.375999999999998,8650,2627532.5,-,-,-, 
1996-04-29,TATATEA,EQ,30.380000000000003,30.4,30.125,-,30.264999999999997,30.23,4950,1496397.5,-,-,-, 
1996-04-30,TATATEA,EQ,30.264999999999997,30.25,29.0,-,29.53,29.82,9850,2937315.0,-,-,-, 
1996-05-01,TATATEA,EQ,29.53,30.5,30.0,-,30.345,30.269,3950,1195625.0,-,-,-, 
1996-05-02,TATATEA,EQ,30.345,30.0,29.7,-,29.885,29.879,3700,1105525.0,-,-,-, 
1996-05-03,TATATEA,EQ,29.885,30.05,29.1,-,29.23,29.518,9150,2700872.5,-,-,-, 
1996-05-06,TATATEA,EQ,29.23,29.110000000000003,28.6,-,28.869999999999997,28.835,7700,2220300.0,-,-,-, 
1996-05-07,TATATEA,EQ,28.869999999999997,29.9,29.0,-,29.525,29.377999999999997,5400,1586430.0,-,-,-, 
1996-05-08,TATATEA,EQ,29.525,29.7,28.6,-,29.560000000000002,29.35,4850,1423452.5,-,-,-, 
1996-05-09,TATATEA,EQ,29.560000000000002,29.7,29.0,-,29.005000000000003,29.305,6700,1963445.0,-,-,-, 
1996-05-10,TATATEA,EQ,29.005000000000003,28.7,27.6,-,28.580000000000002,28.518,3600,1026645.0,-,-,-, 
1996-05-13,TATATEA,EQ,28.580000000000002,29.0,28.385,-,28.415,28.595,7450,2130342.5,-,-,-, 
1996-05-14,TATATEA,EQ,28.415,28.794999999999998,28.3,-,28.544999999999998,28.506,5600,1596312.5,-,-,-, 
1996-05-15,TATATEA,EQ,28.544999999999998,30.9,29.4,-,30.160000000000004,30.162,26100,7872370.0,-,-,-, 
1996-05-16,TATATEA,EQ,30.160000000000004,31.4,30.375,-,30.655,30.839,36300,11194640.0,-,-,-, 
1996-05-17,TATATEA,EQ,30.655,30.65,29.85,-,30.060000000000002,30.097,14750,4439297.5,-,-,-, 
1996-05-20,TATATEA,EQ,29.905,29.905,28.8,-,28.869999999999997,29.105,12650,3681842.5,-,-,-, 
1996-05-21,TATATEA,EQ,28.869999999999997,29.0,28.6,-,28.97,28.797000000000004,17450,5025005.0,-,-,-, 
1996-05-22,TATATEA,EQ,28.97,29.0,28.775,-,28.865,28.901999999999997,7500,2167625.0,-,-,-, 
1996-05-23,TATATEA,EQ,28.865,28.97,28.6,-,28.635,28.682,6850,1964725.0,-,-,-, 
1996-05-24,TATATEA,EQ,28.635,28.785000000000004,28.555,-,28.7,28.651999999999997,4050,1160387.5,-,-,-, 
1996-05-27,TATATEA,EQ,28.7,28.5,27.8,-,28.035000000000004,28.076,13100,3677947.5,-,-,-, 
1996-05-28,TATATEA,EQ,28.035000000000004,28.0,27.525,-,27.905,27.714,16900,4683587.5,-,-,-, 
1996-05-29,TATATEA,EQ,27.905,28.794999999999998,28.2,-,28.665,28.512,15400,4390840.0,-,-,-, 
1996-05-30,TATATEA,EQ,28.665,28.994999999999997,28.025,-,28.135,28.262999999999998,8650,2444722.5,-,-,-, 
1996-05-31,TATATEA,EQ,28.135,28.2,27.35,-,27.630000000000003,27.736,64300,17834100.0,-,-,-, 
1996-06-03,TATATEA,EQ,27.630000000000003,28.0,27.425,-,27.880000000000003,27.808999999999997,31550,8773805.0,-,-,-, 
1996-06-04,TATATEA,EQ,27.880000000000003,28.310000000000002,27.925,-,28.15,28.127,29750,8367687.5,-,-,-, 
1996-06-05,TATATEA,EQ,28.2,28.47,28.005000000000003,-,28.4,28.270999999999997,49500,13994275.0,-,-,-, 
1996-06-06,TATATEA,EQ,28.4,29.15,28.4,-,28.875,28.8,51600,14860955.0,-,-,-, 
1996-06-07,TATATEA,EQ,28.7,29.044999999999998,28.655,-,28.994999999999997,28.918,29150,8429600.0,-,-,-, 
1996-06-10,TATATEA,EQ,29.1,30.75,29.1,-,30.415,30.064,110100,33100035.0,-,-,-, 
1996-06-11,TATATEA,EQ,30.2,30.8,30.0,-,30.645,30.411,53850,16376325.0,-,-,-, 
1996-06-12,TATATEA,EQ,30.95,31.28,30.55,-,30.95,31.057,64650,20078355.0,-,-,-, 
1996-06-13,TATATEA,EQ,31.089999999999996,31.5,30.810000000000002,-,31.26,31.323,56550,17712962.5,-,-,-, 
1996-06-14,TATATEA,EQ,31.01,32.185,31.0,-,31.725,31.822000000000003,90350,28751175.0,-,-,-, 
1996-06-17,TATATEA,EQ,32.0,32.394999999999996,31.580000000000002,-,31.68,31.95,92650,29601402.5,-,-,-, 
1996-06-18,TATATEA,EQ,31.405,31.575,30.8,-,31.044999999999998,31.193,77100,24049907.5,-,-,-, 
1996-06-19,TATATEA,EQ,31.195,31.49,30.525,-,30.72,30.939,15900,4919245.0,-,-,-, 
1996-06-20,TATATEA,EQ,30.505000000000003,31.05,30.5,-,31.025,30.705000000000002,14150,4344692.5,-,-,-, 
1996-06-21,TATATEA,EQ,30.7,31.3,30.7,-,30.96,31.000999999999998,14850,4603702.5,-,-,-, 
1996-06-24,TATATEA,EQ,30.8,30.8,30.575,-,30.619999999999997,30.671,10350,3174467.5,-,-,-, 
1996-06-25,TATATEA,EQ,30.6,30.975,30.5,-,30.825,30.754,25900,7965175.0,-,-,-, 
1996-06-26,TATATEA,EQ,30.55,31.0,30.5,-,30.675,30.761000000000003,22950,7059545.0,-,-,-, 
1996-06-27,TATATEA,EQ,30.575,31.0,30.514999999999997,-,30.96,30.767000000000003,25900,7968677.5,-,-,-, 
