Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
1996-01-01,TELCO,EQ,75.6,76.0,75.5,-,76.0,75.788,7800,2955715.0,-,-,-, 
1996-01-02,TELCO,EQ,76.0,76.78,75.2,-,75.56,76.018,19350,7354800.0,-,-,-, 
1996-01-03,TELCO,EQ,75.56,76.0,75.25,-,75.31,75.686,5700,2157065.0,-,-,-, 
1996-01-04,TELCO,EQ,75.31,75.4,74.3,-,74.74,74.924,20100,7529930.0,-,-,-, 
1996-01-05,TELCO,EQ,74.74,74.96000000000001,74.2,-,74.47,74.52000000000001,12000,4471250.0,-,-,-, 
1996-01-08,TELCO,EQ,74.47,74.6,73.8,-,74.5,74.41,25200,9375577.5,-,-,-, 
1996-01-09,TELCO,EQ,74.5,74.4,72.8,-,73.26,73.592,12100,4452277.5,-,-,-, 
1996-01-10,TELCO,EQ,73.26,74.6,73.6,-,74.44,74.3,12950,4810862.5,-,-,-, 
1996-01-11,TELCO,EQ,74.44,75.65,74.1,-,75.07000000000001,75.182,15450,5807805.0,-,-,-, 
1996-01-12,TELCO,EQ,75.07000000000001,76.49,75.0,-,75.97999999999999,75.776,10450,3959262.5,-,-,-, 
1996-01-15,TELCO,EQ,75.97999999999999,80.8,75.03,-,75.53999999999999,75.50800000000001,5550,2095370.0,-,-,-, 
1996-01-16,TELCO,EQ,75.53999999999999,75.8,74.83,-,75.37,75.164,20450,7685542.5,-,-,-, 
1996-01-17,TELCO,EQ,75.37,75.55,75.0,-,75.03,75.276,11850,4460110.0,-,-,-, 
1996-01-18,TELCO,EQ,75.03,75.4,73.6,-,75.22,74.75399999999999,14050,5251497.5,-,-,-, 
1996-01-19,TELCO,EQ,75.22,75.6,74.6,-,75.35,75.232,15550,5849275.0,-,-,-, 
1996-01-22,TELCO,EQ,75.35,76.2,75.2,-,76.01,76.024,86250,32785262.5,-,-,-, 
1996-01-23,TELCO,EQ,76.01,76.0,73.9,-,74.01,74.976,7050,2642917.5,-,-,-, 
1996-01-24,TELCO,EQ,74.01,74.0,71.0,-,71.76,72.684,19150,6959450.0,-,-,-, 
1996-01-25,TELCO,EQ,71.76,73.0,71.42,-,72.05,72.232,16100,5814620.0,-,-,-, 
1996-01-29,TELCO,EQ,72.05,73.0,72.0,-,72.38,72.378,9900,3582712.5,-,-,-, 
1996-01-30,TELCO,EQ,72.38,73.2,71.8,-,72.21000000000001,72.58,16350,5933460.0,-,-,-, 
1996-01-31,TELCO,EQ,72.21000000000001,73.7,72.6,-,73.55,73.112,7100,2595495.0,-,-,-, 
1996-02-01,TELCO,EQ,73.55,75.65,73.03999999999999,-,75.64,75.342,71900,27085105.0,-,-,-, 
1996-02-02,TELCO,EQ,75.64,79.4,75.2,-,79.08,78.596,88550,34798357.5,-,-,-, 
1996-02-05,TELCO,EQ,79.08,81.0,77.35,-,79.5,79.366,49350,19583355.0,-,-,-, 
1996-02-06,TELCO,EQ,79.5,80.4,77.0,-,77.84,79.786,72550,28942092.5,-,-,-, 
1996-02-07,TELCO,EQ,77.84,79.4,76.4,-,79.02000000000001,78.28,14700,5753652.5,-,-,-, 
1996-02-08,TELCO,EQ,80.0,85.76,79.6,-,85.32000000000001,83.788,71000,29744582.5,-,-,-, 
1996-02-09,TELCO,EQ,85.32000000000001,89.0,85.0,-,88.4,87.11,62050,27025622.5,-,-,-, 
1996-02-12,TELCO,EQ,80.0,88.2,80.0,-,85.84,87.196,24000,10463542.5,-,-,-, 
1996-02-13,TELCO,EQ,85.84,87.78999999999999,84.2,-,85.47999999999999,85.50399999999999,28900,12355362.5,-,-,-, 
1996-02-14,TELCO,EQ,85.47999999999999,88.4,86.0,-,86.02000000000001,87.274,31150,13592822.5,-,-,-, 
1996-02-15,TELCO,EQ,86.02000000000001,86.4,84.01,-,85.84,85.724,9850,4221885.0,-,-,-, 
1996-02-16,TELCO,EQ,85.84,84.99,83.0,-,83.55,84.25399999999999,9750,4107367.5,-,-,-, 
1996-02-19,TELCO,EQ,83.55,84.97999999999999,81.0,-,82.03999999999999,83.326,10350,4312072.5,-,-,-, 
1996-02-20,TELCO,EQ,82.03999999999999,82.8,80.75,-,82.3,82.074,41350,16968682.5,-,-,-, 
1996-02-22,TELCO,EQ,82.3,85.0,82.6,-,84.51,84.102,15500,6517855.0,-,-,-, 
1996-02-23,TELCO,EQ,84.51,86.8,83.8,-,86.41,85.652,43950,18821987.5,-,-,-, 
1996-02-26,TELCO,EQ,86.41,87.0,82.13,-,82.47999999999999,84.384,32100,13543632.5,-,-,-, 
1996-02-27,TELCO,EQ,82.47999999999999,86.0,83.81,-,85.15,85.286,44500,18976105.0,-,-,-, 
1996-02-28,TELCO,EQ,85.15,85.28999999999999,84.2,-,84.92,84.74199999999999,23350,9893647.5,-,-,-, 
1996-02-29,TELCO,EQ,84.92,85.6,84.0,-,84.52000000000001,84.74199999999999,84700,35888620.0,-,-,-, 
