Date,Symbol,Series,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
2006-08-28,TECHM,EQ,130.25,142.25,125.5,138.25,138.5625,138.0,15166163,8371760130.2,-,3777529,24.91, 
2006-08-29,TECHM,EQ,138.75,140.975,133.8875,134.025,134.825,136.8975,3929113,2151530389.15,-,727534,18.52, 
2006-08-30,TECHM,EQ,134.25,135.725,130.375,132.25,132.025,132.3875,2034983,1077629576.2,-,345064,16.96, 
2006-08-31,TECHM,EQ,131.25,136.0,128.75,134.8375,134.6125,133.2225,1670990,890446438.3,-,286440,17.14, 
2006-09-01,TECHM,EQ,134.75,137.25,133.775,135.3375,135.4625,135.615,1176195,638038561.5,-,213842,18.18, 
2006-09-04,TECHM,EQ,135.5,137.25,113.2,135.5,135.9875,135.95,749788,407737134.7,-,213912,28.53, 
2006-09-05,TECHM,EQ,136.0,139.0,134.625,137.875,138.175,137.23,956133,524838291.45,-,258744,27.06, 
2006-09-06,TECHM,EQ,138.675,140.625,134.5,135.0,135.3125,137.845,957611,528010985.25,-,202832,21.18, 
2006-09-07,TECHM,EQ,136.25,136.25,132.5,134.0625,134.325,134.1975,351161,188499745.3,-,140830,40.1, 
2006-09-08,TECHM,EQ,134.7,136.225,132.8875,132.9,133.7,134.7225,269659,145316395.25,-,59668,22.13, 
2006-09-11,TECHM,EQ,134.9875,136.25,133.0625,133.275,133.9875,134.5325,420466,226265041.55,-,182316,43.36, 
2006-09-12,TECHM,EQ,133.9875,136.7125,133.5,134.4625,134.4625,134.8775,514196,277415461.2,-,289134,56.23, 
2006-09-13,TECHM,EQ,135.25,137.25,135.25,136.275,136.175,136.535,401947,219520673.1,-,247945,61.69, 
2006-09-14,TECHM,EQ,136.3,139.375,136.275,137.25,137.4625,138.315,534610,295778011.35,-,303082,56.69, 
2006-09-15,TECHM,EQ,137.5375,138.5,134.75,135.25,135.05,136.145,209783,114244344.35,-,97462,46.46, 
2006-09-18,TECHM,EQ,136.0,140.5,136.0,136.3125,136.625,137.6325,224376,123526551.15,-,96526,43.02, 
2006-09-19,TECHM,EQ,137.0125,155.9625,136.625,145.25,146.0625,148.6825,4793064,2850584547.45,-,583289,12.17, 
2006-09-20,TECHM,EQ,144.95,153.475,143.3125,151.4875,151.2625,150.3225,2264328,1361509268.65,-,202726,8.95, 
2006-09-21,TECHM,EQ,144.25,156.75,144.25,152.475,152.2375,154.12,1776100,1094922346.7,-,233080,13.12, 
2006-09-22,TECHM,EQ,156.25,156.25,148.3125,151.1125,150.2875,150.78,726501,438165994.15,-,129352,17.8, 
2006-09-25,TECHM,EQ,148.8125,152.925,147.5125,148.625,148.3875,150.6725,635537,383033934.85,-,119407,18.79, 
2006-09-26,TECHM,EQ,149.95,156.5,148.5,153.6375,154.4,154.1475,1735875,1070327996.85,-,244564,14.09, 
2006-09-27,TECHM,EQ,154.875,157.95,154.075,154.975,154.8625,156.12,1015312,634046408.6,-,182281,17.95, 
2006-09-28,TECHM,EQ,156.175,156.175,152.0375,153.5625,153.25,153.5475,302605,185855865.9,-,101194,33.44, 
2006-09-29,TECHM,EQ,153.75,157.5,152.5,154.75,154.6,155.55,595376,370444126.2,-,106764,17.93, 
2006-10-03,TECHM,EQ,154.75,158.9625,153.75,154.025,154.85,156.485,800656,501165414.95,-,197144,24.62, 
2006-10-04,TECHM,EQ,155.4,156.0,152.5,153.325,153.425,154.32,300674,185600240.0,-,69571,23.14, 
2006-10-05,TECHM,EQ,155.3,157.0,154.75,156.4,156.0375,155.6625,214316,133443369.6,-,65398,30.51, 
2006-10-06,TECHM,EQ,157.25,159.9875,154.5375,155.25,155.325,157.9425,618442,390712158.05,-,131411,21.25, 
2006-10-09,TECHM,EQ,154.5,156.225,152.5,153.6,153.5125,154.4775,240328,148502045.4,-,98162,40.85, 
2006-10-10,TECHM,EQ,155.0,156.2,152.5875,154.0625,153.9625,154.675,210138,130012197.95,-,58759,27.96, 
2006-10-11,TECHM,EQ,155.0,163.45,155.0,157.6625,157.4875,160.22,1942573,1244961870.3,-,500494,25.76, 
2006-10-12,TECHM,EQ,158.625,159.275,155.25,157.3,157.425,157.64,721172,454742117.1,-,286390,39.71, 
2006-10-13,TECHM,EQ,158.775,173.225,158.775,171.975,170.4875,167.1825,2521133,1685948902.6,-,551806,21.89, 
2006-10-16,TECHM,EQ,172.0625,179.5,172.0625,178.25,177.6125,175.9875,1859460,1308963101.05,-,381001,20.49, 
2006-10-17,TECHM,EQ,178.5,179.25,175.0625,176.5,176.125,176.7525,826731,584503654.05,-,156976,18.99, 
